#FORMAT=WebAnno TSV 3.2


#Text=Estar acima do peso pode fazer com que apareça o diabetes tipo 2. Por isso, o jejum intermitente pode ser uma forma de prevenir o diabetes tipo 2.  O jejum intermitente também pode ser utilizado como tratamento para pessoas recém diagnosticadas com o diabetes tipo 1, que precisam perder peso para estabilizar o seu quadro de saúde; essas pessoas devem ser acompanhadas por um endocrinologista e um nutricionista.
1-1	0-5	Estar	
1-2	6-11	acima	
1-3	12-14	do	
1-4	15-19	peso	
1-5	20-24	pode	
1-6	25-30	fazer	
1-7	31-34	com	
1-8	35-38	que	
1-9	39-46	apareça	
1-10	47-48	o	
1-11	49-57	diabetes	
1-12	58-62	tipo	
1-13	63-64	2	
1-14	64-65	.	
1-15	66-69	Por	
1-16	70-74	isso	
1-17	74-75	,	
1-18	76-77	o	
1-19	78-83	jejum	
1-20	84-96	intermitente	
1-21	97-101	pode	
1-22	102-105	ser	
1-23	106-109	uma	
1-24	110-115	forma	
1-25	116-118	de	
1-26	119-127	prevenir	
1-27	128-129	o	
1-28	130-138	diabetes	
1-29	139-143	tipo	
1-30	144-145	2	
1-31	145-146	.	
1-32	148-149	O	
1-33	150-155	jejum	
1-34	156-168	intermitente	
1-35	169-175	também	
1-36	176-180	pode	
1-37	181-184	ser	
1-38	185-194	utilizado	
1-39	195-199	como	
1-40	200-210	tratamento	
1-41	211-215	para	
1-42	216-223	pessoas	
1-43	224-229	recém	
1-44	230-244	diagnosticadas	
1-45	245-248	com	
1-46	249-250	o	
1-47	251-259	diabetes	
1-48	260-264	tipo	
1-49	265-266	1	
1-50	266-267	,	
1-51	268-271	que	
1-52	272-280	precisam	
1-53	281-287	perder	
1-54	288-292	peso	
1-55	293-297	para	
1-56	298-309	estabilizar	
1-57	310-311	o	
1-58	312-315	seu	
1-59	316-322	quadro	
1-60	323-325	de	
1-61	326-331	saúde	
1-62	331-332	;	
1-63	333-338	essas	
1-64	339-346	pessoas	
1-65	347-352	devem	
1-66	353-356	ser	
1-67	357-369	acompanhadas	
1-68	370-373	por	
1-69	374-376	um	
1-70	377-393	endocrinologista	
1-71	394-395	e	
1-72	396-398	um	
1-73	399-412	nutricionista	
1-74	412-413	.	
