#FORMAT=WebAnno TSV 3.2
#T_SP=webanno.custom.Relaes|value
#T_RL=webanno.custom.Relaes2|value|BT_webanno.custom.Relaes


#Text=Lembre que reduzir muito as calorias não é uma forma eficaz de perder gordura. Provavelmente vai servir mais para mudar seu metabolismo do que para conseguir resultados duradouros. Uma meta de glicemia seria ter menos de 100 em jejum. Sugiro que você procure orientações para ter um plano de alimentação saudável, seja ativo e que você perca gordura corporal a longo prazo em um ritmo gradual, para que você consiga resultados efetivos.
1-1	0-6	Lembre	_	_	_	
1-2	7-10	que	_	_	_	
1-3	11-18	reduzir	NonMedicalTreatment[1]	_	_	
1-4	19-24	muito	NonMedicalTreatment[1]	_	_	
1-5	25-27	as	NonMedicalTreatment[1]	_	_	
1-6	28-36	calorias	NonMedicalTreatment[1]	_	_	
1-7	37-40	não	_	_	_	
1-8	41-42	é	_	_	_	
1-9	43-46	uma	_	_	_	
1-10	47-52	forma	_	_	_	
1-11	53-59	eficaz	_	_	_	
1-12	60-62	de	_	_	_	
1-13	63-69	perder	NonMedicalTreatment[2]	_	_	
1-14	70-77	gordura	NonMedicalTreatment[2]	_	_	
1-15	77-78	.	_	_	_	
1-16	79-92	Provavelmente	_	_	_	
1-17	93-96	vai	_	_	_	
1-18	97-103	servir	_	_	_	
1-19	104-108	mais	_	_	_	
1-20	109-113	para	_	_	_	
1-21	114-119	mudar	_	_	_	
1-22	120-123	seu	_	_	_	
1-23	124-135	metabolismo	_	_	_	
1-24	136-138	do	_	_	_	
1-25	139-142	que	_	_	_	
1-26	143-147	para	_	_	_	
1-27	148-157	conseguir	_	_	_	
1-28	158-168	resultados	_	_	_	
1-29	169-179	duradouros	_	_	_	
1-30	179-180	.	_	_	_	
1-31	181-184	Uma	_	_	_	
1-32	185-189	meta	_	_	_	
1-33	190-192	de	_	_	_	
1-34	193-201	glicemia	_	_	_	
1-35	202-207	seria	_	_	_	
1-36	208-211	ter	_	_	_	
1-37	212-217	menos	GlucoseValue[3]	_	_	
1-38	218-220	de	GlucoseValue[3]	_	_	
1-39	221-224	100	GlucoseValue[3]	_	_	
1-40	225-227	em	GlucoseValue[3]	_	_	
1-41	228-233	jejum	GlucoseValue[3]	_	_	
1-42	233-234	.	_	_	_	
1-43	235-241	Sugiro	_	_	_	
1-44	242-245	que	_	_	_	
1-45	246-250	você	_	_	_	
1-46	251-258	procure	_	_	_	
1-47	259-270	orientações	_	_	_	
1-48	271-275	para	_	_	_	
1-49	276-279	ter	_	_	_	
1-50	280-282	um	_	_	_	
1-51	283-288	plano	_	_	_	
1-52	289-291	de	_	_	_	
1-53	292-303	alimentação	NonMedicalTreatment[4]	_	_	
1-54	304-312	saudável	NonMedicalTreatment[4]	_	_	
1-55	312-313	,	_	_	_	
1-56	314-318	seja	NonMedicalTreatment[5]	_	_	
1-57	319-324	ativo	NonMedicalTreatment[5]	_	_	
1-58	325-326	e	_	_	_	
1-59	327-330	que	_	_	_	
1-60	331-335	você	_	_	_	
1-61	336-341	perca	NonMedicalTreatment[6]	_	_	
1-62	342-349	gordura	NonMedicalTreatment[6]	_	_	
1-63	350-358	corporal	NonMedicalTreatment[6]	_	_	
1-64	359-360	a	_	_	_	
1-65	361-366	longo	Duration[7]	has	1-61[6_7]	
1-66	367-372	prazo	Duration[7]	_	_	
1-67	373-375	em	_	_	_	
1-68	376-378	um	_	_	_	
1-69	379-384	ritmo	_	_	_	
1-70	385-392	gradual	_	_	_	
1-71	392-393	,	_	_	_	
1-72	394-398	para	_	_	_	
1-73	399-402	que	_	_	_	
1-74	403-407	você	_	_	_	
1-75	408-415	consiga	_	_	_	
1-76	416-426	resultados	_	_	_	
1-77	427-435	efetivos	_	_	_	
1-78	435-436	.	_	_	_	
