#FORMAT=WebAnno TSV 3.2


#Text=Quem tem diabetes tem que ter uma dieta balanceada. Se puder seguir uma dieta feita por um nutricionista, melhor ainda! É bom lembrar que não é recomendado fazer dietas radicais sem ajuda profissional. A consulta com um nutricionista é gratuita pelo SUS. Se você tiver interesse, procure a Unidade Básica de Saúde. A vida pode ser saudável e muito prazerosa também!
1-1	0-4	Quem	
1-2	5-8	tem	
1-3	9-17	diabetes	
1-4	18-21	tem	
1-5	22-25	que	
1-6	26-29	ter	
1-7	30-33	uma	
1-8	34-39	dieta	
1-9	40-50	balanceada	
1-10	50-51	.	
1-11	52-54	Se	
1-12	55-60	puder	
1-13	61-67	seguir	
1-14	68-71	uma	
1-15	72-77	dieta	
1-16	78-83	feita	
1-17	84-87	por	
1-18	88-90	um	
1-19	91-104	nutricionista	
1-20	104-105	,	
1-21	106-112	melhor	
1-22	113-118	ainda	
1-23	118-119	!	
1-24	120-121	É	
1-25	122-125	bom	
1-26	126-133	lembrar	
1-27	134-137	que	
1-28	138-141	não	
1-29	142-143	é	
1-30	144-155	recomendado	
1-31	156-161	fazer	
1-32	162-168	dietas	
1-33	169-177	radicais	
1-34	178-181	sem	
1-35	182-187	ajuda	
1-36	188-200	profissional	
1-37	200-201	.	
1-38	202-203	A	
1-39	204-212	consulta	
1-40	213-216	com	
1-41	217-219	um	
1-42	220-233	nutricionista	
1-43	234-235	é	
1-44	236-244	gratuita	
1-45	245-249	pelo	
1-46	250-253	SUS	
1-47	253-254	.	
1-48	255-257	Se	
1-49	258-262	você	
1-50	263-268	tiver	
1-51	269-278	interesse	
1-52	278-279	,	
1-53	280-287	procure	
1-54	288-289	a	
1-55	290-297	Unidade	
1-56	298-304	Básica	
1-57	305-307	de	
1-58	308-313	Saúde	
1-59	313-314	.	
1-60	315-316	A	
1-61	317-321	vida	
1-62	322-326	pode	
1-63	327-330	ser	
1-64	331-339	saudável	
1-65	340-341	e	
1-66	342-347	muito	
1-67	348-357	prazerosa	
1-68	358-364	também	
1-69	364-365	!	
