#FORMAT=WebAnno TSV 3.2
#T_SP=webanno.custom.Relaes|value
#T_RL=webanno.custom.Relaes2|value|BT_webanno.custom.Relaes


#Text=A bomba de infusão de insulina é o melhor tratamento existente hoje para o controle do diabetes tipo 1. Esse aparelho fica grudado na pele e possui um sensor que monitora a quantidade de açúcar no sangue durante o dia todo. A bomba de infusão de insulina libera continuamente doses de insulina para ajustar a quantidade de açúcar no sangue durante os períodos de jejum. A bomba de infusão de insulina  também ajusta a quantidade de açúcar no sangue nos momentos em que a pessoa ingere algum alimento. O maior problema desse aparelho é que ele é caro para a maior parte das pessoas, já que ele não está disponível pelo SUS.
1-1	0-1	A	_	_	_	
1-2	2-7	bomba	Insulin[1]	_	_	
1-3	8-10	de	Insulin[1]	_	_	
1-4	11-18	infusão	Insulin[1]	_	_	
1-5	19-21	de	Insulin[1]	_	_	
1-6	22-30	insulina	Insulin[1]	_	_	
1-7	31-32	é	_	_	_	
1-8	33-34	o	_	_	_	
1-9	35-41	melhor	_	_	_	
1-10	42-52	tratamento	_	_	_	
1-11	53-62	existente	_	_	_	
1-12	63-67	hoje	_	_	_	
1-13	68-72	para	_	_	_	
1-14	73-74	o	_	_	_	
1-15	75-83	controle	_	_	_	
1-16	84-86	do	_	_	_	
1-17	87-95	diabetes	DiabetesType[2]	treats	1-2[1_2]	
1-18	96-100	tipo	DiabetesType[2]	_	_	
1-19	101-102	1	DiabetesType[2]	_	_	
1-20	102-103	.	_	_	_	
1-21	104-108	Esse	_	_	_	
1-22	109-117	aparelho	_	_	_	
1-23	118-122	fica	_	_	_	
1-24	123-130	grudado	_	_	_	
1-25	131-133	na	_	_	_	
1-26	134-138	pele	_	_	_	
1-27	139-140	e	_	_	_	
1-28	141-147	possui	_	_	_	
1-29	148-150	um	_	_	_	
1-30	151-157	sensor	_	_	_	
1-31	158-161	que	_	_	_	
1-32	162-170	monitora	_	_	_	
1-33	171-172	a	_	_	_	
1-34	173-183	quantidade	_	_	_	
1-35	184-186	de	_	_	_	
1-36	187-193	açúcar	GlucoseValue[3]	_	_	
1-37	194-196	no	GlucoseValue[3]	_	_	
1-38	197-203	sangue	GlucoseValue[3]	_	_	
1-39	204-211	durante	_	_	_	
1-40	212-213	o	Duration[4]	has	1-45[5_4]	
1-41	214-217	dia	Duration[4]	_	_	
1-42	218-222	todo	Duration[4]	_	_	
1-43	222-223	.	_	_	_	
1-44	224-225	A	_	_	_	
1-45	226-231	bomba	Insulin[5]	_	_	
1-46	232-234	de	Insulin[5]	_	_	
1-47	235-242	infusão	Insulin[5]	_	_	
1-48	243-245	de	Insulin[5]	_	_	
1-49	246-254	insulina	Insulin[5]	_	_	
1-50	255-261	libera	_	_	_	
1-51	262-275	continuamente	_	_	_	
1-52	276-281	doses	_	_	_	
1-53	282-284	de	_	_	_	
1-54	285-293	insulina	_	_	_	
1-55	294-298	para	_	_	_	
1-56	299-306	ajustar	_	_	_	
1-57	307-308	a	_	_	_	
1-58	309-319	quantidade	_	_	_	
1-59	320-322	de	_	_	_	
1-60	323-329	açúcar	GlucoseValue[6]	diagnoses|complicates	1-45[5_6]|1-67[0_6]	
1-61	330-332	no	GlucoseValue[6]	_	_	
1-62	333-339	sangue	GlucoseValue[6]	_	_	
1-63	340-347	durante	_	_	_	
1-64	348-350	os	_	_	_	
1-65	351-359	períodos	_	_	_	
1-66	360-362	de	_	_	_	
1-67	363-368	jejum	NonMedicalTreatment	_	_	
1-68	368-369	.	_	_	_	
1-69	370-371	A	_	_	_	
1-70	372-377	bomba	Insulin[7]	_	_	
1-71	378-380	de	Insulin[7]	_	_	
1-72	381-388	infusão	Insulin[7]	_	_	
1-73	389-391	de	Insulin[7]	_	_	
1-74	392-400	insulina	Insulin[7]	_	_	
1-75	402-408	também	_	_	_	
1-76	409-415	ajusta	_	_	_	
1-77	416-417	a	_	_	_	
1-78	418-428	quantidade	_	_	_	
1-79	429-431	de	_	_	_	
1-80	432-438	açúcar	GlucoseValue[8]	diagnoses|causes	1-70[7_8]|1-87[9_8]	
1-81	439-441	no	GlucoseValue[8]	_	_	
1-82	442-448	sangue	GlucoseValue[8]	_	_	
1-83	449-452	nos	_	_	_	
1-84	453-461	momentos	_	_	_	
1-85	462-464	em	_	_	_	
1-86	465-468	que	_	_	_	
1-87	469-470	a	NonMedicalTreatment[9]	_	_	
1-88	471-477	pessoa	NonMedicalTreatment[9]	_	_	
1-89	478-484	ingere	NonMedicalTreatment[9]	_	_	
1-90	485-490	algum	NonMedicalTreatment[9]	_	_	
1-91	491-499	alimento	NonMedicalTreatment[9]	_	_	
1-92	499-500	.	_	_	_	
1-93	501-502	O	_	_	_	
1-94	503-508	maior	_	_	_	
1-95	509-517	problema	_	_	_	
1-96	518-523	desse	_	_	_	
1-97	524-532	aparelho	_	_	_	
1-98	533-534	é	_	_	_	
1-99	535-538	que	_	_	_	
1-100	539-542	ele	_	_	_	
1-101	543-544	é	_	_	_	
1-102	545-549	caro	_	_	_	
1-103	550-554	para	_	_	_	
1-104	555-556	a	_	_	_	
1-105	557-562	maior	_	_	_	
1-106	563-568	parte	_	_	_	
1-107	569-572	das	_	_	_	
1-108	573-580	pessoas	_	_	_	
1-109	580-581	,	_	_	_	
1-110	582-584	já	_	_	_	
1-111	585-588	que	_	_	_	
1-112	589-592	ele	_	_	_	
1-113	593-596	não	_	_	_	
1-114	597-601	está	_	_	_	
1-115	602-612	disponível	_	_	_	
1-116	613-617	pelo	_	_	_	
1-117	618-621	SUS	_	_	_	
1-118	621-622	.	_	_	_	
