#FORMAT=WebAnno TSV 3.2
#T_SP=webanno.custom.Relaes|value
#T_RL=webanno.custom.Relaes2|value|BT_webanno.custom.Relaes


#Text=A bomba de insulina é um aparelho eletrônico do tamanho de um celular que libera insulina no organismo. Esse aparelho tem um cateter com uma agulha flexível na ponta e essa agulha deve permanecer inserida debaixo da pele na região do abdômen, do braço ou da coxa (precisa ser substituída a cada 2 ou 3 dias). Alguns aparelhos medem a glicemia; outros, não, e a glicemia precisa ser medida separadamente com um glicosímetro.
1-1	0-1	A	_	_	_	
1-2	2-7	bomba	Insulin[1]	_	_	
1-3	8-10	de	Insulin[1]	_	_	
1-4	11-19	insulina	Insulin[1]	_	_	
1-5	20-21	é	_	_	_	
1-6	22-24	um	_	_	_	
1-7	25-33	aparelho	_	_	_	
1-8	34-44	eletrônico	_	_	_	
1-9	45-47	do	_	_	_	
1-10	48-55	tamanho	_	_	_	
1-11	56-58	de	_	_	_	
1-12	59-61	um	_	_	_	
1-13	62-69	celular	_	_	_	
1-14	70-73	que	_	_	_	
1-15	74-80	libera	_	_	_	
1-16	81-89	insulina	Insulin	has	1-2[1_0]	
1-17	90-92	no	_	_	_	
1-18	93-102	organismo	_	_	_	
1-19	102-103	.	_	_	_	
1-20	104-108	Esse	_	_	_	
1-21	109-117	aparelho	_	_	_	
1-22	118-121	tem	_	_	_	
1-23	122-124	um	_	_	_	
1-24	125-132	cateter	NonMedicalTreatment[2]	has	1-2[1_2]	
1-25	133-136	com	NonMedicalTreatment[2]	_	_	
1-26	137-140	uma	NonMedicalTreatment[2]	_	_	
1-27	141-147	agulha	NonMedicalTreatment[2]	_	_	
1-28	148-156	flexível	NonMedicalTreatment[2]	_	_	
1-29	157-159	na	NonMedicalTreatment[2]	_	_	
1-30	160-165	ponta	NonMedicalTreatment[2]	_	_	
1-31	166-167	e	NonMedicalTreatment[2]	_	_	
1-32	168-172	essa	NonMedicalTreatment[2]	_	_	
1-33	173-179	agulha	NonMedicalTreatment[2]	_	_	
1-34	180-184	deve	NonMedicalTreatment[2]	_	_	
1-35	185-195	permanecer	NonMedicalTreatment[2]	_	_	
1-36	196-204	inserida	NonMedicalTreatment[2]	_	_	
1-37	205-212	debaixo	NonMedicalTreatment[2]	_	_	
1-38	213-215	da	NonMedicalTreatment[2]	_	_	
1-39	216-220	pele	NonMedicalTreatment[2]	_	_	
1-40	221-223	na	NonMedicalTreatment[2]	_	_	
1-41	224-230	região	NonMedicalTreatment[2]	_	_	
1-42	231-233	do	NonMedicalTreatment[2]	_	_	
1-43	234-241	abdômen	NonMedicalTreatment[2]	_	_	
1-44	241-242	,	NonMedicalTreatment[2]	_	_	
1-45	243-245	do	NonMedicalTreatment[2]	_	_	
1-46	246-251	braço	NonMedicalTreatment[2]	_	_	
1-47	252-254	ou	NonMedicalTreatment[2]	_	_	
1-48	255-257	da	NonMedicalTreatment[2]	_	_	
1-49	258-262	coxa	NonMedicalTreatment[2]	_	_	
1-50	263-264	(	_	_	_	
1-51	264-271	precisa	_	_	_	
1-52	272-275	ser	_	_	_	
1-53	276-287	substituída	Set[3]	has	1-24[2_3]	
1-54	288-289	a	Set[3]	_	_	
1-55	290-294	cada	Set[3]	_	_	
1-56	295-296	2	Set[3]	_	_	
1-57	297-299	ou	Set[3]	_	_	
1-58	300-301	3	Set[3]	_	_	
1-59	302-306	dias	Set[3]	_	_	
1-60	306-307	)	_	_	_	
1-61	307-308	.	_	_	_	
1-62	309-315	Alguns	_	_	_	
1-63	316-325	aparelhos	_	_	_	
1-64	326-331	medem	_	_	_	
1-65	332-333	a	_	_	_	
1-66	334-342	glicemia	GlucoseValue	diagnoses	1-2[1_0]	
1-67	342-343	;	_	_	_	
1-68	344-350	outros	_	_	_	
1-69	350-351	,	_	_	_	
1-70	352-355	não	_	_	_	
1-71	355-356	,	_	_	_	
1-72	357-358	e	_	_	_	
1-73	359-360	a	_	_	_	
1-74	361-369	glicemia	GlucoseValue	diagnoses	1-81	
1-75	370-377	precisa	_	_	_	
1-76	378-381	ser	_	_	_	
1-77	382-388	medida	_	_	_	
1-78	389-402	separadamente	_	_	_	
1-79	403-406	com	_	_	_	
1-80	407-409	um	_	_	_	
1-81	410-422	glicosímetro	Test	_	_	
1-82	422-423	.	_	_	_	
