#FORMAT=WebAnno TSV 3.2


#Text=A bomba de insulina é um aparelho eletrônico do tamanho de um celular que libera insulina no organismo. Esse aparelho tem um cateter com uma agulha flexível na ponta e essa agulha deve permanecer inserida debaixo da pele na região do abdômen, do braço ou da coxa (precisa ser substituída a cada 2 ou 3 dias). Alguns aparelhos medem a glicemia; outros, não, e a glicemia precisa ser medida separadamente com um glicosímetro.
1-1	0-1	A	
1-2	2-7	bomba	
1-3	8-10	de	
1-4	11-19	insulina	
1-5	20-21	é	
1-6	22-24	um	
1-7	25-33	aparelho	
1-8	34-44	eletrônico	
1-9	45-47	do	
1-10	48-55	tamanho	
1-11	56-58	de	
1-12	59-61	um	
1-13	62-69	celular	
1-14	70-73	que	
1-15	74-80	libera	
1-16	81-89	insulina	
1-17	90-92	no	
1-18	93-102	organismo	
1-19	102-103	.	
1-20	104-108	Esse	
1-21	109-117	aparelho	
1-22	118-121	tem	
1-23	122-124	um	
1-24	125-132	cateter	
1-25	133-136	com	
1-26	137-140	uma	
1-27	141-147	agulha	
1-28	148-156	flexível	
1-29	157-159	na	
1-30	160-165	ponta	
1-31	166-167	e	
1-32	168-172	essa	
1-33	173-179	agulha	
1-34	180-184	deve	
1-35	185-195	permanecer	
1-36	196-204	inserida	
1-37	205-212	debaixo	
1-38	213-215	da	
1-39	216-220	pele	
1-40	221-223	na	
1-41	224-230	região	
1-42	231-233	do	
1-43	234-241	abdômen	
1-44	241-242	,	
1-45	243-245	do	
1-46	246-251	braço	
1-47	252-254	ou	
1-48	255-257	da	
1-49	258-262	coxa	
1-50	263-264	(	
1-51	264-271	precisa	
1-52	272-275	ser	
1-53	276-287	substituída	
1-54	288-289	a	
1-55	290-294	cada	
1-56	295-296	2	
1-57	297-299	ou	
1-58	300-301	3	
1-59	302-306	dias	
1-60	306-307	)	
1-61	307-308	.	
1-62	309-315	Alguns	
1-63	316-325	aparelhos	
1-64	326-331	medem	
1-65	332-333	a	
1-66	334-342	glicemia	
1-67	342-343	;	
1-68	344-350	outros	
1-69	350-351	,	
1-70	352-355	não	
1-71	355-356	,	
1-72	357-358	e	
1-73	359-360	a	
1-74	361-369	glicemia	
1-75	370-377	precisa	
1-76	378-381	ser	
1-77	382-388	medida	
1-78	389-402	separadamente	
1-79	403-406	com	
1-80	407-409	um	
1-81	410-422	glicosímetro	
1-82	422-423	.	
