#FORMAT=WebAnno TSV 3.2
#T_SP=webanno.custom.Relaes|value
#T_RL=webanno.custom.Relaes2|value|BT_webanno.custom.Relaes


#Text=Dormência nos dedos dos pés pode ser causada pela neuropatia diabética. A neuropatia diabética pode ter várias formas de apresentação, sendo a mais comum a polineuropatia sensitiva distal. Esse tipo de neuropatia costuma acometer os membros (pés, pernas, mãos e braços), iniciando com sintomas de dor em queimação principalmente à noite e, com a piora, evoluindo para perda da sensibilidade (dificuldade de sentir o toque). Se você já possui algum dano ou dor crônica existem tratamentos farmacológicos (remédios) que podem auxiliar no controle da dor, mas que devem ser prescritos pelo médico que faz o seu acompanhamento.
1-1	0-9	Dormência	Symptom[1]	causes	1-10[2_1]	
1-2	10-13	nos	Symptom[1]	_	_	
1-3	14-19	dedos	Symptom[1]	_	_	
1-4	20-23	dos	Symptom[1]	_	_	
1-5	24-27	pés	Symptom[1]	_	_	
1-6	28-32	pode	_	_	_	
1-7	33-36	ser	_	_	_	
1-8	37-44	causada	_	_	_	
1-9	45-49	pela	_	_	_	
1-10	50-60	neuropatia	Complication[2]	_	_	
1-11	61-70	diabética	Complication[2]	_	_	
1-12	70-71	.	_	_	_	
1-13	72-73	A	_	_	_	
1-14	74-84	neuropatia	_	_	_	
1-15	85-94	diabética	_	_	_	
1-16	95-99	pode	_	_	_	
1-17	100-103	ter	_	_	_	
1-18	104-110	várias	_	_	_	
1-19	111-117	formas	_	_	_	
1-20	118-120	de	_	_	_	
1-21	121-133	apresentação	_	_	_	
1-22	133-134	,	_	_	_	
1-23	135-140	sendo	_	_	_	
1-24	141-142	a	_	_	_	
1-25	143-147	mais	_	_	_	
1-26	148-153	comum	_	_	_	
1-27	154-155	a	_	_	_	
1-28	156-170	polineuropatia	_	_	_	
1-29	171-180	sensitiva	_	_	_	
1-30	181-187	distal	_	_	_	
1-31	187-188	.	_	_	_	
1-32	189-193	Esse	_	_	_	
1-33	194-198	tipo	_	_	_	
1-34	199-201	de	_	_	_	
1-35	202-212	neuropatia	_	_	_	
1-36	213-220	costuma	_	_	_	
1-37	221-229	acometer	_	_	_	
1-38	230-232	os	_	_	_	
1-39	233-240	membros	_	_	_	
1-40	241-242	(	_	_	_	
1-41	242-245	pés	_	_	_	
1-42	245-246	,	_	_	_	
1-43	247-253	pernas	_	_	_	
1-44	253-254	,	_	_	_	
1-45	255-259	mãos	_	_	_	
1-46	260-261	e	_	_	_	
1-47	262-268	braços	_	_	_	
1-48	268-269	)	_	_	_	
1-49	269-270	,	_	_	_	
1-50	271-280	iniciando	_	_	_	
1-51	281-284	com	_	_	_	
1-52	285-293	sintomas	_	_	_	
1-53	294-296	de	_	_	_	
1-54	297-300	dor	_	_	_	
1-55	301-303	em	_	_	_	
1-56	304-313	queimação	_	_	_	
1-57	314-328	principalmente	_	_	_	
1-58	329-330	à	_	_	_	
1-59	331-336	noite	_	_	_	
1-60	337-338	e	_	_	_	
1-61	338-339	,	_	_	_	
1-62	340-343	com	_	_	_	
1-63	344-345	a	_	_	_	
1-64	346-351	piora	_	_	_	
1-65	351-352	,	_	_	_	
1-66	353-362	evoluindo	_	_	_	
1-67	363-367	para	_	_	_	
1-68	368-373	perda	_	_	_	
1-69	374-376	da	_	_	_	
1-70	377-390	sensibilidade	_	_	_	
1-71	391-392	(	_	_	_	
1-72	392-403	dificuldade	_	_	_	
1-73	404-406	de	_	_	_	
1-74	407-413	sentir	_	_	_	
1-75	414-415	o	_	_	_	
1-76	416-421	toque	_	_	_	
1-77	421-422	)	_	_	_	
1-78	422-423	.	_	_	_	
1-79	424-426	Se	_	_	_	
1-80	427-431	você	_	_	_	
1-81	432-434	já	_	_	_	
1-82	435-441	possui	_	_	_	
1-83	442-447	algum	_	_	_	
1-84	448-452	dano	_	_	_	
1-85	453-455	ou	_	_	_	
1-86	456-459	dor	_	_	_	
1-87	460-467	crônica	_	_	_	
1-88	468-475	existem	_	_	_	
1-89	476-487	tratamentos	_	_	_	
1-90	488-502	farmacológicos	_	_	_	
1-91	503-504	(	_	_	_	
1-92	504-512	remédios	_	_	_	
1-93	512-513	)	_	_	_	
1-94	514-517	que	_	_	_	
1-95	518-523	podem	_	_	_	
1-96	524-532	auxiliar	_	_	_	
1-97	533-535	no	_	_	_	
1-98	536-544	controle	_	_	_	
1-99	545-547	da	_	_	_	
1-100	548-551	dor	_	_	_	
1-101	551-552	,	_	_	_	
1-102	553-556	mas	_	_	_	
1-103	557-560	que	_	_	_	
1-104	561-566	devem	_	_	_	
1-105	567-570	ser	_	_	_	
1-106	571-581	prescritos	_	_	_	
1-107	582-586	pelo	_	_	_	
1-108	587-593	médico	_	_	_	
1-109	594-597	que	_	_	_	
1-110	598-601	faz	_	_	_	
1-111	602-603	o	_	_	_	
1-112	604-607	seu	_	_	_	
1-113	608-622	acompanhamento	_	_	_	
1-114	622-623	.	_	_	_	
