#FORMAT=WebAnno TSV 3.2


#Text=Quem tem diabetes tem mais chances de sofrer complicações após fazer uma cirurgia. Mas isso não quer dizer que a pessoa com diabetes deve evitar todo tipo de cirurgia. O ideal é que se analise caso a caso, para determinar quais são os riscos e benefícios de cada procedimento cirúrgico.
1-1	0-4	Quem	
1-2	5-8	tem	
1-3	9-17	diabetes	
1-4	18-21	tem	
1-5	22-26	mais	
1-6	27-34	chances	
1-7	35-37	de	
1-8	38-44	sofrer	
1-9	45-57	complicações	
1-10	58-62	após	
1-11	63-68	fazer	
1-12	69-72	uma	
1-13	73-81	cirurgia	
1-14	81-82	.	
1-15	83-86	Mas	
1-16	87-91	isso	
1-17	92-95	não	
1-18	96-100	quer	
1-19	101-106	dizer	
1-20	107-110	que	
1-21	111-112	a	
1-22	113-119	pessoa	
1-23	120-123	com	
1-24	124-132	diabetes	
1-25	133-137	deve	
1-26	138-144	evitar	
1-27	145-149	todo	
1-28	150-154	tipo	
1-29	155-157	de	
1-30	158-166	cirurgia	
1-31	166-167	.	
1-32	168-169	O	
1-33	170-175	ideal	
1-34	176-177	é	
1-35	178-181	que	
1-36	182-184	se	
1-37	185-192	analise	
1-38	193-197	caso	
1-39	198-199	a	
1-40	200-204	caso	
1-41	204-205	,	
1-42	206-210	para	
1-43	211-221	determinar	
1-44	222-227	quais	
1-45	228-231	são	
1-46	232-234	os	
1-47	235-241	riscos	
1-48	242-243	e	
1-49	244-254	benefícios	
1-50	255-257	de	
1-51	258-262	cada	
1-52	263-275	procedimento	
1-53	276-285	cirúrgico	
1-54	285-286	.	
