#FORMAT=WebAnno TSV 3.2


#Text=Extrair dentes pode ser aconselhável em diversas condições, mas não é adequado avaliar isso sem o exame do médico. Recomendamos que você procure um médico que irá avaliar seu caso com mais profundidade. Quando se tem uma doença crônica, é preciso confiar nas recomendações do profissional que acompanha. Confie e siga as recomendações do seu médico, ele conhece o seu caso e  recomendará o melhor tratamento!
1-1	0-7	Extrair	
1-2	8-14	dentes	
1-3	15-19	pode	
1-4	20-23	ser	
1-5	24-36	aconselhável	
1-6	37-39	em	
1-7	40-48	diversas	
1-8	49-58	condições	
1-9	58-59	,	
1-10	60-63	mas	
1-11	64-67	não	
1-12	68-69	é	
1-13	70-78	adequado	
1-14	79-86	avaliar	
1-15	87-91	isso	
1-16	92-95	sem	
1-17	96-97	o	
1-18	98-103	exame	
1-19	104-106	do	
1-20	107-113	médico	
1-21	113-114	.	
1-22	115-127	Recomendamos	
1-23	128-131	que	
1-24	132-136	você	
1-25	137-144	procure	
1-26	145-147	um	
1-27	148-154	médico	
1-28	155-158	que	
1-29	159-162	irá	
1-30	163-170	avaliar	
1-31	171-174	seu	
1-32	175-179	caso	
1-33	180-183	com	
1-34	184-188	mais	
1-35	189-201	profundidade	
1-36	201-202	.	
1-37	203-209	Quando	
1-38	210-212	se	
1-39	213-216	tem	
1-40	217-220	uma	
1-41	221-227	doença	
1-42	228-235	crônica	
1-43	235-236	,	
1-44	237-238	é	
1-45	239-246	preciso	
1-46	247-254	confiar	
1-47	255-258	nas	
1-48	259-272	recomendações	
1-49	273-275	do	
1-50	276-288	profissional	
1-51	289-292	que	
1-52	293-302	acompanha	
1-53	302-303	.	
1-54	304-310	Confie	
1-55	311-312	e	
1-56	313-317	siga	
1-57	318-320	as	
1-58	321-334	recomendações	
1-59	335-337	do	
1-60	338-341	seu	
1-61	342-348	médico	
1-62	348-349	,	
1-63	350-353	ele	
1-64	354-361	conhece	
1-65	362-363	o	
1-66	364-367	seu	
1-67	368-372	caso	
1-68	373-374	e	
1-69	376-387	recomendará	
1-70	388-389	o	
1-71	390-396	melhor	
1-72	397-407	tratamento	
1-73	407-408	!	
