#FORMAT=WebAnno TSV 3.2
#T_SP=webanno.custom.Relaes|value
#T_RL=webanno.custom.Relaes2|value|BT_webanno.custom.Relaes


#Text=Alguns procedimentos médicos como tratamento de dentes exigem maiores cuidados em pessoas com diabetes e alguns nem podem ser realizados. É muito importante que qualquer profissional de saúde que atenda você - incluindo sua dentista - saiba que você tem diabetes. Se a sua dentista não se sente confortável para atender você, ela poderá indicar outro profissional capacitado. Não falar que você tem diabetes pode ser perigoso.
1-1	0-6	Alguns	_	_	_	
1-2	7-20	procedimentos	_	_	_	
1-3	21-28	médicos	_	_	_	
1-4	29-33	como	_	_	_	
1-5	34-44	tratamento	Medication[1]	complicates	1-14[0_1]	
1-6	45-47	de	Medication[1]	_	_	
1-7	48-54	dentes	Medication[1]	_	_	
1-8	55-61	exigem	_	_	_	
1-9	62-69	maiores	_	_	_	
1-10	70-78	cuidados	_	_	_	
1-11	79-81	em	_	_	_	
1-12	82-89	pessoas	_	_	_	
1-13	90-93	com	_	_	_	
1-14	94-102	diabetes	DiabetesType	_	_	
1-15	103-104	e	_	_	_	
1-16	105-111	alguns	_	_	_	
1-17	112-115	nem	_	_	_	
1-18	116-121	podem	_	_	_	
1-19	122-125	ser	_	_	_	
1-20	126-136	realizados	_	_	_	
1-21	136-137	.	_	_	_	
1-22	138-139	É	_	_	_	
1-23	140-145	muito	_	_	_	
1-24	146-156	importante	_	_	_	
1-25	157-160	que	_	_	_	
1-26	161-169	qualquer	_	_	_	
1-27	170-182	profissional	_	_	_	
1-28	183-185	de	_	_	_	
1-29	186-191	saúde	_	_	_	
1-30	192-195	que	_	_	_	
1-31	196-202	atenda	_	_	_	
1-32	203-207	você	_	_	_	
1-33	208-209	-	_	_	_	
1-34	210-219	incluindo	_	_	_	
1-35	220-223	sua	_	_	_	
1-36	224-232	dentista	_	_	_	
1-37	233-234	-	_	_	_	
1-38	235-240	saiba	_	_	_	
1-39	241-244	que	_	_	_	
1-40	245-249	você	_	_	_	
1-41	250-253	tem	_	_	_	
1-42	254-262	diabetes	_	_	_	
1-43	262-263	.	_	_	_	
1-44	264-266	Se	_	_	_	
1-45	267-268	a	_	_	_	
1-46	269-272	sua	_	_	_	
1-47	273-281	dentista	_	_	_	
1-48	282-285	não	_	_	_	
1-49	286-288	se	_	_	_	
1-50	289-294	sente	_	_	_	
1-51	295-306	confortável	_	_	_	
1-52	307-311	para	_	_	_	
1-53	312-319	atender	_	_	_	
1-54	320-324	você	_	_	_	
1-55	324-325	,	_	_	_	
1-56	326-329	ela	_	_	_	
1-57	330-336	poderá	_	_	_	
1-58	337-344	indicar	_	_	_	
1-59	345-350	outro	_	_	_	
1-60	351-363	profissional	_	_	_	
1-61	364-374	capacitado	_	_	_	
1-62	374-375	.	_	_	_	
1-63	376-379	Não	_	_	_	
1-64	380-385	falar	_	_	_	
1-65	386-389	que	_	_	_	
1-66	390-394	você	_	_	_	
1-67	395-398	tem	_	_	_	
1-68	399-407	diabetes	_	_	_	
1-69	408-412	pode	_	_	_	
1-70	413-416	ser	_	_	_	
1-71	417-425	perigoso	_	_	_	
1-72	425-426	.	_	_	_	
