#FORMAT=WebAnno TSV 3.2


#Text=Alguns procedimentos médicos como tratamento de dentes exigem maiores cuidados em pessoas com diabetes e alguns nem podem ser realizados. É muito importante que qualquer profissional de saúde que atenda você - incluindo sua dentista - saiba que você tem diabetes. Se a sua dentista não se sente confortável para atender você, ela poderá indicar outro profissional capacitado. Não falar que você tem diabetes pode ser perigoso.
1-1	0-6	Alguns	
1-2	7-20	procedimentos	
1-3	21-28	médicos	
1-4	29-33	como	
1-5	34-44	tratamento	
1-6	45-47	de	
1-7	48-54	dentes	
1-8	55-61	exigem	
1-9	62-69	maiores	
1-10	70-78	cuidados	
1-11	79-81	em	
1-12	82-89	pessoas	
1-13	90-93	com	
1-14	94-102	diabetes	
1-15	103-104	e	
1-16	105-111	alguns	
1-17	112-115	nem	
1-18	116-121	podem	
1-19	122-125	ser	
1-20	126-136	realizados	
1-21	136-137	.	
1-22	138-139	É	
1-23	140-145	muito	
1-24	146-156	importante	
1-25	157-160	que	
1-26	161-169	qualquer	
1-27	170-182	profissional	
1-28	183-185	de	
1-29	186-191	saúde	
1-30	192-195	que	
1-31	196-202	atenda	
1-32	203-207	você	
1-33	208-209	-	
1-34	210-219	incluindo	
1-35	220-223	sua	
1-36	224-232	dentista	
1-37	233-234	-	
1-38	235-240	saiba	
1-39	241-244	que	
1-40	245-249	você	
1-41	250-253	tem	
1-42	254-262	diabetes	
1-43	262-263	.	
1-44	264-266	Se	
1-45	267-268	a	
1-46	269-272	sua	
1-47	273-281	dentista	
1-48	282-285	não	
1-49	286-288	se	
1-50	289-294	sente	
1-51	295-306	confortável	
1-52	307-311	para	
1-53	312-319	atender	
1-54	320-324	você	
1-55	324-325	,	
1-56	326-329	ela	
1-57	330-336	poderá	
1-58	337-344	indicar	
1-59	345-350	outro	
1-60	351-363	profissional	
1-61	364-374	capacitado	
1-62	374-375	.	
1-63	376-379	Não	
1-64	380-385	falar	
1-65	386-389	que	
1-66	390-394	você	
1-67	395-398	tem	
1-68	399-407	diabetes	
1-69	408-412	pode	
1-70	413-416	ser	
1-71	417-425	perigoso	
1-72	425-426	.	
