#FORMAT=WebAnno TSV 3.2


#Text=Nas pessoas com diabetes mal controlado pode levar mais tempo para parar um sangramento ou cicatrizar um corte. O alerta é para qualquer ferida, mas especialmente nos pés. É recomendado que pessoas com diabetes olhem seus pés diariamente, mesmo que haja apenas uma pequena rachadura ou ferida de farpa. Se você estiver com todos os exames controlados com seu médico, o tempo de cicatrização deve ser parecido com o de qualquer pessoa considerada saudável.
1-1	0-3	Nas	
1-2	4-11	pessoas	
1-3	12-15	com	
1-4	16-24	diabetes	
1-5	25-28	mal	
1-6	29-39	controlado	
1-7	40-44	pode	
1-8	45-50	levar	
1-9	51-55	mais	
1-10	56-61	tempo	
1-11	62-66	para	
1-12	67-72	parar	
1-13	73-75	um	
1-14	76-87	sangramento	
1-15	88-90	ou	
1-16	91-101	cicatrizar	
1-17	102-104	um	
1-18	105-110	corte	
1-19	110-111	.	
1-20	112-113	O	
1-21	114-120	alerta	
1-22	121-122	é	
1-23	123-127	para	
1-24	128-136	qualquer	
1-25	137-143	ferida	
1-26	143-144	,	
1-27	145-148	mas	
1-28	149-162	especialmente	
1-29	163-166	nos	
1-30	167-170	pés	
1-31	170-171	.	
1-32	172-173	É	
1-33	174-185	recomendado	
1-34	186-189	que	
1-35	190-197	pessoas	
1-36	198-201	com	
1-37	202-210	diabetes	
1-38	211-216	olhem	
1-39	217-221	seus	
1-40	222-225	pés	
1-41	226-237	diariamente	
1-42	237-238	,	
1-43	239-244	mesmo	
1-44	245-248	que	
1-45	249-253	haja	
1-46	254-260	apenas	
1-47	261-264	uma	
1-48	265-272	pequena	
1-49	273-282	rachadura	
1-50	283-285	ou	
1-51	286-292	ferida	
1-52	293-295	de	
1-53	296-301	farpa	
1-54	301-302	.	
1-55	303-305	Se	
1-56	306-310	você	
1-57	311-318	estiver	
1-58	319-322	com	
1-59	323-328	todos	
1-60	329-331	os	
1-61	332-338	exames	
1-62	339-350	controlados	
1-63	351-354	com	
1-64	355-358	seu	
1-65	359-365	médico	
1-66	365-366	,	
1-67	367-368	o	
1-68	369-374	tempo	
1-69	375-377	de	
1-70	378-390	cicatrização	
1-71	391-395	deve	
1-72	396-399	ser	
1-73	400-408	parecido	
1-74	409-412	com	
1-75	413-414	o	
1-76	415-417	de	
1-77	418-426	qualquer	
1-78	427-433	pessoa	
1-79	434-445	considerada	
1-80	446-454	saudável	
1-81	454-455	.	
