#FORMAT=WebAnno TSV 3.2
#T_SP=webanno.custom.Relaes|value
#T_RL=webanno.custom.Relaes2|value|BT_webanno.custom.Relaes


#Text=Nas pessoas com diabetes mal controlado pode levar mais tempo para parar um sangramento ou cicatrizar um corte. O alerta é para qualquer ferida, mas especialmente nos pés. É recomendado que pessoas com diabetes olhem seus pés diariamente, mesmo que haja apenas uma pequena rachadura ou ferida de farpa. Se você estiver com todos os exames controlados com seu médico, o tempo de cicatrização deve ser parecido com o de qualquer pessoa considerada saudável.
1-1	0-3	Nas	_	_	_	
1-2	4-11	pessoas	_	_	_	
1-3	12-15	com	_	_	_	
1-4	16-24	diabetes	Complication[1]	has|prevents|has	1-25[0_1]|1-38[3_1]|1-9[2_1]	
1-5	25-28	mal	Complication[1]	_	_	
1-6	29-39	controlado	Complication[1]	_	_	
1-7	40-44	pode	_	_	_	
1-8	45-50	levar	_	_	_	
1-9	51-55	mais	Symptom[2]	_	_	
1-10	56-61	tempo	Symptom[2]	_	_	
1-11	62-66	para	Symptom[2]	_	_	
1-12	67-72	parar	Symptom[2]	_	_	
1-13	73-75	um	Symptom[2]	_	_	
1-14	76-87	sangramento	Symptom[2]	_	_	
1-15	88-90	ou	Symptom[2]	_	_	
1-16	91-101	cicatrizar	Symptom[2]	_	_	
1-17	102-104	um	Symptom[2]	_	_	
1-18	105-110	corte	Symptom[2]	_	_	
1-19	110-111	.	_	_	_	
1-20	112-113	O	_	_	_	
1-21	114-120	alerta	_	_	_	
1-22	121-122	é	_	_	_	
1-23	123-127	para	_	_	_	
1-24	128-136	qualquer	_	_	_	
1-25	137-143	ferida	Symptom	_	_	
1-26	143-144	,	_	_	_	
1-27	145-148	mas	_	_	_	
1-28	149-162	especialmente	_	_	_	
1-29	163-166	nos	_	_	_	
1-30	167-170	pés	_	_	_	
1-31	170-171	.	_	_	_	
1-32	172-173	É	_	_	_	
1-33	174-185	recomendado	_	_	_	
1-34	186-189	que	_	_	_	
1-35	190-197	pessoas	_	_	_	
1-36	198-201	com	_	_	_	
1-37	202-210	diabetes	_	_	_	
1-38	211-216	olhem	NonMedicalTreatment[3]	_	_	
1-39	217-221	seus	NonMedicalTreatment[3]	_	_	
1-40	222-225	pés	NonMedicalTreatment[3]	_	_	
1-41	226-237	diariamente	NonMedicalTreatment[3]	_	_	
1-42	237-238	,	_	_	_	
1-43	239-244	mesmo	_	_	_	
1-44	245-248	que	_	_	_	
1-45	249-253	haja	_	_	_	
1-46	254-260	apenas	_	_	_	
1-47	261-264	uma	_	_	_	
1-48	265-272	pequena	_	_	_	
1-49	273-282	rachadura	_	_	_	
1-50	283-285	ou	_	_	_	
1-51	286-292	ferida	_	_	_	
1-52	293-295	de	_	_	_	
1-53	296-301	farpa	_	_	_	
1-54	301-302	.	_	_	_	
1-55	303-305	Se	_	_	_	
1-56	306-310	você	_	_	_	
1-57	311-318	estiver	_	_	_	
1-58	319-322	com	_	_	_	
1-59	323-328	todos	_	_	_	
1-60	329-331	os	_	_	_	
1-61	332-338	exames	_	_	_	
1-62	339-350	controlados	_	_	_	
1-63	351-354	com	_	_	_	
1-64	355-358	seu	_	_	_	
1-65	359-365	médico	_	_	_	
1-66	365-366	,	_	_	_	
1-67	367-368	o	_	_	_	
1-68	369-374	tempo	_	_	_	
1-69	375-377	de	_	_	_	
1-70	378-390	cicatrização	_	_	_	
1-71	391-395	deve	_	_	_	
1-72	396-399	ser	_	_	_	
1-73	400-408	parecido	_	_	_	
1-74	409-412	com	_	_	_	
1-75	413-414	o	_	_	_	
1-76	415-417	de	_	_	_	
1-77	418-426	qualquer	_	_	_	
1-78	427-433	pessoa	_	_	_	
1-79	434-445	considerada	_	_	_	
1-80	446-454	saudável	_	_	_	
1-81	454-455	.	_	_	_	
