#FORMAT=WebAnno TSV 3.2
#T_SP=webanno.custom.Relaes|value
#T_RL=webanno.custom.Relaes2|value|BT_webanno.custom.Relaes


#Text=Formigamento nas pernas pode ser provocado pela neuropatia diabética. Essa complicação costuma afetar os membros (pés, pernas, mãos e braços). Começa com dor em queimação e  piora até perder a sensibilidade (dificuldade de sentir o toque). O primeiro passo no tratamento da neuropatia é controlar a quantidade de açúcar no sangue (glicemia) e impedir o avanço da neuropatia. É preciso também ter muito cuidado com os pés: não ficar descalço, evitar sapatos de bico apertado, utilizar tênis confortáveis e dar sempre uma olhada no pé todo em busca de feridas ou infecções. Se você já tem alguma ferida ou dor crônica existem tratamentos farmacológicos (remédios) que podem auxiliar no controle da dor, mas que devem ser prescritos pelo médico que faz o seu acompanhamento. É muito importante que você agende uma consulta com o seu médico para que ele possa avaliar a sua situação e propor algum tratamento, se possível.
1-1	0-12	Formigamento	Symptom[1]	has	1-8[2_1]	
1-2	13-16	nas	Symptom[1]	_	_	
1-3	17-23	pernas	Symptom[1]	_	_	
1-4	24-28	pode	_	_	_	
1-5	29-32	ser	_	_	_	
1-6	33-42	provocado	_	_	_	
1-7	43-47	pela	_	_	_	
1-8	48-58	neuropatia	Complication[2]	has|has|has	1-29[3_2]|1-35[4_2]|1-39[5_2]	
1-9	59-68	diabética	Complication[2]	_	_	
1-10	68-69	.	_	_	_	
1-11	70-74	Essa	_	_	_	
1-12	75-86	complicação	_	_	_	
1-13	87-94	costuma	_	_	_	
1-14	95-101	afetar	_	_	_	
1-15	102-104	os	_	_	_	
1-16	105-112	membros	_	_	_	
1-17	113-114	(	_	_	_	
1-18	114-117	pés	_	_	_	
1-19	117-118	,	_	_	_	
1-20	119-125	pernas	_	_	_	
1-21	125-126	,	_	_	_	
1-22	127-131	mãos	_	_	_	
1-23	132-133	e	_	_	_	
1-24	134-140	braços	_	_	_	
1-25	140-141	)	_	_	_	
1-26	141-142	.	_	_	_	
1-27	143-149	Começa	_	_	_	
1-28	150-153	com	_	_	_	
1-29	154-157	dor	Symptom[3]	_	_	
1-30	158-160	em	Symptom[3]	_	_	
1-31	161-170	queimação	Symptom[3]	_	_	
1-32	171-172	e	_	_	_	
1-33	174-179	piora	_	_	_	
1-34	180-183	até	_	_	_	
1-35	184-190	perder	Symptom[4]	_	_	
1-36	191-192	a	Symptom[4]	_	_	
1-37	193-206	sensibilidade	Symptom[4]	_	_	
1-38	207-208	(	_	_	_	
1-39	208-219	dificuldade	Symptom[5]	_	_	
1-40	220-222	de	Symptom[5]	_	_	
1-41	223-229	sentir	Symptom[5]	_	_	
1-42	230-231	o	Symptom[5]	_	_	
1-43	232-237	toque	Symptom[5]	_	_	
1-44	237-238	)	_	_	_	
