#FORMAT=WebAnno TSV 3.2
#T_SP=webanno.custom.Relaes|value


#Text=O diagnóstico de diabetes só pode ser confirmado por exames médicos, mas existem alguns sinais e sintomas que sinalizam diabetes. Se a pessoa estiver urinando muito, com muita sede o dia todo (mesmo tomando água normalmente), com fome exagerada (mesmo se alimentando regularmente), perdendo peso rápido, apresentando fraqueza, cansaço e com a vista embaçada, pode ser que ela tenha diabetes.
1-1	0-1	O	_	
1-2	2-13	diagnóstico	_	
1-3	14-16	de	_	
1-4	17-25	diabetes	_	
1-5	26-28	só	_	
1-6	29-33	pode	_	
1-7	34-37	ser	_	
1-8	38-48	confirmado	_	
1-9	49-52	por	_	
1-10	53-59	exames	Test[1]	
1-11	60-67	médicos	Test[1]	
1-12	67-68	,	_	
1-13	69-72	mas	_	
1-14	73-80	existem	_	
1-15	81-87	alguns	_	
1-16	88-94	sinais	_	
1-17	95-96	e	_	
1-18	97-105	sintomas	_	
1-19	106-109	que	_	
1-20	110-119	sinalizam	_	
1-21	120-128	diabetes	_	
1-22	128-129	.	_	
1-23	130-132	Se	_	
1-24	133-134	a	_	
1-25	135-141	pessoa	_	
1-26	142-149	estiver	_	
1-27	150-158	urinando	Symptom[2]	
1-28	159-164	muito	Symptom[2]	
1-29	164-165	,	_	
1-30	166-169	com	_	
1-31	170-175	muita	Symptom[3]	
1-32	176-180	sede	Symptom[3]	
1-33	181-182	o	_	
1-34	183-186	dia	Set[4]	
1-35	187-191	todo	Set[4]	
1-36	192-193	(	_	
1-37	193-198	mesmo	_	
1-38	199-206	tomando	_	
1-39	207-211	água	_	
1-40	212-223	normalmente	_	
1-41	223-224	)	_	
1-42	224-225	,	_	
1-43	226-229	com	_	
1-44	230-234	fome	Symptom[5]	
1-45	235-244	exagerada	Symptom[5]	
1-46	245-246	(	_	
1-47	246-251	mesmo	_	
1-48	252-254	se	_	
1-49	255-266	alimentando	_	
1-50	267-279	regularmente	_	
1-51	279-280	)	_	
1-52	280-281	,	_	
1-53	282-290	perdendo	Symptom[6]	
1-54	291-295	peso	Symptom[6]	
1-55	296-302	rápido	Symptom[6]	
1-56	302-303	,	_	
1-57	304-316	apresentando	Symptom[7]	
1-58	317-325	fraqueza	Symptom[7]	
1-59	325-326	,	_	
1-60	327-334	cansaço	Symptom	
1-61	335-336	e	_	
1-62	337-340	com	_	
1-63	341-342	a	_	
1-64	343-348	vista	Symptom[8]	
1-65	349-357	embaçada	Symptom[8]	
1-66	357-358	,	_	
1-67	359-363	pode	_	
1-68	364-367	ser	_	
1-69	368-371	que	_	
1-70	372-375	ela	_	
1-71	376-381	tenha	_	
1-72	382-390	diabetes	_	
1-73	390-391	.	_	

#Text=Em diabetes tipo 1, um dos sintomas iniciais típicos é a cetoacidose diabética. Já em diabetes tipo 2 (principalmente em idosos) pode ocorrer o estado hiperglicêmico hiperosmolar. O médico pode solicitar exames para verificar isso.
2-1	392-394	Em	_	
2-2	395-403	diabetes	DiabetesType[9]	
2-3	404-408	tipo	DiabetesType[9]	
2-4	409-410	1	DiabetesType[9]	
2-5	410-411	,	_	
2-6	412-414	um	_	
2-7	415-418	dos	_	
2-8	419-427	sintomas	_	
2-9	428-436	iniciais	_	
2-10	437-444	típicos	_	
2-11	445-446	é	_	
2-12	447-448	a	_	
2-13	449-460	cetoacidose	Complication[10]	
2-14	461-470	diabética	Complication[10]	
2-15	470-471	.	_	
2-16	472-474	Já	_	
2-17	475-477	em	_	
2-18	478-486	diabetes	DiabetesType[11]	
2-19	487-491	tipo	DiabetesType[11]	
2-20	492-493	2	DiabetesType[11]	
2-21	494-495	(	_	
2-22	495-509	principalmente	_	
2-23	510-512	em	_	
2-24	513-519	idosos	_	
2-25	519-520	)	_	
2-26	521-525	pode	_	
2-27	526-533	ocorrer	_	
2-28	534-535	o	_	
2-29	536-542	estado	Complication[12]	
2-30	543-557	hiperglicêmico	Complication[12]	
2-31	558-570	hiperosmolar	Complication[12]	
2-32	570-571	.	_	
2-33	572-573	O	_	
2-34	574-580	médico	_	
2-35	581-585	pode	_	
2-36	586-595	solicitar	_	
2-37	596-602	exames	Test	
2-38	603-607	para	_	
2-39	608-617	verificar	_	
2-40	618-622	isso	_	
2-41	622-623	.	_	
