#FORMAT=WebAnno TSV 3.2
#T_SP=webanno.custom.Relaes|value
#T_RL=webanno.custom.Relaes2|value|BT_webanno.custom.Relaes


#Text=A farinha de coco e a farinha de amêndoas possuem fibras e baixo índice glicêmico (o açúcar presente nelas é absorvido mais lentamente) e isso é algo positivo para quem tem diabetes. Mas também é importante lembrar que tudo em excesso faz mal e que mais importante que comer ou deixar de comer certos alimentos, é ter uma dieta balanceada com os nutrientes e calorias adequadas para cada pessoa. Por isso, é ideal que se consulte com um nutricionista (que estão disponíveis gratuitamente no SUS) que poderá montar uma dieta ideal para as suas necessidades.
1-1	0-1	A	_	_	_	
1-2	2-9	farinha	Food[1]	_	_	
1-3	10-12	de	Food[1]	_	_	
1-4	13-17	coco	Food[1]	_	_	
1-5	18-19	e	_	_	_	
1-6	20-21	a	_	_	_	
1-7	22-29	farinha	Food[2]	_	_	
1-8	30-32	de	Food[2]	_	_	
1-9	33-41	amêndoas	Food[2]	_	_	
1-10	42-49	possuem	_	_	_	
1-11	50-56	fibras	_	_	_	
1-12	57-58	e	_	_	_	
1-13	59-64	baixo	GlucoseValue[3]	has|has	1-7[2_3]|1-2[1_3]	
1-14	65-71	índice	GlucoseValue[3]	_	_	
1-15	72-81	glicêmico	GlucoseValue[3]	_	_	
1-16	82-83	(	_	_	_	
1-17	83-84	o	_	_	_	
1-18	85-91	açúcar	_	_	_	
1-19	92-100	presente	_	_	_	
1-20	101-106	nelas	_	_	_	
1-21	107-108	é	_	_	_	
1-22	109-118	absorvido	_	_	_	
1-23	119-123	mais	_	_	_	
1-24	124-134	lentamente	_	_	_	
1-25	134-135	)	_	_	_	
1-26	136-137	e	_	_	_	
1-27	138-142	isso	_	_	_	
1-28	143-144	é	_	_	_	
1-29	145-149	algo	_	_	_	
1-30	150-158	positivo	_	_	_	
1-31	159-163	para	_	_	_	
1-32	164-168	quem	_	_	_	
1-33	169-172	tem	_	_	_	
1-34	173-181	diabetes	_	_	_	
1-35	181-182	.	_	_	_	
1-36	183-186	Mas	_	_	_	
1-37	187-193	também	_	_	_	
1-38	194-195	é	_	_	_	
1-39	196-206	importante	_	_	_	
1-40	207-214	lembrar	_	_	_	
1-41	215-218	que	_	_	_	
1-42	219-223	tudo	_	_	_	
1-43	224-226	em	_	_	_	
1-44	227-234	excesso	_	_	_	
1-45	235-238	faz	_	_	_	
1-46	239-242	mal	_	_	_	
1-47	243-244	e	_	_	_	
1-48	245-248	que	_	_	_	
1-49	249-253	mais	_	_	_	
1-50	254-264	importante	_	_	_	
1-51	265-268	que	_	_	_	
1-52	269-274	comer	_	_	_	
1-53	275-277	ou	_	_	_	
1-54	278-284	deixar	_	_	_	
1-55	285-287	de	_	_	_	
1-56	288-293	comer	_	_	_	
1-57	294-300	certos	_	_	_	
1-58	301-310	alimentos	_	_	_	
1-59	310-311	,	_	_	_	
1-60	312-313	é	_	_	_	
1-61	314-317	ter	_	_	_	
1-62	318-321	uma	_	_	_	
1-63	322-327	dieta	_	_	_	
1-64	328-338	balanceada	_	_	_	
1-65	339-342	com	_	_	_	
1-66	343-345	os	_	_	_	
1-67	346-356	nutrientes	_	_	_	
1-68	357-358	e	_	_	_	
1-69	359-367	calorias	_	_	_	
1-70	368-377	adequadas	_	_	_	
1-71	378-382	para	_	_	_	
1-72	383-387	cada	_	_	_	
1-73	388-394	pessoa	_	_	_	
1-74	394-395	.	_	_	_	
1-75	396-399	Por	_	_	_	
1-76	400-404	isso	_	_	_	
1-77	404-405	,	_	_	_	
1-78	406-407	é	_	_	_	
1-79	408-413	ideal	_	_	_	
1-80	414-417	que	_	_	_	
1-81	418-420	se	_	_	_	
1-82	421-429	consulte	_	_	_	
1-83	430-433	com	_	_	_	
1-84	434-436	um	_	_	_	
1-85	437-450	nutricionista	_	_	_	
1-86	451-452	(	_	_	_	
1-87	452-455	que	_	_	_	
1-88	456-461	estão	_	_	_	
1-89	462-473	disponíveis	_	_	_	
1-90	474-487	gratuitamente	_	_	_	
1-91	488-490	no	_	_	_	
1-92	491-494	SUS	_	_	_	
1-93	494-495	)	_	_	_	
1-94	496-499	que	_	_	_	
1-95	500-506	poderá	_	_	_	
1-96	507-513	montar	_	_	_	
1-97	514-517	uma	_	_	_	
1-98	518-523	dieta	_	_	_	
1-99	524-529	ideal	_	_	_	
1-100	530-534	para	_	_	_	
1-101	535-537	as	_	_	_	
1-102	538-542	suas	_	_	_	
1-103	543-555	necessidades	_	_	_	
1-104	555-556	.	_	_	_	
