#FORMAT=WebAnno TSV 3.2
#T_SP=webanno.custom.Relaes|value


#Text=A farinha de aveia e a farinha de amêndoas possuem fibras e baixo índice glicêmico (o açúcar presente nelas é absorvido mais lentamente). Isso é algo positivo para quem tem diabetes. Além disso, alimentos integrais em geral possuem mais fibras e um índice glicêmico mais baixo (glicose é absorvida mais lentamente) do que os alimentos mais processados. Os alimentos integrais são, em teoria, alimentos melhores para pacientes diabéticos. Esse é o caso também da farinha de trigo integral, mas ela também pode conter uma alta carga de carboidratos, devendo ser consumida com moderação. É importante lembrar que tudo em excesso faz mal e que mais importante que comer ou deixar de comer certos alimentos, é ter uma dieta balanceada com os nutrientes e calorias adequadas para cada pessoa. Por isso, é ideal que se consulte  um nutricionista (disponível gratuitamente no SUS) que poderá montar uma dieta ideal para as suas necessidades.
1-1	0-1	A	_	
1-2	2-9	farinha	Food[1]	
1-3	10-12	de	Food[1]	
1-4	13-18	aveia	Food[1]	
1-5	19-20	e	_	
1-6	21-22	a	_	
1-7	23-30	farinha	Food[2]	
1-8	31-33	de	Food[2]	
1-9	34-42	amêndoas	Food[2]	
1-10	43-50	possuem	_	
1-11	51-57	fibras	_	
1-12	58-59	e	_	
1-13	60-65	baixo	_	
1-14	66-72	índice	_	
1-15	73-82	glicêmico	_	
1-16	83-84	(	_	
1-17	84-85	o	_	
1-18	86-92	açúcar	_	
1-19	93-101	presente	_	
1-20	102-107	nelas	_	
1-21	108-109	é	_	
1-22	110-119	absorvido	_	
1-23	120-124	mais	_	
1-24	125-135	lentamente	_	
1-25	135-136	)	_	
1-26	136-137	.	_	
1-27	138-142	Isso	_	
1-28	143-144	é	_	
1-29	145-149	algo	_	
1-30	150-158	positivo	_	
1-31	159-163	para	_	
1-32	164-168	quem	_	
1-33	169-172	tem	_	
1-34	173-181	diabetes	_	
1-35	181-182	.	_	
1-36	183-187	Além	_	
1-37	188-193	disso	_	
1-38	193-194	,	_	
1-39	195-204	alimentos	Food[3]	
1-40	205-214	integrais	Food[3]	
1-41	215-217	em	_	
1-42	218-223	geral	_	
1-43	224-231	possuem	_	
1-44	232-236	mais	_	
1-45	237-243	fibras	_	
1-46	244-245	e	_	
1-47	246-248	um	_	
1-48	249-255	índice	_	
1-49	256-265	glicêmico	_	
1-50	266-270	mais	_	
1-51	271-276	baixo	_	
1-52	277-278	(	_	
1-53	278-285	glicose	_	
1-54	286-287	é	_	
1-55	288-297	absorvida	_	
1-56	298-302	mais	_	
1-57	303-313	lentamente	_	
1-58	313-314	)	_	
1-59	315-317	do	_	
1-60	318-321	que	_	
1-61	322-324	os	_	
1-62	325-334	alimentos	Food[4]	
1-63	335-339	mais	Food[4]	
1-64	340-351	processados	Food[4]	
1-65	351-352	.	_	
1-66	353-355	Os	_	
1-67	356-365	alimentos	Food[5]	
1-68	366-375	integrais	Food[5]	
1-69	376-379	são	_	
1-70	379-380	,	_	
1-71	381-383	em	_	
1-72	384-390	teoria	_	
1-73	390-391	,	_	
1-74	392-401	alimentos	_	
1-75	402-410	melhores	_	
1-76	411-415	para	_	
1-77	416-425	pacientes	_	
1-78	426-436	diabéticos	_	
1-79	436-437	.	_	
1-80	438-442	Esse	_	
1-81	443-444	é	_	
1-82	445-446	o	_	
1-83	447-451	caso	_	
1-84	452-458	também	_	
1-85	459-461	da	_	
1-86	462-469	farinha	Food[6]	
1-87	470-472	de	Food[6]	
1-88	473-478	trigo	Food[6]	
1-89	479-487	integral	Food[6]	
1-90	487-488	,	_	
1-91	489-492	mas	_	
1-92	493-496	ela	_	
1-93	497-503	também	_	
1-94	504-508	pode	_	
1-95	509-515	conter	_	
1-96	516-519	uma	_	
1-97	520-524	alta	_	
1-98	525-530	carga	_	
1-99	531-533	de	_	
1-100	534-546	carboidratos	_	
1-101	546-547	,	_	
1-102	548-555	devendo	_	
1-103	556-559	ser	_	
1-104	560-569	consumida	_	
1-105	570-573	com	_	
1-106	574-583	moderação	_	
