#FORMAT=WebAnno TSV 3.2
#T_SP=webanno.custom.Relaes|value


#Text=Depende do avanço do seu diabetes e de outros medicamentos que você possa estar tomando. Seu médico pode escolher um meglitinida, como Prandin, ou um inibidor da alfa-clucosidase, como Precose. A insulina seria outra opção. Existem outros remédios e mais novos sempre na fábrica. Alguns médicos mantêm seus pacientes em uso de metformina se os níveis de enzimas não forem muito altos. Se seus números não forem muito altos e você estiver saudável, concentre-se no gerenciamento do estilo de vida. Perder gordura corporal, se necessário, pode ajudar a controlar as coisas.
1-1	0-7	Depende	_	
1-2	8-10	do	_	
1-3	11-17	avanço	_	
1-4	18-20	do	_	
1-5	21-24	seu	_	
1-6	25-33	diabetes	_	
1-7	34-35	e	_	
1-8	36-38	de	_	
1-9	39-45	outros	_	
1-10	46-58	medicamentos	_	
1-11	59-62	que	_	
1-12	63-67	você	_	
1-13	68-73	possa	_	
1-14	74-79	estar	_	
1-15	80-87	tomando	_	
1-16	87-88	.	_	
1-17	89-92	Seu	_	
1-18	93-99	médico	_	
1-19	100-104	pode	_	
1-20	105-113	escolher	_	
1-21	114-116	um	_	
1-22	117-128	meglitinida	Medication	
1-23	128-129	,	_	
1-24	130-134	como	_	
1-25	135-142	Prandin	Medication	
1-26	142-143	,	_	
1-27	144-146	ou	_	
1-28	147-149	um	_	
1-29	150-158	inibidor	Medication[1]	
1-30	159-161	da	Medication[1]	
1-31	162-178	alfa-clucosidase	Medication[1]	
1-32	178-179	,	_	
1-33	180-184	como	_	
1-34	185-192	Precose	Medication	
1-35	192-193	.	_	
1-36	194-195	A	_	
1-37	196-204	insulina	Medication	
1-38	205-210	seria	_	
1-39	211-216	outra	_	
1-40	217-222	opção	_	
1-41	222-223	.	_	
1-42	224-231	Existem	_	
1-43	232-238	outros	_	
1-44	239-247	remédios	_	
1-45	248-249	e	_	
1-46	250-254	mais	_	
1-47	255-260	novos	_	
1-48	261-267	sempre	_	
1-49	268-270	na	_	
1-50	271-278	fábrica	_	
1-51	278-279	.	_	
1-52	280-286	Alguns	_	
1-53	287-294	médicos	_	
1-54	295-301	mantêm	_	
1-55	302-306	seus	_	
1-56	307-316	pacientes	_	
1-57	317-319	em	_	
1-58	320-323	uso	_	
1-59	324-326	de	_	
1-60	327-337	metformina	Medication	
1-61	338-340	se	_	
1-62	341-343	os	_	
1-63	344-350	níveis	_	
1-64	351-353	de	_	
1-65	354-361	enzimas	_	
1-66	362-365	não	_	
1-67	366-371	forem	_	
1-68	372-377	muito	_	
1-69	378-383	altos	_	
1-70	383-384	.	_	
1-71	385-387	Se	_	
1-72	388-392	seus	_	
1-73	393-400	números	_	
1-74	401-404	não	_	
1-75	405-410	forem	_	
1-76	411-416	muito	_	
1-77	417-422	altos	_	
1-78	423-424	e	_	
1-79	425-429	você	_	
1-80	430-437	estiver	_	
1-81	438-446	saudável	_	
1-82	446-447	,	_	
1-83	448-460	concentre-se	_	
1-84	461-463	no	_	
1-85	464-477	gerenciamento	NonMedicalTreatment[2]	
1-86	478-480	do	NonMedicalTreatment[2]	
1-87	481-487	estilo	NonMedicalTreatment[2]	
1-88	488-490	de	NonMedicalTreatment[2]	
1-89	491-495	vida	NonMedicalTreatment[2]	
1-90	495-496	.	_	
1-91	497-503	Perder	NonMedicalTreatment[3]	
1-92	504-511	gordura	NonMedicalTreatment[3]	
1-93	512-520	corporal	NonMedicalTreatment[3]	
1-94	520-521	,	_	
1-95	522-524	se	_	
1-96	525-535	necessário	_	
1-97	535-536	,	_	
1-98	537-541	pode	_	
1-99	542-548	ajudar	_	
1-100	549-550	a	_	
1-101	551-560	controlar	_	
1-102	561-563	as	_	
1-103	564-570	coisas	_	
1-104	570-571	.	_	
