#FORMAT=WebAnno TSV 3.2


#Text=Há diversos tipos de insulina, sendo as mais comuns no Brasil, a NPH e a regular. O efeito da insulina NPH inicia cerca de 2 horas após a aplicação e tem duração de cerca de 8 a 12 horas. O efeito da insulina regular inicia cerca de 30 min após a aplicação e tem duração de cerca de 5 horas. Ambas atuam abaixando a glicemia (quantidade de açúcar no sangue) e devem ser prescritas por um médico, que deve acompanhar a pessoa com diabetes de perto e ajustar as doses de acordo com a necessidade.
1-1	0-2	Há	
1-2	3-11	diversos	
1-3	12-17	tipos	
1-4	18-20	de	
1-5	21-29	insulina	
1-6	29-30	,	
1-7	31-36	sendo	
1-8	37-39	as	
1-9	40-44	mais	
1-10	45-51	comuns	
1-11	52-54	no	
1-12	55-61	Brasil	
1-13	61-62	,	
1-14	63-64	a	
1-15	65-68	NPH	
1-16	69-70	e	
1-17	71-72	a	
1-18	73-80	regular	
1-19	80-81	.	
1-20	82-83	O	
1-21	84-90	efeito	
1-22	91-93	da	
1-23	94-102	insulina	
1-24	103-106	NPH	
1-25	107-113	inicia	
1-26	114-119	cerca	
1-27	120-122	de	
1-28	123-124	2	
1-29	125-130	horas	
1-30	131-135	após	
1-31	136-137	a	
1-32	138-147	aplicação	
1-33	148-149	e	
1-34	150-153	tem	
1-35	154-161	duração	
1-36	162-164	de	
1-37	165-170	cerca	
1-38	171-173	de	
1-39	174-175	8	
1-40	176-177	a	
1-41	178-180	12	
1-42	181-186	horas	
1-43	186-187	.	
1-44	188-189	O	
1-45	190-196	efeito	
1-46	197-199	da	
1-47	200-208	insulina	
1-48	209-216	regular	
1-49	217-223	inicia	
1-50	224-229	cerca	
1-51	230-232	de	
1-52	233-235	30	
1-53	236-239	min	
1-54	240-244	após	
1-55	245-246	a	
1-56	247-256	aplicação	
1-57	257-258	e	
1-58	259-262	tem	
1-59	263-270	duração	
1-60	271-273	de	
1-61	274-279	cerca	
1-62	280-282	de	
1-63	283-284	5	
1-64	285-290	horas	
1-65	290-291	.	
1-66	292-297	Ambas	
1-67	298-303	atuam	
1-68	304-313	abaixando	
1-69	314-315	a	
1-70	316-324	glicemia	
1-71	325-326	(	
1-72	326-336	quantidade	
1-73	337-339	de	
1-74	340-346	açúcar	
1-75	347-349	no	
1-76	350-356	sangue	
1-77	356-357	)	
1-78	358-359	e	
1-79	360-365	devem	
1-80	366-369	ser	
1-81	370-380	prescritas	
1-82	381-384	por	
1-83	385-387	um	
1-84	388-394	médico	
1-85	394-395	,	
1-86	396-399	que	
1-87	400-404	deve	
1-88	405-415	acompanhar	
1-89	416-417	a	
1-90	418-424	pessoa	
1-91	425-428	com	
1-92	429-437	diabetes	
1-93	438-440	de	
1-94	441-446	perto	
1-95	447-448	e	
1-96	449-456	ajustar	
1-97	457-459	as	
1-98	460-465	doses	
1-99	466-468	de	
1-100	469-475	acordo	
1-101	476-479	com	
1-102	480-481	a	
1-103	482-493	necessidade	
1-104	493-494	.	
