#FORMAT=WebAnno TSV 3.2


#Text=Quem tem diabetes tem uma chance maior de ter dificuldades na cicatrização, pois as suas veias e artérias (principalmente das pernas e dos pés) costumam não cumprir seu papel tão bem. Além disso, é comum uma pessoa com diabetes ter a polineuropatia sensitiva distal, que a faz perder a sensibilidade nos membros (principalmente nas pernas e os pés) e isso gera uma série de problemas nessas regiões. Esse conjunto de fatores levam a uma maior dificuldade de cicatrização, o que se relaciona à maior chance de uma pessoa com diabetes ter complicações ao realizar cirurgias, tatuagens ou piercings. Por isso, é importante avaliar os riscos do procedimento da sobrancelha definitiva.
1-1	0-4	Quem	
1-2	5-8	tem	
1-3	9-17	diabetes	
1-4	18-21	tem	
1-5	22-25	uma	
1-6	26-32	chance	
1-7	33-38	maior	
1-8	39-41	de	
1-9	42-45	ter	
1-10	46-58	dificuldades	
1-11	59-61	na	
1-12	62-74	cicatrização	
1-13	74-75	,	
1-14	76-80	pois	
1-15	81-83	as	
1-16	84-88	suas	
1-17	89-94	veias	
1-18	95-96	e	
1-19	97-105	artérias	
1-20	106-107	(	
1-21	107-121	principalmente	
1-22	122-125	das	
1-23	126-132	pernas	
1-24	133-134	e	
1-25	135-138	dos	
1-26	139-142	pés	
1-27	142-143	)	
1-28	144-152	costumam	
1-29	153-156	não	
1-30	157-164	cumprir	
1-31	165-168	seu	
1-32	169-174	papel	
1-33	175-178	tão	
1-34	179-182	bem	
1-35	182-183	.	
1-36	184-188	Além	
1-37	189-194	disso	
1-38	194-195	,	
1-39	196-197	é	
1-40	198-203	comum	
1-41	204-207	uma	
1-42	208-214	pessoa	
1-43	215-218	com	
1-44	219-227	diabetes	
1-45	228-231	ter	
1-46	232-233	a	
1-47	234-248	polineuropatia	
1-48	249-258	sensitiva	
1-49	259-265	distal	
1-50	265-266	,	
1-51	267-270	que	
1-52	271-272	a	
1-53	273-276	faz	
1-54	277-283	perder	
1-55	284-285	a	
1-56	286-299	sensibilidade	
1-57	300-303	nos	
1-58	304-311	membros	
1-59	312-313	(	
1-60	313-327	principalmente	
1-61	328-331	nas	
1-62	332-338	pernas	
1-63	339-340	e	
1-64	341-343	os	
1-65	344-347	pés	
1-66	347-348	)	
1-67	349-350	e	
1-68	351-355	isso	
1-69	356-360	gera	
1-70	361-364	uma	
1-71	365-370	série	
1-72	371-373	de	
1-73	374-383	problemas	
1-74	384-390	nessas	
1-75	391-398	regiões	
1-76	398-399	.	
1-77	400-404	Esse	
1-78	405-413	conjunto	
1-79	414-416	de	
1-80	417-424	fatores	
1-81	425-430	levam	
1-82	431-432	a	
1-83	433-436	uma	
1-84	437-442	maior	
1-85	443-454	dificuldade	
1-86	455-457	de	
1-87	458-470	cicatrização	
1-88	470-471	,	
1-89	472-473	o	
1-90	474-477	que	
1-91	478-480	se	
1-92	481-490	relaciona	
1-93	491-492	à	
1-94	493-498	maior	
1-95	499-505	chance	
1-96	506-508	de	
1-97	509-512	uma	
1-98	513-519	pessoa	
1-99	520-523	com	
1-100	524-532	diabetes	
1-101	533-536	ter	
1-102	537-549	complicações	
1-103	550-552	ao	
1-104	553-561	realizar	
1-105	562-571	cirurgias	
1-106	571-572	,	
1-107	573-582	tatuagens	
1-108	583-585	ou	
1-109	586-595	piercings	
1-110	595-596	.	
1-111	597-600	Por	
1-112	601-605	isso	
1-113	605-606	,	
1-114	607-608	é	
1-115	609-619	importante	
1-116	620-627	avaliar	
1-117	628-630	os	
1-118	631-637	riscos	
1-119	638-640	do	
1-120	641-653	procedimento	
1-121	654-656	da	
1-122	657-668	sobrancelha	
1-123	669-679	definitiva	
1-124	679-680	.	
