#FORMAT=WebAnno TSV 3.2


#Text=É importante lembrar que tudo em excesso faz mal e, mais importante que comer ou não determinado alimento, é ter uma dieta balanceada com os nutrientes e calorias adequadas para cada pessoa. Por isso, é importante consultar  um nutricionista (gratuitamente no SUS) que poderá montar uma dieta que seja ideal para você.
1-1	0-1	É	
1-2	2-12	importante	
1-3	13-20	lembrar	
1-4	21-24	que	
1-5	25-29	tudo	
1-6	30-32	em	
1-7	33-40	excesso	
1-8	41-44	faz	
1-9	45-48	mal	
1-10	49-50	e	
1-11	50-51	,	
1-12	52-56	mais	
1-13	57-67	importante	
1-14	68-71	que	
1-15	72-77	comer	
1-16	78-80	ou	
1-17	81-84	não	
1-18	85-96	determinado	
1-19	97-105	alimento	
1-20	105-106	,	
1-21	107-108	é	
1-22	109-112	ter	
1-23	113-116	uma	
1-24	117-122	dieta	
1-25	123-133	balanceada	
1-26	134-137	com	
1-27	138-140	os	
1-28	141-151	nutrientes	
1-29	152-153	e	
1-30	154-162	calorias	
1-31	163-172	adequadas	
1-32	173-177	para	
1-33	178-182	cada	
1-34	183-189	pessoa	
1-35	189-190	.	
1-36	191-194	Por	
1-37	195-199	isso	
1-38	199-200	,	
1-39	201-202	é	
1-40	203-213	importante	
1-41	214-223	consultar	
1-42	225-227	um	
1-43	228-241	nutricionista	
1-44	242-243	(	
1-45	243-256	gratuitamente	
1-46	257-259	no	
1-47	260-263	SUS	
1-48	263-264	)	
1-49	265-268	que	
1-50	269-275	poderá	
1-51	276-282	montar	
1-52	283-286	uma	
1-53	287-292	dieta	
1-54	293-296	que	
1-55	297-301	seja	
1-56	302-307	ideal	
1-57	308-312	para	
1-58	313-317	você	
1-59	317-318	.	
