#FORMAT=WebAnno TSV 3.2


#Text=É importante lembrar que tudo em excesso faz mal e que mais importante que comer ou deixar de comer certos alimentos, é ter uma dieta balanceada com os nutrientes e calorias adequadas para cada pessoa. Por isso, é ideal que se consulte  um nutricionista (disponível gratuitamente no SUS) que poderá montar uma dieta ideal para as suas necessidades.
1-1	0-1	É	
1-2	2-12	importante	
1-3	13-20	lembrar	
1-4	21-24	que	
1-5	25-29	tudo	
1-6	30-32	em	
1-7	33-40	excesso	
1-8	41-44	faz	
1-9	45-48	mal	
1-10	49-50	e	
1-11	51-54	que	
1-12	55-59	mais	
1-13	60-70	importante	
1-14	71-74	que	
1-15	75-80	comer	
1-16	81-83	ou	
1-17	84-90	deixar	
1-18	91-93	de	
1-19	94-99	comer	
1-20	100-106	certos	
1-21	107-116	alimentos	
1-22	116-117	,	
1-23	118-119	é	
1-24	120-123	ter	
1-25	124-127	uma	
1-26	128-133	dieta	
1-27	134-144	balanceada	
1-28	145-148	com	
1-29	149-151	os	
1-30	152-162	nutrientes	
1-31	163-164	e	
1-32	165-173	calorias	
1-33	174-183	adequadas	
1-34	184-188	para	
1-35	189-193	cada	
1-36	194-200	pessoa	
1-37	200-201	.	
1-38	202-205	Por	
1-39	206-210	isso	
1-40	210-211	,	
1-41	212-213	é	
1-42	214-219	ideal	
1-43	220-223	que	
1-44	224-226	se	
1-45	227-235	consulte	
1-46	237-239	um	
1-47	240-253	nutricionista	
1-48	254-255	(	
1-49	255-265	disponível	
1-50	266-279	gratuitamente	
1-51	280-282	no	
1-52	283-286	SUS	
1-53	286-287	)	
1-54	288-291	que	
1-55	292-298	poderá	
1-56	299-305	montar	
1-57	306-309	uma	
1-58	310-315	dieta	
1-59	316-321	ideal	
1-60	322-326	para	
1-61	327-329	as	
1-62	330-334	suas	
1-63	335-347	necessidades	
1-64	347-348	.	
