#FORMAT=WebAnno TSV 3.2


#Text=Apesar de não parecer um problema grave, a esteatose hepática (acúmulo de gordura no fígado) é uma condição que deve ser tratada o quanto antes, para evitar que se agrave e resulte na cirrose hepática. Com o acúmulo de gordura nas células hepáticas, o órgão fica sobrecarregado e começa a inflamar. O processo inflamatório vai danificando o fígado e ele vai se enchendo de cicatrizes, perdendo a capacidade de funcionar normalmente. Pode-se chegar a um ponto em que não haverá outra solução além de se realizar um transplante de fígado.
1-1	0-6	Apesar	
1-2	7-9	de	
1-3	10-13	não	
1-4	14-21	parecer	
1-5	22-24	um	
1-6	25-33	problema	
1-7	34-39	grave	
1-8	39-40	,	
1-9	41-42	a	
1-10	43-52	esteatose	
1-11	53-61	hepática	
1-12	62-63	(	
1-13	63-70	acúmulo	
1-14	71-73	de	
1-15	74-81	gordura	
1-16	82-84	no	
1-17	85-91	fígado	
1-18	91-92	)	
1-19	93-94	é	
1-20	95-98	uma	
1-21	99-107	condição	
1-22	108-111	que	
1-23	112-116	deve	
1-24	117-120	ser	
1-25	121-128	tratada	
1-26	129-130	o	
1-27	131-137	quanto	
1-28	138-143	antes	
1-29	143-144	,	
1-30	145-149	para	
1-31	150-156	evitar	
1-32	157-160	que	
1-33	161-163	se	
1-34	164-170	agrave	
1-35	171-172	e	
1-36	173-180	resulte	
1-37	181-183	na	
1-38	184-191	cirrose	
1-39	192-200	hepática	
1-40	200-201	.	
1-41	202-205	Com	
1-42	206-207	o	
1-43	208-215	acúmulo	
1-44	216-218	de	
1-45	219-226	gordura	
1-46	227-230	nas	
1-47	231-238	células	
1-48	239-248	hepáticas	
1-49	248-249	,	
1-50	250-251	o	
1-51	252-257	órgão	
1-52	258-262	fica	
1-53	263-277	sobrecarregado	
1-54	278-279	e	
1-55	280-286	começa	
1-56	287-288	a	
1-57	289-297	inflamar	
1-58	297-298	.	
1-59	299-300	O	
1-60	301-309	processo	
1-61	310-322	inflamatório	
1-62	323-326	vai	
1-63	327-338	danificando	
1-64	339-340	o	
1-65	341-347	fígado	
1-66	348-349	e	
1-67	350-353	ele	
1-68	354-357	vai	
1-69	358-360	se	
1-70	361-369	enchendo	
1-71	370-372	de	
1-72	373-383	cicatrizes	
1-73	383-384	,	
1-74	385-393	perdendo	
1-75	394-395	a	
1-76	396-406	capacidade	
1-77	407-409	de	
1-78	410-419	funcionar	
1-79	420-431	normalmente	
1-80	431-432	.	
1-81	433-440	Pode-se	
1-82	441-447	chegar	
1-83	448-449	a	
1-84	450-452	um	
1-85	453-458	ponto	
1-86	459-461	em	
1-87	462-465	que	
1-88	466-469	não	
1-89	470-476	haverá	
1-90	477-482	outra	
1-91	483-490	solução	
1-92	491-495	além	
1-93	496-498	de	
1-94	499-501	se	
1-95	502-510	realizar	
1-96	511-513	um	
1-97	514-525	transplante	
1-98	526-528	de	
1-99	529-535	fígado	
1-100	535-536	.	
