#FORMAT=WebAnno TSV 3.2
#T_SP=webanno.custom.Relaes|value
#T_RL=webanno.custom.Relaes2|value|BT_webanno.custom.Relaes


#Text=É importante lembrar que tudo em excesso faz mal e que mais importante que comer ou deixar de comer certos alimentos, é ter uma dieta balanceada com os nutrientes e calorias adequadas para cada pessoa. Por isso, é ideal que se consulte  um nutricionista (que estão disponíveis gratuitamente no SUS) que poderá montar uma dieta ideal para as suas necessidades. O coco é uma fruta que, se consumida em excesso pode elevar a glicemia, então é importante consumir com moderação.
1-1	0-1	É	_	_	_	
1-2	2-12	importante	_	_	_	
1-3	13-20	lembrar	_	_	_	
1-4	21-24	que	_	_	_	
1-5	25-29	tudo	_	_	_	
1-6	30-32	em	_	_	_	
1-7	33-40	excesso	_	_	_	
1-8	41-44	faz	_	_	_	
1-9	45-48	mal	_	_	_	
1-10	49-50	e	_	_	_	
1-11	51-54	que	_	_	_	
1-12	55-59	mais	_	_	_	
1-13	60-70	importante	_	_	_	
1-14	71-74	que	_	_	_	
1-15	75-80	comer	_	_	_	
1-16	81-83	ou	_	_	_	
1-17	84-90	deixar	_	_	_	
1-18	91-93	de	_	_	_	
1-19	94-99	comer	_	_	_	
1-20	100-106	certos	_	_	_	
1-21	107-116	alimentos	_	_	_	
1-22	116-117	,	_	_	_	
1-23	118-119	é	_	_	_	
1-24	120-123	ter	_	_	_	
1-25	124-127	uma	_	_	_	
1-26	128-133	dieta	_	_	_	
1-27	134-144	balanceada	_	_	_	
1-28	145-148	com	_	_	_	
1-29	149-151	os	_	_	_	
1-30	152-162	nutrientes	_	_	_	
1-31	163-164	e	_	_	_	
1-32	165-173	calorias	_	_	_	
1-33	174-183	adequadas	_	_	_	
1-34	184-188	para	_	_	_	
1-35	189-193	cada	_	_	_	
1-36	194-200	pessoa	_	_	_	
1-37	200-201	.	_	_	_	
1-38	202-205	Por	_	_	_	
1-39	206-210	isso	_	_	_	
1-40	210-211	,	_	_	_	
1-41	212-213	é	_	_	_	
1-42	214-219	ideal	_	_	_	
1-43	220-223	que	_	_	_	
1-44	224-226	se	_	_	_	
1-45	227-235	consulte	_	_	_	
1-46	237-239	um	_	_	_	
1-47	240-253	nutricionista	_	_	_	
1-48	254-255	(	_	_	_	
1-49	255-258	que	_	_	_	
1-50	259-264	estão	_	_	_	
1-51	265-276	disponíveis	_	_	_	
1-52	277-290	gratuitamente	_	_	_	
1-53	291-293	no	_	_	_	
1-54	294-297	SUS	_	_	_	
1-55	297-298	)	_	_	_	
1-56	299-302	que	_	_	_	
1-57	303-309	poderá	_	_	_	
1-58	310-316	montar	_	_	_	
1-59	317-320	uma	_	_	_	
1-60	321-326	dieta	_	_	_	
1-61	327-332	ideal	_	_	_	
1-62	333-337	para	_	_	_	
1-63	338-340	as	_	_	_	
1-64	341-345	suas	_	_	_	
1-65	346-358	necessidades	_	_	_	
1-66	358-359	.	_	_	_	
1-67	360-361	O	_	_	_	
1-68	362-366	coco	Food	_	_	
1-69	367-368	é	_	_	_	
1-70	369-372	uma	_	_	_	
1-71	373-378	fruta	_	_	_	
1-72	379-382	que	_	_	_	
1-73	382-383	,	_	_	_	
1-74	384-386	se	_	_	_	
1-75	387-396	consumida	_	_	_	
1-76	397-399	em	_	_	_	
1-77	400-407	excesso	_	_	_	
1-78	408-412	pode	_	_	_	
1-79	413-419	elevar	GlucoseValue[1]	causes|prevents	1-68[0_1]|1-86[2_1]	
1-80	420-421	a	GlucoseValue[1]	_	_	
1-81	422-430	glicemia	GlucoseValue[1]	_	_	
1-82	430-431	,	_	_	_	
1-83	432-437	então	_	_	_	
1-84	438-439	é	_	_	_	
1-85	440-450	importante	_	_	_	
1-86	451-459	consumir	NonMedicalTreatment[2]	_	_	
1-87	460-463	com	NonMedicalTreatment[2]	_	_	
1-88	464-473	moderação	NonMedicalTreatment[2]	_	_	
1-89	473-474	.	_	_	_	
