#FORMAT=WebAnno TSV 3.2


#Text=Perder peso é essencial, principalmente logo após o diagnóstico de tipo 2 ou de pré-diabetes. A perda de peso aumenta a sensibilidade à insulina, permitindo que as células usem com mais eficácia a insulina que o corpo continua produzindo. Perder de 5 a 10 quilos já pode gerar muitos benefícios, como a melhora do nível de açúcar no sangue, da pressão arterial e dos níveis de colesterol. Além disso, você pode até vir a tomar menos medicamentos ou doses mais baixas. Para perder peso de forma lenta e constante, mude seu estilo de vida. Os quilos que você afasta ao longo do tempo são os mais importantes para uma vida longa.
1-1	0-6	Perder	
1-2	7-11	peso	
1-3	12-13	é	
1-4	14-23	essencial	
1-5	23-24	,	
1-6	25-39	principalmente	
1-7	40-44	logo	
1-8	45-49	após	
1-9	50-51	o	
1-10	52-63	diagnóstico	
1-11	64-66	de	
1-12	67-71	tipo	
1-13	72-73	2	
1-14	74-76	ou	
1-15	77-79	de	
1-16	80-92	pré-diabetes	
1-17	92-93	.	
1-18	94-95	A	
1-19	96-101	perda	
1-20	102-104	de	
1-21	105-109	peso	
1-22	110-117	aumenta	
1-23	118-119	a	
1-24	120-133	sensibilidade	
1-25	134-135	à	
1-26	136-144	insulina	
1-27	144-145	,	
1-28	146-156	permitindo	
1-29	157-160	que	
1-30	161-163	as	
1-31	164-171	células	
1-32	172-176	usem	
1-33	177-180	com	
1-34	181-185	mais	
1-35	186-194	eficácia	
1-36	195-196	a	
1-37	197-205	insulina	
1-38	206-209	que	
1-39	210-211	o	
1-40	212-217	corpo	
1-41	218-226	continua	
1-42	227-237	produzindo	
1-43	237-238	.	
1-44	239-245	Perder	
1-45	246-248	de	
1-46	249-250	5	
1-47	251-252	a	
1-48	253-255	10	
1-49	256-262	quilos	
1-50	263-265	já	
1-51	266-270	pode	
1-52	271-276	gerar	
1-53	277-283	muitos	
1-54	284-294	benefícios	
1-55	294-295	,	
1-56	296-300	como	
1-57	301-302	a	
1-58	303-310	melhora	
1-59	311-313	do	
1-60	314-319	nível	
1-61	320-322	de	
1-62	323-329	açúcar	
1-63	330-332	no	
1-64	333-339	sangue	
1-65	339-340	,	
1-66	341-343	da	
1-67	344-351	pressão	
1-68	352-360	arterial	
1-69	361-362	e	
1-70	363-366	dos	
1-71	367-373	níveis	
1-72	374-376	de	
1-73	377-387	colesterol	
1-74	387-388	.	
1-75	389-393	Além	
1-76	394-399	disso	
1-77	399-400	,	
1-78	401-405	você	
1-79	406-410	pode	
1-80	411-414	até	
1-81	415-418	vir	
1-82	419-420	a	
1-83	421-426	tomar	
1-84	427-432	menos	
1-85	433-445	medicamentos	
1-86	446-448	ou	
1-87	449-454	doses	
1-88	455-459	mais	
1-89	460-466	baixas	
1-90	466-467	.	
1-91	468-472	Para	
1-92	473-479	perder	
1-93	480-484	peso	
1-94	485-487	de	
1-95	488-493	forma	
1-96	494-499	lenta	
1-97	500-501	e	
1-98	502-511	constante	
1-99	511-512	,	
1-100	513-517	mude	
1-101	518-521	seu	
1-102	522-528	estilo	
1-103	529-531	de	
1-104	532-536	vida	
1-105	536-537	.	
1-106	538-540	Os	
1-107	541-547	quilos	
1-108	548-551	que	
1-109	552-556	você	
1-110	557-563	afasta	
1-111	564-566	ao	
1-112	567-572	longo	
1-113	573-575	do	
1-114	576-581	tempo	
1-115	582-585	são	
1-116	586-588	os	
1-117	589-593	mais	
1-118	594-605	importantes	
1-119	606-610	para	
1-120	611-614	uma	
1-121	615-619	vida	
1-122	620-625	longa	
1-123	625-626	.	
