#FORMAT=WebAnno TSV 3.2
#T_SP=webanno.custom.Relaes|value


#Text=Para evitar que o sistema imune fique fragilizado, é importante controlar os níveis de açúcar no sangue, tentando manter o valor da hemoglobina glicada abaixo dos 6,5%. Uma alimentação saudável e a prática regular de exercícios são duas medidas muito úteis na proteção do sistema de defesa do organismo.
1-1	0-4	Para	_	
1-2	5-11	evitar	_	
1-3	12-15	que	_	
1-4	16-17	o	_	
1-5	18-25	sistema	_	
1-6	26-31	imune	_	
1-7	32-37	fique	_	
1-8	38-49	fragilizado	_	
1-9	49-50	,	_	
1-10	51-52	é	_	
1-11	53-63	importante	_	
1-12	64-73	controlar	_	
1-13	74-76	os	_	
1-14	77-83	níveis	_	
1-15	84-86	de	_	
1-16	87-93	açúcar	_	
1-17	94-96	no	_	
1-18	97-103	sangue	_	
1-19	103-104	,	_	
1-20	105-113	tentando	_	
1-21	114-120	manter	_	
1-22	121-122	o	_	
1-23	123-128	valor	GlucoseValue[1]	
1-24	129-131	da	GlucoseValue[1]	
1-25	132-143	hemoglobina	GlucoseValue[1]	
1-26	144-151	glicada	GlucoseValue[1]	
1-27	152-158	abaixo	GlucoseValue[1]	
1-28	159-162	dos	GlucoseValue[1]	
1-29	163-167	6,5%	GlucoseValue[1]	
1-30	167-168	.	_	
1-31	169-172	Uma	_	
1-32	173-184	alimentação	NonMedicalTreatment[2]	
1-33	185-193	saudável	NonMedicalTreatment[2]	
1-34	194-195	e	_	
1-35	196-197	a	_	
1-36	198-205	prática	NonMedicalTreatment[3]	
1-37	206-213	regular	NonMedicalTreatment[3]	
1-38	214-216	de	NonMedicalTreatment[3]	
1-39	217-227	exercícios	NonMedicalTreatment[3]	
1-40	228-231	são	_	
1-41	232-236	duas	_	
1-42	237-244	medidas	_	
1-43	245-250	muito	_	
1-44	251-256	úteis	_	
1-45	257-259	na	_	
1-46	260-268	proteção	_	
1-47	269-271	do	_	
1-48	272-279	sistema	_	
1-49	280-282	de	_	
1-50	283-289	defesa	_	
1-51	290-292	do	_	
1-52	293-302	organismo	_	
1-53	302-303	.	_	
