#FORMAT=WebAnno TSV 3.2


#Text=O tecido magro pesa mais que a gordura, portanto, você não verá o número na balança mudar, mas se sentirá melhor, terá mais energia, melhores níveis de glicose, etc. Com o tempo, o peso começará a diminuir. Continue o exercício. Procure ajuda com um nutricionista se você não tiver certeza sobre como controlar a alimentação e a diabetes.
1-1	0-1	O	
1-2	2-8	tecido	
1-3	9-14	magro	
1-4	15-19	pesa	
1-5	20-24	mais	
1-6	25-28	que	
1-7	29-30	a	
1-8	31-38	gordura	
1-9	38-39	,	
1-10	40-48	portanto	
1-11	48-49	,	
1-12	50-54	você	
1-13	55-58	não	
1-14	59-63	verá	
1-15	64-65	o	
1-16	66-72	número	
1-17	73-75	na	
1-18	76-83	balança	
1-19	84-89	mudar	
1-20	89-90	,	
1-21	91-94	mas	
1-22	95-97	se	
1-23	98-105	sentirá	
1-24	106-112	melhor	
1-25	112-113	,	
1-26	114-118	terá	
1-27	119-123	mais	
1-28	124-131	energia	
1-29	131-132	,	
1-30	133-141	melhores	
1-31	142-148	níveis	
1-32	149-151	de	
1-33	152-159	glicose	
1-34	159-160	,	
1-35	161-164	etc	
1-36	164-165	.	
1-37	166-169	Com	
1-38	170-171	o	
1-39	172-177	tempo	
1-40	177-178	,	
1-41	179-180	o	
1-42	181-185	peso	
1-43	186-194	começará	
1-44	195-196	a	
1-45	197-205	diminuir	
1-46	205-206	.	
1-47	207-215	Continue	
1-48	216-217	o	
1-49	218-227	exercício	
1-50	227-228	.	
1-51	229-236	Procure	
1-52	237-242	ajuda	
1-53	243-246	com	
1-54	247-249	um	
1-55	250-263	nutricionista	
1-56	264-266	se	
1-57	267-271	você	
1-58	272-275	não	
1-59	276-281	tiver	
1-60	282-289	certeza	
1-61	290-295	sobre	
1-62	296-300	como	
1-63	301-310	controlar	
1-64	311-312	a	
1-65	313-324	alimentação	
1-66	325-326	e	
1-67	327-328	a	
1-68	329-337	diabetes	
1-69	337-338	.	
