#FORMAT=WebAnno TSV 3.2


#Text=O diabetes por si só geralmente não faz com que você não perca peso. Às vezes, os medicamentos que uma pessoa está tomando podem interferir, aumentando o nível de retenção de líquidos. Mantenha-se o mais ativo possível e não desista se o peso na balança ainda não for o ideal. Seja honesto consigo mesmo sobre a sua alimentação e nível de atividade. Se você conseguir encontrar um nutricionista, ele ou ela pode sugerir a quantidade certa de vitaminas, minerais, carboidratos e proteínas que você deve consumir, o que vai ajudar a guiar sua alimentação.
1-1	0-1	O	
1-2	2-10	diabetes	
1-3	11-14	por	
1-4	15-17	si	
1-5	18-20	só	
1-6	21-31	geralmente	
1-7	32-35	não	
1-8	36-39	faz	
1-9	40-43	com	
1-10	44-47	que	
1-11	48-52	você	
1-12	53-56	não	
1-13	57-62	perca	
1-14	63-67	peso	
1-15	67-68	.	
1-16	69-71	Às	
1-17	72-77	vezes	
1-18	77-78	,	
1-19	79-81	os	
1-20	82-94	medicamentos	
1-21	95-98	que	
1-22	99-102	uma	
1-23	103-109	pessoa	
1-24	110-114	está	
1-25	115-122	tomando	
1-26	123-128	podem	
1-27	129-139	interferir	
1-28	139-140	,	
1-29	141-151	aumentando	
1-30	152-153	o	
1-31	154-159	nível	
1-32	160-162	de	
1-33	163-171	retenção	
1-34	172-174	de	
1-35	175-183	líquidos	
1-36	183-184	.	
1-37	185-196	Mantenha-se	
1-38	197-198	o	
1-39	199-203	mais	
1-40	204-209	ativo	
1-41	210-218	possível	
1-42	219-220	e	
1-43	221-224	não	
1-44	225-232	desista	
1-45	233-235	se	
1-46	236-237	o	
1-47	238-242	peso	
1-48	243-245	na	
1-49	246-253	balança	
1-50	254-259	ainda	
1-51	260-263	não	
1-52	264-267	for	
1-53	268-269	o	
1-54	270-275	ideal	
1-55	275-276	.	
1-56	277-281	Seja	
1-57	282-289	honesto	
1-58	290-297	consigo	
1-59	298-303	mesmo	
1-60	304-309	sobre	
1-61	310-311	a	
1-62	312-315	sua	
1-63	316-327	alimentação	
1-64	328-329	e	
1-65	330-335	nível	
1-66	336-338	de	
1-67	339-348	atividade	
1-68	348-349	.	
1-69	350-352	Se	
1-70	353-357	você	
1-71	358-367	conseguir	
1-72	368-377	encontrar	
1-73	378-380	um	
1-74	381-394	nutricionista	
1-75	394-395	,	
1-76	396-399	ele	
1-77	400-402	ou	
1-78	403-406	ela	
1-79	407-411	pode	
1-80	412-419	sugerir	
1-81	420-421	a	
1-82	422-432	quantidade	
1-83	433-438	certa	
1-84	439-441	de	
1-85	442-451	vitaminas	
1-86	451-452	,	
1-87	453-461	minerais	
1-88	461-462	,	
1-89	463-475	carboidratos	
1-90	476-477	e	
1-91	478-487	proteínas	
1-92	488-491	que	
1-93	492-496	você	
1-94	497-501	deve	
1-95	502-510	consumir	
1-96	510-511	,	
1-97	512-513	o	
1-98	514-517	que	
1-99	518-521	vai	
1-100	522-528	ajudar	
1-101	529-530	a	
1-102	531-536	guiar	
1-103	537-540	sua	
1-104	541-552	alimentação	
1-105	552-553	.	
