#FORMAT=WebAnno TSV 3.2
#T_SP=webanno.custom.Relaes|value
#T_RL=webanno.custom.Relaes2|value|BT_webanno.custom.Relaes


#Text=No tratamento da pessoa com diabetes, os valores ideais de glicose no sangue (glicemia) dependem de vários fatores, como a hora do dia em que a medida é feita e quando foi consumida a última refeição. De modo geral, em jejum e antes das refeições, a glicemia alvo está entre 80 e 130. Por outro lado, até 2 horas depois das refeições, tolera-se uma glicemia de até 180. No entanto, essa meta pode ser alterada de acordo com algumas características de cada indivíduo. O médico pode optar por fazer um controle mais restrito em pessoas jovens, saudáveis e/ou com pouco tempo de diabetes, buscando valores de glicemia mais baixos. Por outro lado, pode-se tolerar um controle menos restrito em pessoas idosas, com outros problemas de saúde e/ou com longo tempo de diabetes, estabelecendo metas de glicemia mais altas. Portanto, ainda que seu exame esteja dentro das metas acima, pode ser que elas não sejam as mais adequadas para você; por isso é muito importante que você mantenha controle regular com um médico, que irá estabelecer o melhor tratamento para o seu caso.
1-1	0-2	No	_	_	_	
1-2	3-13	tratamento	_	_	_	
1-3	14-16	da	_	_	_	
1-4	17-23	pessoa	_	_	_	
1-5	24-27	com	_	_	_	
1-6	28-36	diabetes	_	_	_	
1-7	36-37	,	_	_	_	
1-8	38-40	os	_	_	_	
1-9	41-48	valores	GlucoseValue[1]	_	_	
1-10	49-55	ideais	GlucoseValue[1]	_	_	
1-11	56-58	de	GlucoseValue[1]	_	_	
1-12	59-66	glicose	GlucoseValue[1]	_	_	
1-13	67-69	no	_	_	_	
1-14	70-76	sangue	_	_	_	
1-15	77-78	(	_	_	_	
1-16	78-86	glicemia	_	_	_	
1-17	86-87	)	_	_	_	
1-18	88-96	dependem	_	_	_	
1-19	97-99	de	_	_	_	
1-20	100-106	vários	_	_	_	
1-21	107-114	fatores	_	_	_	
1-22	114-115	,	_	_	_	
1-23	116-120	como	Set[2]	has	1-9[1_2]	
1-24	121-122	a	Set[2]	_	_	
1-25	123-127	hora	Set[2]	_	_	
1-26	128-130	do	Set[2]	_	_	
1-27	131-134	dia	Set[2]	_	_	
1-28	135-137	em	Set[2]	_	_	
1-29	138-141	que	Set[2]	_	_	
1-30	142-143	a	Set[2]	_	_	
1-31	144-150	medida	Set[2]	_	_	
1-32	151-152	é	_	_	_	
1-33	153-158	feita	_	_	_	
1-34	159-160	e	_	_	_	
1-35	161-167	quando	_	_	_	
1-36	168-171	foi	_	_	_	
1-37	172-181	consumida	Set[3]	has	1-9[1_3]	
1-38	182-183	a	Set[3]	_	_	
1-39	184-190	última	Set[3]	_	_	
1-40	191-199	refeição	Set[3]	_	_	
1-41	199-200	.	_	_	_	
1-42	201-203	De	_	_	_	
1-43	204-208	modo	_	_	_	
1-44	209-214	geral	_	_	_	
1-45	214-215	,	_	_	_	
1-46	216-218	em	_	_	_	
1-47	219-224	jejum	_	_	_	
1-48	225-226	e	_	_	_	
1-49	227-232	antes	Time[4]	_	_	
1-50	233-236	das	Time[4]	_	_	
1-51	237-246	refeições	Time[4]	_	_	
1-52	246-247	,	_	_	_	
1-53	248-249	a	_	_	_	
1-54	250-258	glicemia	GlucoseValue[5]	causes	1-49[4_5]	
1-55	259-263	alvo	GlucoseValue[5]	_	_	
1-56	264-268	está	GlucoseValue[5]	_	_	
1-57	269-274	entre	GlucoseValue[5]	_	_	
1-58	275-277	80	GlucoseValue[5]	_	_	
1-59	278-279	e	GlucoseValue[5]	_	_	
1-60	280-283	130	GlucoseValue[5]	_	_	
1-61	283-284	.	_	_	_	
1-62	285-288	Por	_	_	_	
1-63	289-294	outro	_	_	_	
1-64	295-299	lado	_	_	_	
1-65	299-300	,	_	_	_	
1-66	301-304	até	_	_	_	
1-67	305-306	2	Time[6]	_	_	
1-68	307-312	horas	Time[6]	_	_	
1-69	313-319	depois	Time[6]	_	_	
1-70	320-323	das	Time[6]	_	_	
1-71	324-333	refeições	Time[6]	_	_	
1-72	333-334	,	_	_	_	
1-73	335-344	tolera-se	_	_	_	
1-74	345-348	uma	_	_	_	
1-75	349-357	glicemia	GlucoseValue[7]	causes	1-67[6_7]	
1-76	358-360	de	GlucoseValue[7]	_	_	
1-77	361-364	até	GlucoseValue[7]	_	_	
1-78	365-368	180	GlucoseValue[7]	_	_	
1-79	368-369	.	_	_	_	
1-80	370-372	No	_	_	_	
1-81	373-380	entanto	_	_	_	
1-82	380-381	,	_	_	_	
1-83	382-386	essa	_	_	_	
1-84	387-391	meta	_	_	_	
1-85	392-396	pode	_	_	_	
1-86	397-400	ser	_	_	_	
1-87	401-409	alterada	_	_	_	
1-88	410-412	de	_	_	_	
1-89	413-419	acordo	_	_	_	
1-90	420-423	com	_	_	_	
1-91	424-431	algumas	_	_	_	
1-92	432-447	características	_	_	_	
1-93	448-450	de	_	_	_	
1-94	451-455	cada	_	_	_	
1-95	456-465	indivíduo	_	_	_	
1-96	465-466	.	_	_	_	
1-97	467-468	O	_	_	_	
1-98	469-475	médico	_	_	_	
1-99	476-480	pode	_	_	_	
1-100	481-486	optar	_	_	_	
1-101	487-490	por	_	_	_	
1-102	491-496	fazer	_	_	_	
1-103	497-499	um	_	_	_	
1-104	500-508	controle	NonMedicalTreatment[8]	has	1-124[9_8]	
1-105	509-513	mais	NonMedicalTreatment[8]	_	_	
1-106	514-522	restrito	NonMedicalTreatment[8]	_	_	
1-107	523-525	em	NonMedicalTreatment[8]	_	_	
1-108	526-533	pessoas	NonMedicalTreatment[8]	_	_	
1-109	534-540	jovens	NonMedicalTreatment[8]	_	_	
1-110	540-541	,	_	_	_	
1-111	542-551	saudáveis	_	_	_	
1-112	552-553	e	_	_	_	
1-113	553-554	/	_	_	_	
1-114	554-556	ou	_	_	_	
1-115	557-560	com	_	_	_	
1-116	561-566	pouco	_	_	_	
1-117	567-572	tempo	_	_	_	
1-118	573-575	de	_	_	_	
1-119	576-584	diabetes	_	_	_	
1-120	584-585	,	_	_	_	
1-121	586-594	buscando	_	_	_	
1-122	595-602	valores	_	_	_	
1-123	603-605	de	_	_	_	
1-124	606-614	glicemia	GlucoseValue[9]	_	_	
1-125	615-619	mais	GlucoseValue[9]	_	_	
1-126	620-626	baixos	GlucoseValue[9]	_	_	
1-127	626-627	.	_	_	_	
1-128	628-631	Por	_	_	_	
1-129	632-637	outro	_	_	_	
1-130	638-642	lado	_	_	_	
1-131	642-643	,	_	_	_	
1-132	644-651	pode-se	_	_	_	
1-133	652-659	tolerar	_	_	_	
1-134	660-662	um	_	_	_	
1-135	663-671	controle	NonMedicalTreatment[10]	has	1-159[11_10]	
1-136	672-677	menos	NonMedicalTreatment[10]	_	_	
1-137	678-686	restrito	NonMedicalTreatment[10]	_	_	
1-138	687-689	em	NonMedicalTreatment[10]	_	_	
1-139	690-697	pessoas	NonMedicalTreatment[10]	_	_	
1-140	698-704	idosas	NonMedicalTreatment[10]	_	_	
1-141	704-705	,	_	_	_	
1-142	706-709	com	_	_	_	
1-143	710-716	outros	_	_	_	
1-144	717-726	problemas	_	_	_	
1-145	727-729	de	_	_	_	
1-146	730-735	saúde	_	_	_	
1-147	736-737	e	_	_	_	
1-148	737-738	/	_	_	_	
1-149	738-740	ou	_	_	_	
1-150	741-744	com	_	_	_	
1-151	745-750	longo	_	_	_	
1-152	751-756	tempo	_	_	_	
1-153	757-759	de	_	_	_	
1-154	760-768	diabetes	_	_	_	
1-155	768-769	,	_	_	_	
1-156	770-783	estabelecendo	_	_	_	
1-157	784-789	metas	_	_	_	
1-158	790-792	de	_	_	_	
1-159	793-801	glicemia	GlucoseValue[11]	_	_	
1-160	802-806	mais	GlucoseValue[11]	_	_	
1-161	807-812	altas	GlucoseValue[11]	_	_	
1-162	812-813	.	_	_	_	
1-163	814-822	Portanto	_	_	_	
1-164	822-823	,	_	_	_	
1-165	824-829	ainda	_	_	_	
1-166	830-833	que	_	_	_	
1-167	834-837	seu	_	_	_	
1-168	838-843	exame	_	_	_	
1-169	844-850	esteja	_	_	_	
1-170	851-857	dentro	_	_	_	
1-171	858-861	das	_	_	_	
1-172	862-867	metas	_	_	_	
1-173	868-873	acima	_	_	_	
1-174	873-874	,	_	_	_	
1-175	875-879	pode	_	_	_	
1-176	880-883	ser	_	_	_	
1-177	884-887	que	_	_	_	
1-178	888-892	elas	_	_	_	
1-179	893-896	não	_	_	_	
1-180	897-902	sejam	_	_	_	
1-181	903-905	as	_	_	_	
1-182	906-910	mais	_	_	_	
1-183	911-920	adequadas	_	_	_	
1-184	921-925	para	_	_	_	
1-185	926-930	você	_	_	_	
1-186	930-931	;	_	_	_	
1-187	932-935	por	_	_	_	
1-188	936-940	isso	_	_	_	
1-189	941-942	é	_	_	_	
1-190	943-948	muito	_	_	_	
1-191	949-959	importante	_	_	_	
1-192	960-963	que	_	_	_	
1-193	964-968	você	_	_	_	
1-194	969-977	mantenha	_	_	_	
1-195	978-986	controle	Set[12]	_	_	
1-196	987-994	regular	Set[12]	_	_	
1-197	995-998	com	_	_	_	
1-198	999-1001	um	_	_	_	
1-199	1002-1008	médico	_	_	_	
1-200	1008-1009	,	_	_	_	
1-201	1010-1013	que	_	_	_	
1-202	1014-1017	irá	_	_	_	
1-203	1018-1029	estabelecer	_	_	_	
1-204	1030-1031	o	_	_	_	
1-205	1032-1038	melhor	Medication[13]	causes	1-195[12_13]	
1-206	1039-1049	tratamento	Medication[13]	_	_	
1-207	1050-1054	para	_	_	_	
1-208	1055-1056	o	_	_	_	
1-209	1057-1060	seu	_	_	_	
1-210	1061-1065	caso	_	_	_	
1-211	1065-1066	.	_	_	_	
