#FORMAT=WebAnno TSV 3.2


#Text=Para avaliar as causas da glicemia de jejum elevada, seria necessário  examinar você como um todo e saber toda a sua história médica. Por isso, recomendamos que você procure o médico que acompanha você para que ele oriente e defina se é necessário um ajuste no seu tratamento.
1-1	0-4	Para	
1-2	5-12	avaliar	
1-3	13-15	as	
1-4	16-22	causas	
1-5	23-25	da	
1-6	26-34	glicemia	
1-7	35-37	de	
1-8	38-43	jejum	
1-9	44-51	elevada	
1-10	51-52	,	
1-11	53-58	seria	
1-12	59-69	necessário	
1-13	71-79	examinar	
1-14	80-84	você	
1-15	85-89	como	
1-16	90-92	um	
1-17	93-97	todo	
1-18	98-99	e	
1-19	100-105	saber	
1-20	106-110	toda	
1-21	111-112	a	
1-22	113-116	sua	
1-23	117-125	história	
1-24	126-132	médica	
1-25	132-133	.	
1-26	134-137	Por	
1-27	138-142	isso	
1-28	142-143	,	
1-29	144-156	recomendamos	
1-30	157-160	que	
1-31	161-165	você	
1-32	166-173	procure	
1-33	174-175	o	
1-34	176-182	médico	
1-35	183-186	que	
1-36	187-196	acompanha	
1-37	197-201	você	
1-38	202-206	para	
1-39	207-210	que	
1-40	211-214	ele	
1-41	215-222	oriente	
1-42	223-224	e	
1-43	225-231	defina	
1-44	232-234	se	
1-45	235-236	é	
1-46	237-247	necessário	
1-47	248-250	um	
1-48	251-257	ajuste	
1-49	258-260	no	
1-50	261-264	seu	
1-51	265-275	tratamento	
1-52	275-276	.	
