#FORMAT=WebAnno TSV 3.2


#Text=Duas medições em jejum de 126 ou mais diagnosticam diabetes. Se foi por um teste de laboratório, seu médico deve solicitar outra glicemia de jejum para confirmar e um teste de hemoglobina glicada (A1C) para obter seu nível médio durante um período de 3 meses. Enquanto isso, comece a praticar um estilo de vida muito saudável, entendendo em que escolhas alimentares focar. Em poucas palavras, concentre-se em comer muitos vegetais, algumas frutas, legumes, amido e peixe ou quantidades menores de carne magra. SER ATIVO! Essa é a melhor dica para o controle.
1-1	0-4	Duas	
1-2	5-13	medições	
1-3	14-16	em	
1-4	17-22	jejum	
1-5	23-25	de	
1-6	26-29	126	
1-7	30-32	ou	
1-8	33-37	mais	
1-9	38-50	diagnosticam	
1-10	51-59	diabetes	
1-11	59-60	.	
1-12	61-63	Se	
1-13	64-67	foi	
1-14	68-71	por	
1-15	72-74	um	
1-16	75-80	teste	
1-17	81-83	de	
1-18	84-95	laboratório	
1-19	95-96	,	
1-20	97-100	seu	
1-21	101-107	médico	
1-22	108-112	deve	
1-23	113-122	solicitar	
1-24	123-128	outra	
1-25	129-137	glicemia	
1-26	138-140	de	
1-27	141-146	jejum	
1-28	147-151	para	
1-29	152-161	confirmar	
1-30	162-163	e	
1-31	164-166	um	
1-32	167-172	teste	
1-33	173-175	de	
1-34	176-187	hemoglobina	
1-35	188-195	glicada	
1-36	196-197	(	
1-37	197-200	A1C	
1-38	200-201	)	
1-39	202-206	para	
1-40	207-212	obter	
1-41	213-216	seu	
1-42	217-222	nível	
1-43	223-228	médio	
1-44	229-236	durante	
1-45	237-239	um	
1-46	240-247	período	
1-47	248-250	de	
1-48	251-252	3	
1-49	253-258	meses	
1-50	258-259	.	
1-51	260-268	Enquanto	
1-52	269-273	isso	
1-53	273-274	,	
1-54	275-281	comece	
1-55	282-283	a	
1-56	284-292	praticar	
1-57	293-295	um	
1-58	296-302	estilo	
1-59	303-305	de	
1-60	306-310	vida	
1-61	311-316	muito	
1-62	317-325	saudável	
1-63	325-326	,	
1-64	327-337	entendendo	
1-65	338-340	em	
1-66	341-344	que	
1-67	345-353	escolhas	
1-68	354-365	alimentares	
1-69	366-371	focar	
1-70	371-372	.	
1-71	373-375	Em	
1-72	376-382	poucas	
1-73	383-391	palavras	
1-74	391-392	,	
1-75	393-405	concentre-se	
1-76	406-408	em	
1-77	409-414	comer	
1-78	415-421	muitos	
1-79	422-430	vegetais	
1-80	430-431	,	
1-81	432-439	algumas	
1-82	440-446	frutas	
1-83	446-447	,	
1-84	448-455	legumes	
1-85	455-456	,	
1-86	457-462	amido	
1-87	463-464	e	
1-88	465-470	peixe	
1-89	471-473	ou	
1-90	474-485	quantidades	
1-91	486-493	menores	
1-92	494-496	de	
1-93	497-502	carne	
1-94	503-508	magra	
1-95	508-509	.	
1-96	510-513	SER	
1-97	514-519	ATIVO	
1-98	519-520	!	
1-99	521-525	Essa	
1-100	526-527	é	
1-101	528-529	a	
1-102	530-536	melhor	
1-103	537-541	dica	
1-104	542-546	para	
1-105	547-548	o	
1-106	549-557	controle	
1-107	557-558	.	
