#FORMAT=WebAnno TSV 3.2


#Text=Lidar com uma doença crônica pode ser muito difícil e doloroso. Porém, esse processo também pode ser visto como uma nova chance de se tratar de uma forma mais carinhosa e saudável! As mudanças de estilo de vida (alimentação saudável, prática de exercícios físicos, perda de peso...) são uma parte fundamental do tratamento de qualquer um com diabetes. Para além disso, porém, elas promovem uma mudança em toda a forma de se relacionar com o corpo. Dê uma chance à saúde, é possível controlar o diabetes! Além disso, estão disponíveis gratuitamente pelo SUS profissionais como psicólogos e nutricionistas que também podem auxiliar nesse processo!
1-1	0-5	Lidar	
1-2	6-9	com	
1-3	10-13	uma	
1-4	14-20	doença	
1-5	21-28	crônica	
1-6	29-33	pode	
1-7	34-37	ser	
1-8	38-43	muito	
1-9	44-51	difícil	
1-10	52-53	e	
1-11	54-62	doloroso	
1-12	62-63	.	
1-13	64-69	Porém	
1-14	69-70	,	
1-15	71-75	esse	
1-16	76-84	processo	
1-17	85-91	também	
1-18	92-96	pode	
1-19	97-100	ser	
1-20	101-106	visto	
1-21	107-111	como	
1-22	112-115	uma	
1-23	116-120	nova	
1-24	121-127	chance	
1-25	128-130	de	
1-26	131-133	se	
1-27	134-140	tratar	
1-28	141-143	de	
1-29	144-147	uma	
1-30	148-153	forma	
1-31	154-158	mais	
1-32	159-168	carinhosa	
1-33	169-170	e	
1-34	171-179	saudável	
1-35	179-180	!	
1-36	181-183	As	
1-37	184-192	mudanças	
1-38	193-195	de	
1-39	196-202	estilo	
1-40	203-205	de	
1-41	206-210	vida	
1-42	211-212	(	
1-43	212-223	alimentação	
1-44	224-232	saudável	
1-45	232-233	,	
1-46	234-241	prática	
1-47	242-244	de	
1-48	245-255	exercícios	
1-49	256-263	físicos	
1-50	263-264	,	
1-51	265-270	perda	
1-52	271-273	de	
1-53	274-278	peso	
1-54	278-279	.	
1-55	279-280	.	
1-56	280-281	.	
1-57	281-282	)	
1-58	283-286	são	
1-59	287-290	uma	
1-60	291-296	parte	
1-61	297-308	fundamental	
1-62	309-311	do	
1-63	312-322	tratamento	
1-64	323-325	de	
1-65	326-334	qualquer	
1-66	335-337	um	
1-67	338-341	com	
1-68	342-350	diabetes	
1-69	350-351	.	
1-70	352-356	Para	
1-71	357-361	além	
1-72	362-367	disso	
1-73	367-368	,	
1-74	369-374	porém	
1-75	374-375	,	
1-76	376-380	elas	
1-77	381-389	promovem	
1-78	390-393	uma	
1-79	394-401	mudança	
1-80	402-404	em	
1-81	405-409	toda	
1-82	410-411	a	
1-83	412-417	forma	
1-84	418-420	de	
1-85	421-423	se	
1-86	424-434	relacionar	
1-87	435-438	com	
1-88	439-440	o	
1-89	441-446	corpo	
1-90	446-447	.	
1-91	448-450	Dê	
1-92	451-454	uma	
1-93	455-461	chance	
1-94	462-463	à	
1-95	464-469	saúde	
1-96	469-470	,	
1-97	471-472	é	
1-98	473-481	possível	
1-99	482-491	controlar	
1-100	492-493	o	
1-101	494-502	diabetes	
1-102	502-503	!	
1-103	504-508	Além	
1-104	509-514	disso	
1-105	514-515	,	
1-106	516-521	estão	
1-107	522-533	disponíveis	
1-108	534-547	gratuitamente	
1-109	548-552	pelo	
1-110	553-556	SUS	
1-111	557-570	profissionais	
1-112	571-575	como	
1-113	576-586	psicólogos	
1-114	587-588	e	
1-115	589-603	nutricionistas	
1-116	604-607	que	
1-117	608-614	também	
1-118	615-620	podem	
1-119	621-629	auxiliar	
1-120	630-635	nesse	
1-121	636-644	processo	
1-122	644-645	!	
