#FORMAT=WebAnno TSV 3.2


#Text=A Sociedade Brasileira de Diabetes recomenda que adultos com diabetes realizem no mínimo 150 minutos de atividades físicas por semana. Estes 150 minutos podem ser divididos em no mínimo 3 dias da semana, sem ficar mais de 2 dias seguidos sem se exercitar. Essa recomendação, no entanto, só vale para quem não tiver nenhum impedimento de realizar atividades físicas.
1-1	0-1	A	
1-2	2-11	Sociedade	
1-3	12-22	Brasileira	
1-4	23-25	de	
1-5	26-34	Diabetes	
1-6	35-44	recomenda	
1-7	45-48	que	
1-8	49-56	adultos	
1-9	57-60	com	
1-10	61-69	diabetes	
1-11	70-78	realizem	
1-12	79-81	no	
1-13	82-88	mínimo	
1-14	89-92	150	
1-15	93-100	minutos	
1-16	101-103	de	
1-17	104-114	atividades	
1-18	115-122	físicas	
1-19	123-126	por	
1-20	127-133	semana	
1-21	133-134	.	
1-22	135-140	Estes	
1-23	141-144	150	
1-24	145-152	minutos	
1-25	153-158	podem	
1-26	159-162	ser	
1-27	163-172	divididos	
1-28	173-175	em	
1-29	176-178	no	
1-30	179-185	mínimo	
1-31	186-187	3	
1-32	188-192	dias	
1-33	193-195	da	
1-34	196-202	semana	
1-35	202-203	,	
1-36	204-207	sem	
1-37	208-213	ficar	
1-38	214-218	mais	
1-39	219-221	de	
1-40	222-223	2	
1-41	224-228	dias	
1-42	229-237	seguidos	
1-43	238-241	sem	
1-44	242-244	se	
1-45	245-254	exercitar	
1-46	254-255	.	
1-47	256-260	Essa	
1-48	261-273	recomendação	
1-49	273-274	,	
1-50	275-277	no	
1-51	278-285	entanto	
1-52	285-286	,	
1-53	287-289	só	
1-54	290-294	vale	
1-55	295-299	para	
1-56	300-304	quem	
1-57	305-308	não	
1-58	309-314	tiver	
1-59	315-321	nenhum	
1-60	322-333	impedimento	
1-61	334-336	de	
1-62	337-345	realizar	
1-63	346-356	atividades	
1-64	357-364	físicas	
1-65	364-365	.	

#Text=Antes de começar a realizar qualquer atividade física, é importante conversar com o seu médico. Ele irá avaliar o seu caso e dizer se existe alguma limitação em relação aos exercícios que você deseja praticar. Se não existir, você pode realizar a atividade física que você mais goste!
2-1	367-372	Antes	
2-2	373-375	de	
2-3	376-383	começar	
2-4	384-385	a	
2-5	386-394	realizar	
2-6	395-403	qualquer	
2-7	404-413	atividade	
2-8	414-420	física	
2-9	420-421	,	
2-10	422-423	é	
2-11	424-434	importante	
2-12	435-444	conversar	
2-13	445-448	com	
2-14	449-450	o	
2-15	451-454	seu	
2-16	455-461	médico	
2-17	461-462	.	
2-18	463-466	Ele	
2-19	467-470	irá	
2-20	471-478	avaliar	
2-21	479-480	o	
2-22	481-484	seu	
2-23	485-489	caso	
2-24	490-491	e	
2-25	492-497	dizer	
2-26	498-500	se	
2-27	501-507	existe	
2-28	508-514	alguma	
2-29	515-524	limitação	
2-30	525-527	em	
2-31	528-535	relação	
2-32	536-539	aos	
2-33	540-550	exercícios	
2-34	551-554	que	
2-35	555-559	você	
2-36	560-566	deseja	
2-37	567-575	praticar	
2-38	575-576	.	
2-39	577-579	Se	
2-40	580-583	não	
2-41	584-591	existir	
2-42	591-592	,	
2-43	593-597	você	
2-44	598-602	pode	
2-45	603-611	realizar	
2-46	612-613	a	
2-47	614-623	atividade	
2-48	624-630	física	
2-49	631-634	que	
2-50	635-639	você	
2-51	640-644	mais	
2-52	645-650	goste	
2-53	650-651	!	
