#FORMAT=WebAnno TSV 3.2


#Text=Felizmente, a forma de se reverter o quadro de esteatose hepática não é complicada. A busca pelo emagrecimento por meio da prática de exercícios físicos e alimentação balanceada é uma medida que não apenas diminui a quantidade de gordura no fígado, mas também é fundamental no tratamento do diabetes tipo 2. A esteatose hepática pode ser identificada por meio de exames médicos, e, para pessoas com diabetes tipo 2, é sempre importante manter um olho atento em como anda o seu fígado.
1-1	0-10	Felizmente	
1-2	10-11	,	
1-3	12-13	a	
1-4	14-19	forma	
1-5	20-22	de	
1-6	23-25	se	
1-7	26-34	reverter	
1-8	35-36	o	
1-9	37-43	quadro	
1-10	44-46	de	
1-11	47-56	esteatose	
1-12	57-65	hepática	
1-13	66-69	não	
1-14	70-71	é	
1-15	72-82	complicada	
1-16	82-83	.	
1-17	84-85	A	
1-18	86-91	busca	
1-19	92-96	pelo	
1-20	97-110	emagrecimento	
1-21	111-114	por	
1-22	115-119	meio	
1-23	120-122	da	
1-24	123-130	prática	
1-25	131-133	de	
1-26	134-144	exercícios	
1-27	145-152	físicos	
1-28	153-154	e	
1-29	155-166	alimentação	
1-30	167-177	balanceada	
1-31	178-179	é	
1-32	180-183	uma	
1-33	184-190	medida	
1-34	191-194	que	
1-35	195-198	não	
1-36	199-205	apenas	
1-37	206-213	diminui	
1-38	214-215	a	
1-39	216-226	quantidade	
1-40	227-229	de	
1-41	230-237	gordura	
1-42	238-240	no	
1-43	241-247	fígado	
1-44	247-248	,	
1-45	249-252	mas	
1-46	253-259	também	
1-47	260-261	é	
1-48	262-273	fundamental	
1-49	274-276	no	
1-50	277-287	tratamento	
1-51	288-290	do	
1-52	291-299	diabetes	
1-53	300-304	tipo	
1-54	305-306	2	
1-55	306-307	.	
1-56	308-309	A	
1-57	310-319	esteatose	
1-58	320-328	hepática	
1-59	329-333	pode	
1-60	334-337	ser	
1-61	338-350	identificada	
1-62	351-354	por	
1-63	355-359	meio	
1-64	360-362	de	
1-65	363-369	exames	
1-66	370-377	médicos	
1-67	377-378	,	
1-68	379-380	e	
1-69	380-381	,	
1-70	382-386	para	
1-71	387-394	pessoas	
1-72	395-398	com	
1-73	399-407	diabetes	
1-74	408-412	tipo	
1-75	413-414	2	
1-76	414-415	,	
1-77	416-417	é	
1-78	418-424	sempre	
1-79	425-435	importante	
1-80	436-442	manter	
1-81	443-445	um	
1-82	446-450	olho	
1-83	451-457	atento	
1-84	458-460	em	
1-85	461-465	como	
1-86	466-470	anda	
1-87	471-472	o	
1-88	473-476	seu	
1-89	477-483	fígado	
1-90	483-484	.	
