#FORMAT=WebAnno TSV 3.2


#Text=O primeiro passo no tratamento da neuropatia é controlar a quantidade de açúcar no sangue (glicemia) e impedir o avanço da neuropatia. É preciso também ter muito cuidado com os pés: não ficar descalço, evitar sapatos de bico apertado, utilizar tênis confortáveis e dar sempre uma olhada no pé todo em busca de feridas ou infecções. Se você já possui alguma ferida ou dor crônica existem tratamentos farmacológicos (remédios) que podem auxiliar no controle da dor, mas que devem ser prescritos pelo médico que faz o seu acompanhamento. É muito importante que você agende uma consulta com o seu médico para que ele possa avaliar a sua situação e propor algum tratamento, se possível.
1-1	0-1	O	
1-2	2-10	primeiro	
1-3	11-16	passo	
1-4	17-19	no	
1-5	20-30	tratamento	
1-6	31-33	da	
1-7	34-44	neuropatia	
1-8	45-46	é	
1-9	47-56	controlar	
1-10	57-58	a	
1-11	59-69	quantidade	
1-12	70-72	de	
1-13	73-79	açúcar	
1-14	80-82	no	
1-15	83-89	sangue	
1-16	90-91	(	
1-17	91-99	glicemia	
1-18	99-100	)	
1-19	101-102	e	
1-20	103-110	impedir	
1-21	111-112	o	
1-22	113-119	avanço	
1-23	120-122	da	
1-24	123-133	neuropatia	
1-25	133-134	.	
1-26	135-136	É	
1-27	137-144	preciso	
1-28	145-151	também	
1-29	152-155	ter	
1-30	156-161	muito	
1-31	162-169	cuidado	
1-32	170-173	com	
1-33	174-176	os	
1-34	177-180	pés	
1-35	180-181	:	
1-36	182-185	não	
1-37	186-191	ficar	
1-38	192-200	descalço	
1-39	200-201	,	
1-40	202-208	evitar	
1-41	209-216	sapatos	
1-42	217-219	de	
1-43	220-224	bico	
1-44	225-233	apertado	
1-45	233-234	,	
1-46	235-243	utilizar	
1-47	244-249	tênis	
1-48	250-262	confortáveis	
1-49	263-264	e	
1-50	265-268	dar	
1-51	269-275	sempre	
1-52	276-279	uma	
1-53	280-286	olhada	
1-54	287-289	no	
1-55	290-292	pé	
1-56	293-297	todo	
1-57	298-300	em	
1-58	301-306	busca	
1-59	307-309	de	
1-60	310-317	feridas	
1-61	318-320	ou	
1-62	321-330	infecções	
1-63	330-331	.	
1-64	332-334	Se	
1-65	335-339	você	
1-66	340-342	já	
1-67	343-349	possui	
1-68	350-356	alguma	
1-69	357-363	ferida	
1-70	364-366	ou	
1-71	367-370	dor	
1-72	371-378	crônica	
1-73	379-386	existem	
1-74	387-398	tratamentos	
1-75	399-413	farmacológicos	
1-76	414-415	(	
1-77	415-423	remédios	
1-78	423-424	)	
1-79	425-428	que	
1-80	429-434	podem	
1-81	435-443	auxiliar	
1-82	444-446	no	
1-83	447-455	controle	
1-84	456-458	da	
1-85	459-462	dor	
1-86	462-463	,	
1-87	464-467	mas	
1-88	468-471	que	
1-89	472-477	devem	
1-90	478-481	ser	
1-91	482-492	prescritos	
1-92	493-497	pelo	
1-93	498-504	médico	
1-94	505-508	que	
1-95	509-512	faz	
1-96	513-514	o	
1-97	515-518	seu	
1-98	519-533	acompanhamento	
1-99	533-534	.	
1-100	535-536	É	
1-101	537-542	muito	
1-102	543-553	importante	
1-103	554-557	que	
1-104	558-562	você	
1-105	563-569	agende	
1-106	570-573	uma	
1-107	574-582	consulta	
1-108	583-586	com	
1-109	587-588	o	
1-110	589-592	seu	
1-111	593-599	médico	
1-112	600-604	para	
1-113	605-608	que	
1-114	609-612	ele	
1-115	613-618	possa	
1-116	619-626	avaliar	
1-117	627-628	a	
1-118	629-632	sua	
1-119	633-641	situação	
1-120	642-643	e	
1-121	644-650	propor	
1-122	651-656	algum	
1-123	657-667	tratamento	
1-124	667-668	,	
1-125	669-671	se	
1-126	672-680	possível	
1-127	680-681	.	
