#FORMAT=WebAnno TSV 3.2
#T_SP=webanno.custom.Relaes|value
#T_RL=webanno.custom.Relaes2|value|BT_webanno.custom.Relaes


#Text=A hipoglicemia (quantidade muito pequena de açúcar no sangue) pode ser causada por uma alimentação inadequada - principalmente por deixar de se alimentar -, por ter tomado os remédios de forma incorreta ou em doses maiores que as recomendadas. A hipoglicemia pode ser muito grave e por isso é muito importante que procure um médico o quanto antes para ele reavaliar o seu plano de tratamento. Na hipoglicemia os sintomas mais comuns são: suor intenso, fome, tremedeira, fraqueza, palpitação, coração batendo mais rápido, ansiedade/agitação, confusão mental e cefaléia (dor de cabeça).
1-1	0-1	A	_	_	_	
1-2	2-14	hipoglicemia	_	_	_	
1-3	15-16	(	_	_	_	
1-4	16-26	quantidade	_	_	_	
1-5	27-32	muito	_	_	_	
1-6	33-40	pequena	_	_	_	
1-7	41-43	de	_	_	_	
1-8	44-50	açúcar	_	_	_	
1-9	51-53	no	_	_	_	
1-10	54-60	sangue	_	_	_	
1-11	60-61	)	_	_	_	
1-12	62-66	pode	_	_	_	
1-13	67-70	ser	_	_	_	
1-14	71-78	causada	_	_	_	
1-15	79-82	por	_	_	_	
1-16	83-86	uma	_	_	_	
1-17	87-98	alimentação	_	_	_	
1-18	99-109	inadequada	_	_	_	
1-19	110-111	-	_	_	_	
1-20	112-126	principalmente	_	_	_	
1-21	127-130	por	_	_	_	
1-22	131-137	deixar	_	_	_	
1-23	138-140	de	_	_	_	
1-24	141-143	se	_	_	_	
1-25	144-153	alimentar	_	_	_	
1-26	154-155	-	_	_	_	
1-27	155-156	,	_	_	_	
1-28	157-160	por	_	_	_	
1-29	161-164	ter	_	_	_	
1-30	165-171	tomado	_	_	_	
1-31	172-174	os	_	_	_	
1-32	175-183	remédios	_	_	_	
1-33	184-186	de	_	_	_	
1-34	187-192	forma	_	_	_	
1-35	193-202	incorreta	_	_	_	
1-36	203-205	ou	_	_	_	
1-37	206-208	em	_	_	_	
1-38	209-214	doses	_	_	_	
1-39	215-222	maiores	_	_	_	
1-40	223-226	que	_	_	_	
1-41	227-229	as	_	_	_	
1-42	230-242	recomendadas	_	_	_	
1-43	242-243	.	_	_	_	
1-44	244-245	A	_	_	_	
1-45	246-258	hipoglicemia	_	_	_	
1-46	259-263	pode	_	_	_	
1-47	264-267	ser	_	_	_	
1-48	268-273	muito	_	_	_	
1-49	274-279	grave	_	_	_	
1-50	280-281	e	_	_	_	
1-51	282-285	por	_	_	_	
1-52	286-290	isso	_	_	_	
1-53	291-292	é	_	_	_	
1-54	293-298	muito	_	_	_	
1-55	299-309	importante	_	_	_	
1-56	310-313	que	_	_	_	
1-57	314-321	procure	_	_	_	
1-58	322-324	um	_	_	_	
1-59	325-331	médico	_	_	_	
1-60	332-333	o	_	_	_	
1-61	334-340	quanto	_	_	_	
1-62	341-346	antes	_	_	_	
1-63	347-351	para	_	_	_	
1-64	352-355	ele	_	_	_	
1-65	356-365	reavaliar	_	_	_	
1-66	366-367	o	_	_	_	
1-67	368-371	seu	_	_	_	
1-68	372-377	plano	_	_	_	
1-69	378-380	de	_	_	_	
1-70	381-391	tratamento	_	_	_	
1-71	391-392	.	_	_	_	
1-72	393-395	Na	_	_	_	
1-73	396-408	hipoglicemia	Complication	_	_	
1-74	409-411	os	_	_	_	
1-75	412-420	sintomas	_	_	_	
1-76	421-425	mais	_	_	_	
1-77	426-432	comuns	_	_	_	
1-78	433-436	são	_	_	_	
1-79	436-437	:	_	_	_	
1-80	438-442	suor	Symptom[1]	has	1-73[0_1]	
1-81	443-450	intenso	Symptom[1]	_	_	
1-82	450-451	,	_	_	_	
1-83	452-456	fome	Symptom	has	1-73	
1-84	456-457	,	_	_	_	
1-85	458-468	tremedeira	Symptom	has	1-73	
1-86	468-469	,	_	_	_	
1-87	470-478	fraqueza	Symptom	has	1-73	
1-88	478-479	,	_	_	_	
1-89	480-490	palpitação	Symptom	has	1-73	
1-90	490-491	,	_	_	_	
1-91	492-499	coração	Symptom[2]	has	1-73[0_2]	
1-92	500-507	batendo	Symptom[2]	_	_	
1-93	508-512	mais	Symptom[2]	_	_	
1-94	513-519	rápido	Symptom[2]	_	_	
1-95	519-520	,	_	_	_	
1-96	521-530	ansiedade	Symptom	has	1-73	
1-97	530-531	/	_	_	_	
1-98	531-539	agitação	Symptom	has	1-73	
1-99	539-540	,	_	_	_	
1-100	541-549	confusão	Symptom[3]	has	1-73[0_3]	
1-101	550-556	mental	Symptom[3]	_	_	
1-102	557-558	e	_	_	_	
1-103	559-567	cefaléia	Symptom	has	1-73	
1-104	568-569	(	_	_	_	
1-105	569-572	dor	Symptom[4]	has	1-73[0_4]	
1-106	573-575	de	Symptom[4]	_	_	
1-107	576-582	cabeça	Symptom[4]	_	_	
1-108	582-583	)	_	_	_	
1-109	583-584	.	_	_	_	
