#FORMAT=WebAnno TSV 3.2


#Text=De fato, algumas pessoas não conseguem controlar a quantidade de açúcar no sangue mesmo tomando os remédios. Mas o que acontece é que não adianta só tomar os remédios e continuar comendo de forma descontrolada e sem praticar atividade física. Além disso, é necessário que os remédios sejam tomados nas doses certas e nos horários indicados, caso contrário eles podem acabar não tendo os efeitos desejáveis.
1-1	0-2	De	
1-2	3-7	fato	
1-3	7-8	,	
1-4	9-16	algumas	
1-5	17-24	pessoas	
1-6	25-28	não	
1-7	29-38	conseguem	
1-8	39-48	controlar	
1-9	49-50	a	
1-10	51-61	quantidade	
1-11	62-64	de	
1-12	65-71	açúcar	
1-13	72-74	no	
1-14	75-81	sangue	
1-15	82-87	mesmo	
1-16	88-95	tomando	
1-17	96-98	os	
1-18	99-107	remédios	
1-19	107-108	.	
1-20	109-112	Mas	
1-21	113-114	o	
1-22	115-118	que	
1-23	119-127	acontece	
1-24	128-129	é	
1-25	130-133	que	
1-26	134-137	não	
1-27	138-145	adianta	
1-28	146-148	só	
1-29	149-154	tomar	
1-30	155-157	os	
1-31	158-166	remédios	
1-32	167-168	e	
1-33	169-178	continuar	
1-34	179-186	comendo	
1-35	187-189	de	
1-36	190-195	forma	
1-37	196-209	descontrolada	
1-38	210-211	e	
1-39	212-215	sem	
1-40	216-224	praticar	
1-41	225-234	atividade	
1-42	235-241	física	
1-43	241-242	.	
1-44	243-247	Além	
1-45	248-253	disso	
1-46	253-254	,	
1-47	255-256	é	
1-48	257-267	necessário	
1-49	268-271	que	
1-50	272-274	os	
1-51	275-283	remédios	
1-52	284-289	sejam	
1-53	290-297	tomados	
1-54	298-301	nas	
1-55	302-307	doses	
1-56	308-314	certas	
1-57	315-316	e	
1-58	317-320	nos	
1-59	321-329	horários	
1-60	330-339	indicados	
1-61	339-340	,	
1-62	341-345	caso	
1-63	346-355	contrário	
1-64	356-360	eles	
1-65	361-366	podem	
1-66	367-373	acabar	
1-67	374-377	não	
1-68	378-383	tendo	
1-69	384-386	os	
1-70	387-394	efeitos	
1-71	395-405	desejáveis	
1-72	405-406	.	
