#FORMAT=WebAnno TSV 3.2


#Text=Lidar com uma doença crônica pode ser muito difícil e doloroso. Porém, esse processo também pode ser visto como uma nova chance de se tratar de uma forma mais carinhosa e saudável! As mudanças de estilo de vida (alimentação saudável, prática de exercícios físicos, perda de peso...) são uma parte fundamental do tratamento de qualquer pessoa com diabetes. Para além disso, porém, elas promovem uma mudança em toda a forma de se relacionar com o corpo. Dê uma chance à saúde, é possível controlar o diabetes! Além disso, estão disponíveis gratuitamente pelo SUS profissionais como psicólogos e nutricionista que também podem auxiliar nesse processo!
1-1	0-5	Lidar	
1-2	6-9	com	
1-3	10-13	uma	
1-4	14-20	doença	
1-5	21-28	crônica	
1-6	29-33	pode	
1-7	34-37	ser	
1-8	38-43	muito	
1-9	44-51	difícil	
1-10	52-53	e	
1-11	54-62	doloroso	
1-12	62-63	.	
1-13	64-69	Porém	
1-14	69-70	,	
1-15	71-75	esse	
1-16	76-84	processo	
1-17	85-91	também	
1-18	92-96	pode	
1-19	97-100	ser	
1-20	101-106	visto	
1-21	107-111	como	
1-22	112-115	uma	
1-23	116-120	nova	
1-24	121-127	chance	
1-25	128-130	de	
1-26	131-133	se	
1-27	134-140	tratar	
1-28	141-143	de	
1-29	144-147	uma	
1-30	148-153	forma	
1-31	154-158	mais	
1-32	159-168	carinhosa	
1-33	169-170	e	
1-34	171-179	saudável	
1-35	179-180	!	
1-36	181-183	As	
1-37	184-192	mudanças	
1-38	193-195	de	
1-39	196-202	estilo	
1-40	203-205	de	
1-41	206-210	vida	
1-42	211-212	(	
1-43	212-223	alimentação	
1-44	224-232	saudável	
1-45	232-233	,	
1-46	234-241	prática	
1-47	242-244	de	
1-48	245-255	exercícios	
1-49	256-263	físicos	
1-50	263-264	,	
1-51	265-270	perda	
1-52	271-273	de	
1-53	274-278	peso	
1-54	278-279	.	
1-55	279-280	.	
1-56	280-281	.	
1-57	281-282	)	
1-58	283-286	são	
1-59	287-290	uma	
1-60	291-296	parte	
1-61	297-308	fundamental	
1-62	309-311	do	
1-63	312-322	tratamento	
1-64	323-325	de	
1-65	326-334	qualquer	
1-66	335-341	pessoa	
1-67	342-345	com	
1-68	346-354	diabetes	
1-69	354-355	.	
1-70	356-360	Para	
1-71	361-365	além	
1-72	366-371	disso	
1-73	371-372	,	
1-74	373-378	porém	
1-75	378-379	,	
1-76	380-384	elas	
1-77	385-393	promovem	
1-78	394-397	uma	
1-79	398-405	mudança	
1-80	406-408	em	
1-81	409-413	toda	
1-82	414-415	a	
1-83	416-421	forma	
1-84	422-424	de	
1-85	425-427	se	
1-86	428-438	relacionar	
1-87	439-442	com	
1-88	443-444	o	
1-89	445-450	corpo	
1-90	450-451	.	
1-91	452-454	Dê	
1-92	455-458	uma	
1-93	459-465	chance	
1-94	466-467	à	
1-95	468-473	saúde	
1-96	473-474	,	
1-97	475-476	é	
1-98	477-485	possível	
1-99	486-495	controlar	
1-100	496-497	o	
1-101	498-506	diabetes	
1-102	506-507	!	
1-103	508-512	Além	
1-104	513-518	disso	
1-105	518-519	,	
1-106	520-525	estão	
1-107	526-537	disponíveis	
1-108	538-551	gratuitamente	
1-109	552-556	pelo	
1-110	557-560	SUS	
1-111	561-574	profissionais	
1-112	575-579	como	
1-113	580-590	psicólogos	
1-114	591-592	e	
1-115	593-606	nutricionista	
1-116	607-610	que	
1-117	611-617	também	
1-118	618-623	podem	
1-119	624-632	auxiliar	
1-120	633-638	nesse	
1-121	639-647	processo	
1-122	647-648	!	
