#FORMAT=WebAnno TSV 3.2


#Text=O tratamento do diabetes depende de qual tipo é desenvolvido. Para o tipo 1, é necessária a administração regular de insulina durante toda a vida. Já para o tipo 2, existem vários medicamentos disponíveis destinados ao controle da doença. Esses medicamentos devem ser associados com uma dieta balanceada e com a prática de exercícios físicos. No entanto, algumas pessoas não conseguem controlar o diabetes apenas tomando essas medidas. Nesses casos, a cirurgia de redução de estômago pode ser uma opção de tratamento que apresenta um bom resultado já no curto prazo
1-1	0-1	O	
1-2	2-12	tratamento	
1-3	13-15	do	
1-4	16-24	diabetes	
1-5	25-32	depende	
1-6	33-35	de	
1-7	36-40	qual	
1-8	41-45	tipo	
1-9	46-47	é	
1-10	48-60	desenvolvido	
1-11	60-61	.	
1-12	62-66	Para	
1-13	67-68	o	
1-14	69-73	tipo	
1-15	74-75	1	
1-16	75-76	,	
1-17	77-78	é	
1-18	79-89	necessária	
1-19	90-91	a	
1-20	92-105	administração	
1-21	106-113	regular	
1-22	114-116	de	
1-23	117-125	insulina	
1-24	126-133	durante	
1-25	134-138	toda	
1-26	139-140	a	
1-27	141-145	vida	
1-28	145-146	.	
1-29	147-149	Já	
1-30	150-154	para	
1-31	155-156	o	
1-32	157-161	tipo	
1-33	162-163	2	
1-34	163-164	,	
1-35	165-172	existem	
1-36	173-179	vários	
1-37	180-192	medicamentos	
1-38	193-204	disponíveis	
1-39	205-215	destinados	
1-40	216-218	ao	
1-41	219-227	controle	
1-42	228-230	da	
1-43	231-237	doença	
1-44	237-238	.	
1-45	239-244	Esses	
1-46	245-257	medicamentos	
1-47	258-263	devem	
1-48	264-267	ser	
1-49	268-278	associados	
1-50	279-282	com	
1-51	283-286	uma	
1-52	287-292	dieta	
1-53	293-303	balanceada	
1-54	304-305	e	
1-55	306-309	com	
1-56	310-311	a	
1-57	312-319	prática	
1-58	320-322	de	
1-59	323-333	exercícios	
1-60	334-341	físicos	
1-61	341-342	.	
1-62	343-345	No	
1-63	346-353	entanto	
1-64	353-354	,	
1-65	355-362	algumas	
1-66	363-370	pessoas	
1-67	371-374	não	
1-68	375-384	conseguem	
1-69	385-394	controlar	
1-70	395-396	o	
1-71	397-405	diabetes	
1-72	406-412	apenas	
1-73	413-420	tomando	
1-74	421-426	essas	
1-75	427-434	medidas	
1-76	434-435	.	
1-77	436-442	Nesses	
1-78	443-448	casos	
1-79	448-449	,	
1-80	450-451	a	
1-81	452-460	cirurgia	
1-82	461-463	de	
1-83	464-471	redução	
1-84	472-474	de	
1-85	475-483	estômago	
1-86	484-488	pode	
1-87	489-492	ser	
1-88	493-496	uma	
1-89	497-502	opção	
1-90	503-505	de	
1-91	506-516	tratamento	
1-92	517-520	que	
1-93	521-530	apresenta	
1-94	531-533	um	
1-95	534-537	bom	
1-96	538-547	resultado	
1-97	548-550	já	
1-98	551-553	no	
1-99	554-559	curto	
1-100	560-565	prazo	
