#FORMAT=WebAnno TSV 3.2


#Text=Antes de serem diagnosticadas, pessoas com diabetes tipo 1 costumam ter um rápido emagrecimento. A baixa absorção de insulina faz com que o organismo não consiga transformar a glicose em energia. Por isso, ele passa a queimar gorduras para esse fim, o que leva à perda de peso repentina.
1-1	0-5	Antes	
1-2	6-8	de	
1-3	9-14	serem	
1-4	15-29	diagnosticadas	
1-5	29-30	,	
1-6	31-38	pessoas	
1-7	39-42	com	
1-8	43-51	diabetes	
1-9	52-56	tipo	
1-10	57-58	1	
1-11	59-67	costumam	
1-12	68-71	ter	
1-13	72-74	um	
1-14	75-81	rápido	
1-15	82-95	emagrecimento	
1-16	95-96	.	
1-17	97-98	A	
1-18	99-104	baixa	
1-19	105-113	absorção	
1-20	114-116	de	
1-21	117-125	insulina	
1-22	126-129	faz	
1-23	130-133	com	
1-24	134-137	que	
1-25	138-139	o	
1-26	140-149	organismo	
1-27	150-153	não	
1-28	154-161	consiga	
1-29	162-173	transformar	
1-30	174-175	a	
1-31	176-183	glicose	
1-32	184-186	em	
1-33	187-194	energia	
1-34	194-195	.	
1-35	196-199	Por	
1-36	200-204	isso	
1-37	204-205	,	
1-38	206-209	ele	
1-39	210-215	passa	
1-40	216-217	a	
1-41	218-225	queimar	
1-42	226-234	gorduras	
1-43	235-239	para	
1-44	240-244	esse	
1-45	245-248	fim	
1-46	248-249	,	
1-47	250-251	o	
1-48	252-255	que	
1-49	256-260	leva	
1-50	261-262	à	
1-51	263-268	perda	
1-52	269-271	de	
1-53	272-276	peso	
1-54	277-286	repentina	
1-55	286-287	.	

#Text=É comum que haja uma recuperação do peso quando o (a) paciente inicia o tratamento com a insulina. Algumas pessoas associam o medicamento com o ganho de peso e abandonam o tratamento. Essa atitude é extremente prejuducial à saúde, pois a suspensão do uso da insulina faz com que os níveis de glicose no sangue aumentem, causando uma série de sintomas e complicações a curto, médio e longo prazo
2-1	292-293	É	
2-2	294-299	comum	
2-3	300-303	que	
2-4	304-308	haja	
2-5	309-312	uma	
2-6	313-324	recuperação	
2-7	325-327	do	
2-8	328-332	peso	
2-9	333-339	quando	
2-10	340-341	o	
2-11	342-343	(	
2-12	343-344	a	
2-13	344-345	)	
2-14	346-354	paciente	
2-15	355-361	inicia	
2-16	362-363	o	
2-17	364-374	tratamento	
2-18	375-378	com	
2-19	379-380	a	
2-20	381-389	insulina	
2-21	389-390	.	
2-22	391-398	Algumas	
2-23	399-406	pessoas	
2-24	407-415	associam	
2-25	416-417	o	
2-26	418-429	medicamento	
2-27	430-433	com	
2-28	434-435	o	
2-29	436-441	ganho	
2-30	442-444	de	
2-31	445-449	peso	
2-32	450-451	e	
2-33	452-461	abandonam	
2-34	462-463	o	
2-35	464-474	tratamento	
2-36	474-475	.	
2-37	476-480	Essa	
2-38	481-488	atitude	
2-39	489-490	é	
2-40	491-501	extremente	
2-41	502-513	prejuducial	
2-42	514-515	à	
2-43	516-521	saúde	
2-44	521-522	,	
2-45	523-527	pois	
2-46	528-529	a	
2-47	530-539	suspensão	
2-48	540-542	do	
2-49	543-546	uso	
2-50	547-549	da	
2-51	550-558	insulina	
2-52	559-562	faz	
2-53	563-566	com	
2-54	567-570	que	
2-55	571-573	os	
2-56	574-580	níveis	
2-57	581-583	de	
2-58	584-591	glicose	
2-59	592-594	no	
2-60	595-601	sangue	
2-61	602-610	aumentem	
2-62	610-611	,	
2-63	612-620	causando	
2-64	621-624	uma	
2-65	625-630	série	
2-66	631-633	de	
2-67	634-642	sintomas	
2-68	643-644	e	
2-69	645-657	complicações	
2-70	658-659	a	
2-71	660-665	curto	
2-72	665-666	,	
2-73	667-672	médio	
2-74	673-674	e	
2-75	675-680	longo	
2-76	681-686	prazo	
