#FORMAT=WebAnno TSV 3.2


#Text=O que você está nos contando pode ter muitas causas, então não seria adequado sugerir um tratamento por aqui. Recomendamos que você procure um médico que irá avaliar a sua situação com mais profundidade.
1-1	0-1	O	
1-2	2-5	que	
1-3	6-10	você	
1-4	11-15	está	
1-5	16-19	nos	
1-6	20-28	contando	
1-7	29-33	pode	
1-8	34-37	ter	
1-9	38-44	muitas	
1-10	45-51	causas	
1-11	51-52	,	
1-12	53-58	então	
1-13	59-62	não	
1-14	63-68	seria	
1-15	69-77	adequado	
1-16	78-85	sugerir	
1-17	86-88	um	
1-18	89-99	tratamento	
1-19	100-103	por	
1-20	104-108	aqui	
1-21	108-109	.	
1-22	110-122	Recomendamos	
1-23	123-126	que	
1-24	127-131	você	
1-25	132-139	procure	
1-26	140-142	um	
1-27	143-149	médico	
1-28	150-153	que	
1-29	154-157	irá	
1-30	158-165	avaliar	
1-31	166-167	a	
1-32	168-171	sua	
1-33	172-180	situação	
1-34	181-184	com	
1-35	185-189	mais	
1-36	190-202	profundidade	
1-37	202-203	.	
