#FORMAT=WebAnno TSV 3.2
#T_SP=webanno.custom.Relaes|value


#Text=O que você está nos contando pode ter muitas causas, então não seria adequado sugerir um tratamento por aqui. Recomendamos que você pocure um médico que avalie a sua situação com mais profundidade.
1-1	0-1	O	_	
1-2	2-5	que	_	
1-3	6-10	você	_	
1-4	11-15	está	_	
1-5	16-19	nos	_	
1-6	20-28	contando	_	
1-7	29-33	pode	_	
1-8	34-37	ter	_	
1-9	38-44	muitas	_	
1-10	45-51	causas	_	
1-11	51-52	,	_	
1-12	53-58	então	_	
1-13	59-62	não	_	
1-14	63-68	seria	_	
1-15	69-77	adequado	_	
1-16	78-85	sugerir	_	
1-17	86-88	um	_	
1-18	89-99	tratamento	_	
1-19	100-103	por	_	
1-20	104-108	aqui	_	
1-21	108-109	.	_	
1-22	110-122	Recomendamos	_	
1-23	123-126	que	_	
1-24	127-131	você	_	
1-25	132-138	pocure	Test[1]	
1-26	139-141	um	Test[1]	
1-27	142-148	médico	Test[1]	
1-28	149-152	que	_	
1-29	153-159	avalie	_	
1-30	160-161	a	_	
1-31	162-165	sua	_	
1-32	166-174	situação	_	
1-33	175-178	com	_	
1-34	179-183	mais	_	
1-35	184-196	profundidade	_	
1-36	196-197	.	_	
