#FORMAT=WebAnno TSV 3.2


#Text=O SUS disponibiliza gratuitamente o glicosímetro e uma quantidade mensal de fitas (lâminas) para quem precisa de se tratar com a insulina. Se você já está recebendo essas fitas, e ainda assim não está sendo o suficiente, tente conversar com o seu médico e explicar a situação.
1-1	0-1	O	
1-2	2-5	SUS	
1-3	6-19	disponibiliza	
1-4	20-33	gratuitamente	
1-5	34-35	o	
1-6	36-48	glicosímetro	
1-7	49-50	e	
1-8	51-54	uma	
1-9	55-65	quantidade	
1-10	66-72	mensal	
1-11	73-75	de	
1-12	76-81	fitas	
1-13	82-83	(	
1-14	83-90	lâminas	
1-15	90-91	)	
1-16	92-96	para	
1-17	97-101	quem	
1-18	102-109	precisa	
1-19	110-112	de	
1-20	113-115	se	
1-21	116-122	tratar	
1-22	123-126	com	
1-23	127-128	a	
1-24	129-137	insulina	
1-25	137-138	.	
1-26	139-141	Se	
1-27	142-146	você	
1-28	147-149	já	
1-29	150-154	está	
1-30	155-164	recebendo	
1-31	165-170	essas	
1-32	171-176	fitas	
1-33	176-177	,	
1-34	178-179	e	
1-35	180-185	ainda	
1-36	186-191	assim	
1-37	192-195	não	
1-38	196-200	está	
1-39	201-206	sendo	
1-40	207-208	o	
1-41	209-219	suficiente	
1-42	219-220	,	
1-43	221-226	tente	
1-44	227-236	conversar	
1-45	237-240	com	
1-46	241-242	o	
1-47	243-246	seu	
1-48	247-253	médico	
1-49	254-255	e	
1-50	256-264	explicar	
1-51	265-266	a	
1-52	267-275	situação	
1-53	275-276	.	
