#FORMAT=WebAnno TSV 3.2


#Text=Para poder fazer uma cirurgia, a quantidade de açúcar no sangue (glicemia) tem que estar controlada. No entanto, o valor ideal da glicemia (quantidade de açúcar no sangue) a ser alcançada é diferente para cada pessoa. As metas de glicemia são feitas levando-se em consideração a condição geral de cada um. Dessa forma, só é possível saber se a glicemia de uma pessoa está nos níveis adequados após ser realizada uma avaliação geral da saúde e da história médica dessa pessoa. Por isso, é importante que você consulte com seu médico e conte o que está acontecendo. De maneira alguma deve-se mudar o tratamento sem consultá-lo.
1-1	0-4	Para	
1-2	5-10	poder	
1-3	11-16	fazer	
1-4	17-20	uma	
1-5	21-29	cirurgia	
1-6	29-30	,	
1-7	31-32	a	
1-8	33-43	quantidade	
1-9	44-46	de	
1-10	47-53	açúcar	
1-11	54-56	no	
1-12	57-63	sangue	
1-13	64-65	(	
1-14	65-73	glicemia	
1-15	73-74	)	
1-16	75-78	tem	
1-17	79-82	que	
1-18	83-88	estar	
1-19	89-99	controlada	
1-20	99-100	.	
1-21	101-103	No	
1-22	104-111	entanto	
1-23	111-112	,	
1-24	113-114	o	
1-25	115-120	valor	
1-26	121-126	ideal	
1-27	127-129	da	
1-28	130-138	glicemia	
1-29	139-140	(	
1-30	140-150	quantidade	
1-31	151-153	de	
1-32	154-160	açúcar	
1-33	161-163	no	
1-34	164-170	sangue	
1-35	170-171	)	
1-36	172-173	a	
1-37	174-177	ser	
1-38	178-187	alcançada	
1-39	188-189	é	
1-40	190-199	diferente	
1-41	200-204	para	
1-42	205-209	cada	
1-43	210-216	pessoa	
1-44	216-217	.	
1-45	218-220	As	
1-46	221-226	metas	
1-47	227-229	de	
1-48	230-238	glicemia	
1-49	239-242	são	
1-50	243-249	feitas	
1-51	250-260	levando-se	
1-52	261-263	em	
1-53	264-276	consideração	
1-54	277-278	a	
1-55	279-287	condição	
1-56	288-293	geral	
1-57	294-296	de	
1-58	297-301	cada	
1-59	302-304	um	
1-60	304-305	.	
1-61	306-311	Dessa	
1-62	312-317	forma	
1-63	317-318	,	
1-64	319-321	só	
1-65	322-323	é	
1-66	324-332	possível	
1-67	333-338	saber	
1-68	339-341	se	
1-69	342-343	a	
1-70	344-352	glicemia	
1-71	353-355	de	
1-72	356-359	uma	
1-73	360-366	pessoa	
1-74	367-371	está	
1-75	372-375	nos	
1-76	376-382	níveis	
1-77	383-392	adequados	
1-78	393-397	após	
1-79	398-401	ser	
1-80	402-411	realizada	
1-81	412-415	uma	
1-82	416-425	avaliação	
1-83	426-431	geral	
1-84	432-434	da	
1-85	435-440	saúde	
1-86	441-442	e	
1-87	443-445	da	
1-88	446-454	história	
1-89	455-461	médica	
1-90	462-467	dessa	
1-91	468-474	pessoa	
1-92	474-475	.	
1-93	476-479	Por	
1-94	480-484	isso	
1-95	484-485	,	
1-96	486-487	é	
1-97	488-498	importante	
1-98	499-502	que	
1-99	503-507	você	
1-100	508-516	consulte	
1-101	517-520	com	
1-102	521-524	seu	
1-103	525-531	médico	
1-104	532-533	e	
1-105	534-539	conte	
1-106	540-541	o	
1-107	542-545	que	
1-108	546-550	está	
1-109	551-562	acontecendo	
1-110	562-563	.	
1-111	564-566	De	
1-112	567-574	maneira	
1-113	575-581	alguma	
1-114	582-589	deve-se	
1-115	590-595	mudar	
1-116	596-597	o	
1-117	598-608	tratamento	
1-118	609-612	sem	
1-119	613-624	consultá-lo	
1-120	624-625	.	
