#FORMAT=WebAnno TSV 3.2
#T_SP=webanno.custom.Relaes|value
#T_RL=webanno.custom.Relaes2|value|BT_webanno.custom.Relaes


#Text=A "má circulação" pode ser uma consequência da vasculopatia diabética, que é uma complicação que aparece quando o diabetes não está bem controlado. Quantidades muito altas de açúcar no sangue podem levar a uma piora da circulação sanguínea, prejudicando várias veias e artérias pelo corpo, incluindo aquelas que ficam nos pés. Há várias medidas que podem ser tomadas para evitar essa complicação, sendo as principais: controlar a quantidade de açúcar no sangue, usar sapatos fechados e confortáveis, evitar sandálias de dedo, usar hidratantes (não passar entre os dedos dos pés) e frequentemente dar uma boa olhada nos seus pés, para ver se há alguma ferida neles.
1-1	0-1	A	_	_	_	
1-2	2-3	"	_	_	_	
1-3	3-5	má	Symptom[1]	has	1-11[2_1]	
1-4	6-16	circulação	Symptom[1]	_	_	
1-5	16-17	"	_	_	_	
1-6	18-22	pode	_	_	_	
1-7	23-26	ser	_	_	_	
1-8	27-30	uma	_	_	_	
1-9	31-43	consequência	_	_	_	
1-10	44-46	da	_	_	_	
1-11	47-59	vasculopatia	Complication[2]	prevents|prevents|prevents|prevents	1-75[5_2]|1-83[6_2]|1-89[7_2]|1-94[8_2]	
1-12	60-69	diabética	Complication[2]	_	_	
1-13	69-70	,	_	_	_	
1-14	71-74	que	_	_	_	
1-15	75-76	é	_	_	_	
1-16	77-80	uma	_	_	_	
1-17	81-92	complicação	_	_	_	
1-18	93-96	que	_	_	_	
1-19	97-104	aparece	_	_	_	
1-20	105-111	quando	_	_	_	
1-21	112-113	o	_	_	_	
1-22	114-122	diabetes	_	_	_	
1-23	123-126	não	_	_	_	
1-24	127-131	está	_	_	_	
1-25	132-135	bem	_	_	_	
1-26	136-146	controlado	_	_	_	
1-27	146-147	.	_	_	_	
1-28	148-159	Quantidades	GlucoseValue[3]	_	_	
1-29	160-165	muito	GlucoseValue[3]	_	_	
1-30	166-171	altas	GlucoseValue[3]	_	_	
1-31	172-174	de	GlucoseValue[3]	_	_	
1-32	175-181	açúcar	GlucoseValue[3]	_	_	
1-33	182-184	no	GlucoseValue[3]	_	_	
1-34	185-191	sangue	GlucoseValue[3]	_	_	
1-35	192-197	podem	_	_	_	
1-36	198-203	levar	_	_	_	
1-37	204-205	a	_	_	_	
1-38	206-209	uma	_	_	_	
1-39	210-215	piora	Symptom[4]	causes	1-28[3_4]	
1-40	216-218	da	Symptom[4]	_	_	
1-41	219-229	circulação	Symptom[4]	_	_	
1-42	230-239	sanguínea	Symptom[4]	_	_	
1-43	239-240	,	_	_	_	
1-44	241-253	prejudicando	_	_	_	
1-45	254-260	várias	_	_	_	
1-46	261-266	veias	_	_	_	
1-47	267-268	e	_	_	_	
1-48	269-277	artérias	_	_	_	
1-49	278-282	pelo	_	_	_	
1-50	283-288	corpo	_	_	_	
1-51	288-289	,	_	_	_	
1-52	290-299	incluindo	_	_	_	
1-53	300-307	aquelas	_	_	_	
1-54	308-311	que	_	_	_	
1-55	312-317	ficam	_	_	_	
1-56	318-321	nos	_	_	_	
1-57	322-325	pés	_	_	_	
1-58	325-326	.	_	_	_	
1-59	327-329	Há	_	_	_	
1-60	330-336	várias	_	_	_	
