#FORMAT=WebAnno TSV 3.2


#Text=Primeiro de tudo, é importante lembrar que não se deve ficar nenhum dia sem a medicação, independente dos níveis de glicose no sangue. No tratamento da pessoa com diabetes, os valores ideais de glicose no sangue (glicemia) dependem de vários fatores, como a hora do dia em que a medida é feita e quando foi consumida a última refeição. De modo geral, em jejum e antes das refeições, a glicemia alvo está entre 80 e 130. Por outro lado, até 2 horas depois das refeições, tolera-se uma glicemia de até 180. No entanto, essa meta pode ser alterada de acordo com algumas características de cada indivíduo. Nesse sentido, o médico pode optar por fazer um controle mais restrito em pessoas jovens, saudáveis e/ou com pouco tempo de diabetes, buscando valores de glicemia mais baixos. Por outro lado, pode-se tolerar um controle menos restrito em pessoas idosas, com outros problemas de saúde e/ou com longo tempo de diabetes, estabelecendo metas de glicemia mais altas. Portanto, ainda que seu exame esteja dentro das metas acima, pode ser que elas não sejam as mais adequadas para você, por isso é muito importante que você mantenha controle regular com um médico, que irá estabelecer o melhor tratamento para o seu caso.
1-1	0-8	Primeiro	
1-2	9-11	de	
1-3	12-16	tudo	
1-4	16-17	,	
1-5	18-19	é	
1-6	20-30	importante	
1-7	31-38	lembrar	
1-8	39-42	que	
1-9	43-46	não	
1-10	47-49	se	
1-11	50-54	deve	
1-12	55-60	ficar	
1-13	61-67	nenhum	
1-14	68-71	dia	
1-15	72-75	sem	
1-16	76-77	a	
1-17	78-87	medicação	
1-18	87-88	,	
1-19	89-101	independente	
1-20	102-105	dos	
1-21	106-112	níveis	
1-22	113-115	de	
1-23	116-123	glicose	
1-24	124-126	no	
1-25	127-133	sangue	
1-26	133-134	.	
1-27	135-137	No	
1-28	138-148	tratamento	
1-29	149-151	da	
1-30	152-158	pessoa	
1-31	159-162	com	
1-32	163-171	diabetes	
1-33	171-172	,	
1-34	173-175	os	
1-35	176-183	valores	
1-36	184-190	ideais	
1-37	191-193	de	
1-38	194-201	glicose	
1-39	202-204	no	
1-40	205-211	sangue	
1-41	212-213	(	
1-42	213-221	glicemia	
1-43	221-222	)	
1-44	223-231	dependem	
1-45	232-234	de	
1-46	235-241	vários	
1-47	242-249	fatores	
1-48	249-250	,	
1-49	251-255	como	
1-50	256-257	a	
1-51	258-262	hora	
1-52	263-265	do	
1-53	266-269	dia	
1-54	270-272	em	
1-55	273-276	que	
1-56	277-278	a	
1-57	279-285	medida	
1-58	286-287	é	
1-59	288-293	feita	
1-60	294-295	e	
1-61	296-302	quando	
1-62	303-306	foi	
1-63	307-316	consumida	
1-64	317-318	a	
1-65	319-325	última	
1-66	326-334	refeição	
1-67	334-335	.	
1-68	336-338	De	
1-69	339-343	modo	
1-70	344-349	geral	
1-71	349-350	,	
1-72	351-353	em	
1-73	354-359	jejum	
1-74	360-361	e	
1-75	362-367	antes	
1-76	368-371	das	
1-77	372-381	refeições	
1-78	381-382	,	
1-79	383-384	a	
1-80	385-393	glicemia	
1-81	394-398	alvo	
1-82	399-403	está	
1-83	404-409	entre	
1-84	410-412	80	
1-85	413-414	e	
1-86	415-418	130	
1-87	418-419	.	
1-88	420-423	Por	
1-89	424-429	outro	
1-90	430-434	lado	
1-91	434-435	,	
1-92	436-439	até	
1-93	440-441	2	
1-94	442-447	horas	
1-95	448-454	depois	
1-96	455-458	das	
1-97	459-468	refeições	
1-98	468-469	,	
1-99	470-479	tolera-se	
1-100	480-483	uma	
1-101	484-492	glicemia	
1-102	493-495	de	
1-103	496-499	até	
1-104	500-503	180	
1-105	503-504	.	
1-106	505-507	No	
1-107	508-515	entanto	
1-108	515-516	,	
1-109	517-521	essa	
1-110	522-526	meta	
1-111	527-531	pode	
1-112	532-535	ser	
1-113	536-544	alterada	
1-114	545-547	de	
1-115	548-554	acordo	
1-116	555-558	com	
1-117	559-566	algumas	
1-118	567-582	características	
1-119	583-585	de	
1-120	586-590	cada	
1-121	591-600	indivíduo	
1-122	600-601	.	
1-123	602-607	Nesse	
1-124	608-615	sentido	
1-125	615-616	,	
1-126	617-618	o	
1-127	619-625	médico	
1-128	626-630	pode	
1-129	631-636	optar	
1-130	637-640	por	
1-131	641-646	fazer	
1-132	647-649	um	
1-133	650-658	controle	
1-134	659-663	mais	
1-135	664-672	restrito	
1-136	673-675	em	
1-137	676-683	pessoas	
1-138	684-690	jovens	
1-139	690-691	,	
1-140	692-701	saudáveis	
1-141	702-703	e	
1-142	703-704	/	
1-143	704-706	ou	
1-144	707-710	com	
1-145	711-716	pouco	
1-146	717-722	tempo	
1-147	723-725	de	
1-148	726-734	diabetes	
1-149	734-735	,	
1-150	736-744	buscando	
1-151	745-752	valores	
1-152	753-755	de	
1-153	756-764	glicemia	
1-154	765-769	mais	
1-155	770-776	baixos	
1-156	776-777	.	
1-157	778-781	Por	
1-158	782-787	outro	
1-159	788-792	lado	
1-160	792-793	,	
1-161	794-801	pode-se	
1-162	802-809	tolerar	
1-163	810-812	um	
1-164	813-821	controle	
1-165	822-827	menos	
1-166	828-836	restrito	
1-167	837-839	em	
1-168	840-847	pessoas	
1-169	848-854	idosas	
1-170	854-855	,	
1-171	856-859	com	
1-172	860-866	outros	
1-173	867-876	problemas	
1-174	877-879	de	
1-175	880-885	saúde	
1-176	886-887	e	
1-177	887-888	/	
1-178	888-890	ou	
1-179	891-894	com	
1-180	895-900	longo	
1-181	901-906	tempo	
1-182	907-909	de	
1-183	910-918	diabetes	
1-184	918-919	,	
1-185	920-933	estabelecendo	
1-186	934-939	metas	
1-187	940-942	de	
1-188	943-951	glicemia	
1-189	952-956	mais	
1-190	957-962	altas	
1-191	962-963	.	
1-192	964-972	Portanto	
1-193	972-973	,	
1-194	974-979	ainda	
1-195	980-983	que	
1-196	984-987	seu	
1-197	988-993	exame	
1-198	994-1000	esteja	
1-199	1001-1007	dentro	
1-200	1008-1011	das	
1-201	1012-1017	metas	
1-202	1018-1023	acima	
1-203	1023-1024	,	
1-204	1025-1029	pode	
1-205	1030-1033	ser	
1-206	1034-1037	que	
1-207	1038-1042	elas	
1-208	1043-1046	não	
1-209	1047-1052	sejam	
1-210	1053-1055	as	
1-211	1056-1060	mais	
1-212	1061-1070	adequadas	
1-213	1071-1075	para	
1-214	1076-1080	você	
1-215	1080-1081	,	
1-216	1082-1085	por	
1-217	1086-1090	isso	
1-218	1091-1092	é	
1-219	1093-1098	muito	
1-220	1099-1109	importante	
1-221	1110-1113	que	
1-222	1114-1118	você	
1-223	1119-1127	mantenha	
1-224	1128-1136	controle	
1-225	1137-1144	regular	
1-226	1145-1148	com	
1-227	1149-1151	um	
1-228	1152-1158	médico	
1-229	1158-1159	,	
1-230	1160-1163	que	
1-231	1164-1167	irá	
1-232	1168-1179	estabelecer	
1-233	1180-1181	o	
1-234	1182-1188	melhor	
1-235	1189-1199	tratamento	
1-236	1200-1204	para	
1-237	1205-1206	o	
1-238	1207-1210	seu	
1-239	1211-1215	caso	
1-240	1215-1216	.	
