#FORMAT=WebAnno TSV 3.2


#Text=Sua glicemia está abaixo de 70. Valores abaixo de 70 são considerados hipoglicemia, que ocorre quando tem muito pouco açúcar no sangue. Pode ser muito grave e por isso é muito importante que você procure um médico para ele ver se é necessário fazer mudanças no seu tratamento. Fique atento aos principais sintomas da hipoglicemia: suor intenso, fome, tremedeira, fraqueza, palpitação, coração batendo mais rápido, ansiedade/agitação, confusão mental e cefaléia (dor de cabeça).
1-1	0-3	Sua	
1-2	4-12	glicemia	
1-3	13-17	está	
1-4	18-24	abaixo	
1-5	25-27	de	
1-6	28-30	70	
1-7	30-31	.	
1-8	32-39	Valores	
1-9	40-46	abaixo	
1-10	47-49	de	
1-11	50-52	70	
1-12	53-56	são	
1-13	57-69	considerados	
1-14	70-82	hipoglicemia	
1-15	82-83	,	
1-16	84-87	que	
1-17	88-94	ocorre	
1-18	95-101	quando	
1-19	102-105	tem	
1-20	106-111	muito	
1-21	112-117	pouco	
1-22	118-124	açúcar	
1-23	125-127	no	
1-24	128-134	sangue	
1-25	134-135	.	
1-26	136-140	Pode	
1-27	141-144	ser	
1-28	145-150	muito	
1-29	151-156	grave	
1-30	157-158	e	
1-31	159-162	por	
1-32	163-167	isso	
1-33	168-169	é	
1-34	170-175	muito	
1-35	176-186	importante	
1-36	187-190	que	
1-37	191-195	você	
1-38	196-203	procure	
1-39	204-206	um	
1-40	207-213	médico	
1-41	214-218	para	
1-42	219-222	ele	
1-43	223-226	ver	
1-44	227-229	se	
1-45	230-231	é	
1-46	232-242	necessário	
1-47	243-248	fazer	
1-48	249-257	mudanças	
1-49	258-260	no	
1-50	261-264	seu	
1-51	265-275	tratamento	
1-52	275-276	.	
1-53	277-282	Fique	
1-54	283-289	atento	
1-55	290-293	aos	
1-56	294-304	principais	
1-57	305-313	sintomas	
1-58	314-316	da	
1-59	317-329	hipoglicemia	
1-60	329-330	:	
1-61	331-335	suor	
1-62	336-343	intenso	
1-63	343-344	,	
1-64	345-349	fome	
1-65	349-350	,	
1-66	351-361	tremedeira	
1-67	361-362	,	
1-68	363-371	fraqueza	
1-69	371-372	,	
1-70	373-383	palpitação	
1-71	383-384	,	
1-72	385-392	coração	
1-73	393-400	batendo	
1-74	401-405	mais	
1-75	406-412	rápido	
1-76	412-413	,	
1-77	414-423	ansiedade	
1-78	423-424	/	
1-79	424-432	agitação	
1-80	432-433	,	
1-81	434-442	confusão	
1-82	443-449	mental	
1-83	450-451	e	
1-84	452-460	cefaléia	
1-85	461-462	(	
1-86	462-465	dor	
1-87	466-468	de	
1-88	469-475	cabeça	
1-89	475-476	)	
1-90	476-477	.	
