#FORMAT=WebAnno TSV 3.2
#T_SP=webanno.custom.Relaes|value
#T_RL=webanno.custom.Relaes2|value|BT_webanno.custom.Relaes


#Text=Sua glicemia está abaixo de 70. Valores abaixo de 70 são considerados hipoglicemia, que ocorre quando tem muito pouco açúcar no sangue. Pode ser muito grave e por isso é muito importante que você procure um médico para ele ver se é necessário fazer mudanças no seu tratamento. Fique atento aos principais sintomas da hipoglicemia: suor intenso, fome, tremedeira, fraqueza, palpitação, coração batendo mais rápido, ansiedade/agitação, confusão mental e cefaléia (dor de cabeça).
1-1	0-3	Sua	_	_	_	
1-2	4-12	glicemia	_	_	_	
1-3	13-17	está	_	_	_	
1-4	18-24	abaixo	GlucoseValue[1]	has	1-14[0_1]	
1-5	25-27	de	GlucoseValue[1]	_	_	
1-6	28-30	70	GlucoseValue[1]	_	_	
1-7	30-31	.	_	_	_	
1-8	32-39	Valores	_	_	_	
1-9	40-46	abaixo	_	_	_	
1-10	47-49	de	_	_	_	
1-11	50-52	70	_	_	_	
1-12	53-56	são	_	_	_	
1-13	57-69	considerados	_	_	_	
1-14	70-82	hipoglicemia	Complication	causes	1-20[2_0]	
1-15	82-83	,	_	_	_	
1-16	84-87	que	_	_	_	
1-17	88-94	ocorre	_	_	_	
1-18	95-101	quando	_	_	_	
1-19	102-105	tem	_	_	_	
1-20	106-111	muito	Dose[2]	has	1-22[3_2]	
1-21	112-117	pouco	Dose[2]	_	_	
1-22	118-124	açúcar	GlucoseValue[3]	_	_	
1-23	125-127	no	GlucoseValue[3]	_	_	
1-24	128-134	sangue	GlucoseValue[3]	_	_	
1-25	134-135	.	_	_	_	
1-26	136-140	Pode	_	_	_	
1-27	141-144	ser	_	_	_	
1-28	145-150	muito	_	_	_	
1-29	151-156	grave	_	_	_	
1-30	157-158	e	_	_	_	
1-31	159-162	por	_	_	_	
1-32	163-167	isso	_	_	_	
1-33	168-169	é	_	_	_	
1-34	170-175	muito	_	_	_	
1-35	176-186	importante	_	_	_	
1-36	187-190	que	_	_	_	
1-37	191-195	você	_	_	_	
1-38	196-203	procure	_	_	_	
1-39	204-206	um	_	_	_	
1-40	207-213	médico	_	_	_	
1-41	214-218	para	_	_	_	
1-42	219-222	ele	_	_	_	
1-43	223-226	ver	_	_	_	
1-44	227-229	se	_	_	_	
1-45	230-231	é	_	_	_	
1-46	232-242	necessário	_	_	_	
1-47	243-248	fazer	_	_	_	
1-48	249-257	mudanças	_	_	_	
1-49	258-260	no	_	_	_	
1-50	261-264	seu	_	_	_	
1-51	265-275	tratamento	_	_	_	
1-52	275-276	.	_	_	_	
1-53	277-282	Fique	_	_	_	
1-54	283-289	atento	_	_	_	
1-55	290-293	aos	_	_	_	
1-56	294-304	principais	_	_	_	
1-57	305-313	sintomas	_	_	_	
1-58	314-316	da	_	_	_	
1-59	317-329	hipoglicemia	Complication	_	_	
1-60	329-330	:	_	_	_	
1-61	331-335	suor	Symptom[4]	causes	1-59[0_4]	
1-62	336-343	intenso	Symptom[4]	_	_	
1-63	343-344	,	_	_	_	
1-64	345-349	fome	Symptom	causes	1-59	
1-65	349-350	,	_	_	_	
1-66	351-361	tremedeira	Symptom	causes	1-59	
1-67	361-362	,	_	_	_	
1-68	363-371	fraqueza	Symptom	causes	1-59	
1-69	371-372	,	_	_	_	
1-70	373-383	palpitação	Symptom	causes	1-59	
1-71	383-384	,	_	_	_	
1-72	385-392	coração	Symptom[5]	causes	1-59[0_5]	
1-73	393-400	batendo	Symptom[5]	_	_	
1-74	401-405	mais	Symptom[5]	_	_	
1-75	406-412	rápido	Symptom[5]	_	_	
1-76	412-413	,	_	_	_	
1-77	414-423	ansiedade	Symptom[6]	causes	1-59[0_6]	
1-78	423-424	/	Symptom[6]	_	_	
1-79	424-432	agitação	Symptom[6]	_	_	
1-80	432-433	,	_	_	_	
1-81	434-442	confusão	Symptom[7]	causes	1-59[0_7]	
1-82	443-449	mental	Symptom[7]	_	_	
1-83	450-451	e	_	_	_	
1-84	452-460	cefaléia	Symptom[8]	causes	1-59[0_8]	
1-85	461-462	(	Symptom[8]	_	_	
1-86	462-465	dor	Symptom[8]	_	_	
1-87	466-468	de	Symptom[8]	_	_	
1-88	469-475	cabeça	Symptom[8]	_	_	
1-89	475-476	)	Symptom[8]	_	_	
1-90	476-477	.	_	_	_	
