#FORMAT=WebAnno TSV 3.2
#T_SP=webanno.custom.Relaes|value
#T_RL=webanno.custom.Relaes2|value|BT_webanno.custom.Relaes


#Text=O estresse e as fortes emoções costumam causar a liberação de alguns hormônios, como o cortisol, que geram um aumento na glicemia e podem prejudicar o controle do diabetes. Como é praticamente impossível evitar essas sensações e sentimentos, as principais recomendações para que isso não prejudique o tratamento do diabetes são as atividades calmantes. Alguns exemplos são a realização de atividades físicas divertidas (como dança ou hidroginástica), a prática de yoga ou pintura e a meditação.
1-1	0-1	O	_	_	_	
1-2	2-10	estresse	_	_	_	
1-3	11-12	e	_	_	_	
1-4	13-15	as	_	_	_	
1-5	16-22	fortes	_	_	_	
1-6	23-30	emoções	_	_	_	
1-7	31-39	costumam	_	_	_	
1-8	40-46	causar	_	_	_	
1-9	47-48	a	_	_	_	
1-10	49-58	liberação	_	_	_	
1-11	59-61	de	_	_	_	
1-12	62-68	alguns	_	_	_	
1-13	69-78	hormônios	_	_	_	
1-14	78-79	,	_	_	_	
1-15	80-84	como	_	_	_	
1-16	85-86	o	_	_	_	
1-17	87-95	cortisol	_	_	_	
1-18	95-96	,	_	_	_	
1-19	97-100	que	_	_	_	
1-20	101-106	geram	_	_	_	
1-21	107-109	um	_	_	_	
1-22	110-117	aumento	Complication[1]	_	_	
1-23	118-120	na	Complication[1]	_	_	
1-24	121-129	glicemia	Complication[1]	_	_	
1-25	130-131	e	_	_	_	
1-26	132-137	podem	_	_	_	
1-27	138-148	prejudicar	_	_	_	
1-28	149-150	o	_	_	_	
1-29	151-159	controle	_	_	_	
1-30	160-162	do	_	_	_	
1-31	163-171	diabetes	Complication	complicates	1-22[1_0]	
1-32	171-172	.	_	_	_	
1-33	173-177	Como	_	_	_	
1-34	178-179	é	_	_	_	
1-35	180-192	praticamente	_	_	_	
1-36	193-203	impossível	_	_	_	
1-37	204-210	evitar	_	_	_	
1-38	211-216	essas	_	_	_	
1-39	217-226	sensações	_	_	_	
1-40	227-228	e	_	_	_	
1-41	229-240	sentimentos	_	_	_	
1-42	240-241	,	_	_	_	
1-43	242-244	as	_	_	_	
1-44	245-255	principais	_	_	_	
1-45	256-269	recomendações	_	_	_	
1-46	270-274	para	_	_	_	
1-47	275-278	que	_	_	_	
1-48	279-283	isso	_	_	_	
1-49	284-287	não	_	_	_	
1-50	288-298	prejudique	_	_	_	
1-51	299-300	o	_	_	_	
1-52	301-311	tratamento	_	_	_	
1-53	312-314	do	_	_	_	
1-54	315-323	diabetes	Complication	treats|treats|treats|treats|treats|treats|treats	1-57[2_0]|1-64[3_0]|1-71|1-73|1-77[4_0]|1-81|1-84	
1-55	324-327	são	_	_	_	
1-56	328-330	as	_	_	_	
1-57	331-341	atividades	NonMedicalTreatment[2]	_	_	
1-58	342-351	calmantes	NonMedicalTreatment[2]	_	_	
1-59	351-352	.	_	_	_	
1-60	353-359	Alguns	_	_	_	
1-61	360-368	exemplos	_	_	_	
1-62	369-372	são	_	_	_	
1-63	373-374	a	_	_	_	
1-64	375-385	realização	NonMedicalTreatment[3]	_	_	
1-65	386-388	de	NonMedicalTreatment[3]	_	_	
1-66	389-399	atividades	NonMedicalTreatment[3]	_	_	
1-67	400-407	físicas	NonMedicalTreatment[3]	_	_	
1-68	408-418	divertidas	NonMedicalTreatment[3]	_	_	
1-69	419-420	(	_	_	_	
1-70	420-424	como	_	_	_	
1-71	425-430	dança	NonMedicalTreatment	_	_	
1-72	431-433	ou	_	_	_	
1-73	434-448	hidroginástica	NonMedicalTreatment	_	_	
1-74	448-449	)	_	_	_	
1-75	449-450	,	_	_	_	
1-76	451-452	a	_	_	_	
1-77	453-460	prática	NonMedicalTreatment[4]	_	_	
1-78	461-463	de	NonMedicalTreatment[4]	_	_	
1-79	464-468	yoga	NonMedicalTreatment[4]	_	_	
1-80	469-471	ou	_	_	_	
1-81	472-479	pintura	NonMedicalTreatment	_	_	
1-82	480-481	e	_	_	_	
1-83	482-483	a	_	_	_	
1-84	484-493	meditação	NonMedicalTreatment	_	_	
1-85	493-494	.	_	_	_	
