#FORMAT=WebAnno TSV 3.2
#T_SP=webanno.custom.Relaes|value


#Text=Variações muito grandes na glicemia são perigosas e devem ser evitadas, por isso o ideal é manter um controle rigoroso com o seu médico. Se a sua glicemia estiver variando muito, é importante se consultar com o seu médico para que ele ajuste o seu tratamento.
1-1	0-9	Variações	GlucoseValue[1]	
1-2	10-15	muito	GlucoseValue[1]	
1-3	16-23	grandes	GlucoseValue[1]	
1-4	24-26	na	GlucoseValue[1]	
1-5	27-35	glicemia	GlucoseValue[1]	
1-6	36-39	são	_	
1-7	40-49	perigosas	_	
1-8	50-51	e	_	
1-9	52-57	devem	_	
1-10	58-61	ser	_	
1-11	62-70	evitadas	_	
1-12	70-71	,	_	
1-13	72-75	por	_	
1-14	76-80	isso	_	
1-15	81-82	o	_	
1-16	83-88	ideal	_	
1-17	89-90	é	_	
1-18	91-97	manter	_	
1-19	98-100	um	_	
1-20	101-109	controle	_	
1-21	110-118	rigoroso	_	
1-22	119-122	com	_	
1-23	123-124	o	_	
1-24	125-128	seu	_	
1-25	129-135	médico	_	
1-26	135-136	.	_	
1-27	137-139	Se	_	
1-28	140-141	a	_	
1-29	142-145	sua	_	
1-30	146-154	glicemia	GlucoseValue	
1-31	155-162	estiver	_	
1-32	163-171	variando	_	
1-33	172-177	muito	_	
1-34	177-178	,	_	
1-35	179-180	é	_	
1-36	181-191	importante	_	
1-37	192-194	se	_	
1-38	195-204	consultar	_	
1-39	205-208	com	_	
1-40	209-210	o	_	
1-41	211-214	seu	_	
1-42	215-221	médico	_	
1-43	222-226	para	_	
1-44	227-230	que	_	
1-45	231-234	ele	_	
1-46	235-241	ajuste	_	
1-47	242-243	o	_	
1-48	244-247	seu	_	
1-49	248-258	tratamento	_	
1-50	258-259	.	_	
