#FORMAT=WebAnno TSV 3.2
#T_SP=webanno.custom.Relaes|value
#T_RL=webanno.custom.Relaes2|value|BT_webanno.custom.Relaes


#Text=Variações muito grandes na glicemia são perigosas e devem ser evitadas, por isso o ideal é manter um controle rigoroso com o seu médico. Se a sua glicemia estiver variando muito, é importante se consultar com o seu médico para que ele ajuste o seu tratamento.
1-1	0-9	Variações	Complication[1]	prevents	1-18[2_1]	
1-2	10-15	muito	Complication[1]	_	_	
1-3	16-23	grandes	Complication[1]	_	_	
1-4	24-26	na	Complication[1]	_	_	
1-5	27-35	glicemia	Complication[1]	_	_	
1-6	36-39	são	_	_	_	
1-7	40-49	perigosas	_	_	_	
1-8	50-51	e	_	_	_	
1-9	52-57	devem	_	_	_	
1-10	58-61	ser	_	_	_	
1-11	62-70	evitadas	_	_	_	
1-12	70-71	,	_	_	_	
1-13	72-75	por	_	_	_	
1-14	76-80	isso	_	_	_	
1-15	81-82	o	_	_	_	
1-16	83-88	ideal	_	_	_	
1-17	89-90	é	_	_	_	
1-18	91-97	manter	NonMedicalTreatment[2]	_	_	
1-19	98-100	um	NonMedicalTreatment[2]	_	_	
1-20	101-109	controle	NonMedicalTreatment[2]	_	_	
1-21	110-118	rigoroso	NonMedicalTreatment[2]	_	_	
1-22	119-122	com	_	_	_	
1-23	123-124	o	_	_	_	
1-24	125-128	seu	_	_	_	
1-25	129-135	médico	_	_	_	
1-26	135-136	.	_	_	_	
1-27	137-139	Se	_	_	_	
1-28	140-141	a	_	_	_	
1-29	142-145	sua	_	_	_	
1-30	146-154	glicemia	_	_	_	
1-31	155-162	estiver	_	_	_	
1-32	163-171	variando	_	_	_	
1-33	172-177	muito	_	_	_	
1-34	177-178	,	_	_	_	
1-35	179-180	é	_	_	_	
1-36	181-191	importante	_	_	_	
1-37	192-194	se	_	_	_	
1-38	195-204	consultar	_	_	_	
1-39	205-208	com	_	_	_	
1-40	209-210	o	_	_	_	
1-41	211-214	seu	_	_	_	
1-42	215-221	médico	_	_	_	
1-43	222-226	para	_	_	_	
1-44	227-230	que	_	_	_	
1-45	231-234	ele	_	_	_	
1-46	235-241	ajuste	_	_	_	
1-47	242-243	o	_	_	_	
1-48	244-247	seu	_	_	_	
1-49	248-258	tratamento	_	_	_	
1-50	258-259	.	_	_	_	
