#FORMAT=WebAnno TSV 3.2


#Text=A neuropatia diabética pode aparecer sob várias formas, sendo que a mais comum se chama polineuropatia sensitiva distal. Esse tipo de neuropatia costuma atingir os membros (pés, pernas, mãos e braços), iniciando com os sintomas de dor e queimação e, com a piora, evolui para perda da sensibilidade (dificuldade de sentir o toque). Apesar da polineuropatia sensitiva distal ser a mais comum, também há outras formas de neuropatia, que podem causar problemas na digestão (disautonomia do sistêma digestório), na urina (disautonomia da bexiga) ou que podem provocar outros tipos de problemas, como queda da pressão quando se está de pé (disautonomia simpática). É muito importante que você agende uma consulta com o seu médico para que ele possa avaliar a sua situação e propor algum tratamento, se possível.
1-1	0-1	A	
1-2	2-12	neuropatia	
1-3	13-22	diabética	
1-4	23-27	pode	
1-5	28-36	aparecer	
1-6	37-40	sob	
1-7	41-47	várias	
1-8	48-54	formas	
1-9	54-55	,	
1-10	56-61	sendo	
1-11	62-65	que	
1-12	66-67	a	
1-13	68-72	mais	
1-14	73-78	comum	
1-15	79-81	se	
1-16	82-87	chama	
1-17	88-102	polineuropatia	
1-18	103-112	sensitiva	
1-19	113-119	distal	
1-20	119-120	.	
1-21	121-125	Esse	
1-22	126-130	tipo	
1-23	131-133	de	
1-24	134-144	neuropatia	
1-25	145-152	costuma	
1-26	153-160	atingir	
1-27	161-163	os	
1-28	164-171	membros	
1-29	172-173	(	
1-30	173-176	pés	
1-31	176-177	,	
1-32	178-184	pernas	
1-33	184-185	,	
1-34	186-190	mãos	
1-35	191-192	e	
1-36	193-199	braços	
1-37	199-200	)	
1-38	200-201	,	
1-39	202-211	iniciando	
1-40	212-215	com	
1-41	216-218	os	
1-42	219-227	sintomas	
1-43	228-230	de	
1-44	231-234	dor	
1-45	235-236	e	
1-46	237-246	queimação	
1-47	247-248	e	
1-48	248-249	,	
1-49	250-253	com	
1-50	254-255	a	
1-51	256-261	piora	
1-52	261-262	,	
1-53	263-269	evolui	
1-54	270-274	para	
1-55	275-280	perda	
1-56	281-283	da	
1-57	284-297	sensibilidade	
1-58	298-299	(	
1-59	299-310	dificuldade	
1-60	311-313	de	
1-61	314-320	sentir	
1-62	321-322	o	
1-63	323-328	toque	
1-64	328-329	)	
1-65	329-330	.	
1-66	331-337	Apesar	
1-67	338-340	da	
1-68	341-355	polineuropatia	
1-69	356-365	sensitiva	
1-70	366-372	distal	
1-71	373-376	ser	
1-72	377-378	a	
1-73	379-383	mais	
1-74	384-389	comum	
1-75	389-390	,	
1-76	391-397	também	
1-77	398-400	há	
1-78	401-407	outras	
1-79	408-414	formas	
1-80	415-417	de	
1-81	418-428	neuropatia	
1-82	428-429	,	
1-83	430-433	que	
1-84	434-439	podem	
1-85	440-446	causar	
1-86	447-456	problemas	
1-87	457-459	na	
1-88	460-468	digestão	
1-89	469-470	(	
1-90	470-482	disautonomia	
1-91	483-485	do	
1-92	486-493	sistêma	
1-93	494-504	digestório	
1-94	504-505	)	
1-95	505-506	,	
1-96	507-509	na	
1-97	510-515	urina	
1-98	516-517	(	
1-99	517-529	disautonomia	
1-100	530-532	da	
1-101	533-539	bexiga	
1-102	539-540	)	
1-103	541-543	ou	
1-104	544-547	que	
1-105	548-553	podem	
1-106	554-562	provocar	
1-107	563-569	outros	
1-108	570-575	tipos	
1-109	576-578	de	
1-110	579-588	problemas	
1-111	588-589	,	
1-112	590-594	como	
1-113	595-600	queda	
1-114	601-603	da	
1-115	604-611	pressão	
1-116	612-618	quando	
1-117	619-621	se	
1-118	622-626	está	
1-119	627-629	de	
1-120	630-632	pé	
1-121	633-634	(	
1-122	634-646	disautonomia	
1-123	647-656	simpática	
1-124	656-657	)	
1-125	657-658	.	
1-126	659-660	É	
1-127	661-666	muito	
1-128	667-677	importante	
1-129	678-681	que	
1-130	682-686	você	
1-131	687-693	agende	
1-132	694-697	uma	
1-133	698-706	consulta	
1-134	707-710	com	
1-135	711-712	o	
1-136	713-716	seu	
1-137	717-723	médico	
1-138	724-728	para	
1-139	729-732	que	
1-140	733-736	ele	
1-141	737-742	possa	
1-142	743-750	avaliar	
1-143	751-752	a	
1-144	753-756	sua	
1-145	757-765	situação	
1-146	766-767	e	
1-147	768-774	propor	
1-148	775-780	algum	
1-149	781-791	tratamento	
1-150	791-792	,	
1-151	793-795	se	
1-152	796-804	possível	
1-153	804-805	.	
