#FORMAT=WebAnno TSV 3.2
#T_SP=webanno.custom.Relaes|value
#T_RL=webanno.custom.Relaes2|value|BT_webanno.custom.Relaes


#Text=O diabetes afeta o sistema digestivo de mais de uma maneira. As complicações dessa doença podem fazer com que capacidade do aparelho digestivo de se mover fique prejudicada e alterar a capacidade de absorção de água e minerais. Adicionalmente, podem aparecer pedras na vesícula biliar e também pode ocorrer a esteatose hepática. Como consequência não é incomum que a pessoa com diabetes sinta náuseas, fique satisfeita mesmo tendo comido pouco e tenha diarreia.
1-1	0-1	O	_	_	_	
1-2	2-10	diabetes	Complication	_	_	
1-3	11-16	afeta	_	_	_	
1-4	17-18	o	_	_	_	
1-5	19-26	sistema	_	_	_	
1-6	27-36	digestivo	_	_	_	
1-7	37-39	de	_	_	_	
1-8	40-44	mais	_	_	_	
1-9	45-47	de	_	_	_	
1-10	48-51	uma	_	_	_	
1-11	52-59	maneira	_	_	_	
1-12	59-60	.	_	_	_	
1-13	61-63	As	_	_	_	
1-14	64-76	complicações	_	_	_	
1-15	77-82	dessa	_	_	_	
1-16	83-89	doença	_	_	_	
1-17	90-95	podem	_	_	_	
1-18	96-101	fazer	_	_	_	
1-19	102-105	com	_	_	_	
1-20	106-109	que	_	_	_	
1-21	110-120	capacidade	_	_	_	
1-22	121-123	do	_	_	_	
1-23	124-132	aparelho	_	_	_	
1-24	133-142	digestivo	_	_	_	
1-25	143-145	de	_	_	_	
1-26	146-148	se	_	_	_	
1-27	149-154	mover	_	_	_	
1-28	155-160	fique	_	_	_	
1-29	161-172	prejudicada	_	_	_	
1-30	173-174	e	_	_	_	
1-31	175-182	alterar	Complication[1]	causes	1-2[0_1]	
1-32	183-184	a	Complication[1]	_	_	
1-33	185-195	capacidade	Complication[1]	_	_	
1-34	196-198	de	Complication[1]	_	_	
1-35	199-207	absorção	Complication[1]	_	_	
1-36	208-210	de	Complication[1]	_	_	
1-37	211-215	água	Complication[1]	_	_	
1-38	216-217	e	Complication[1]	_	_	
1-39	218-226	minerais	Complication[1]	_	_	
1-40	226-227	.	_	_	_	
1-41	228-242	Adicionalmente	_	_	_	
1-42	242-243	,	_	_	_	
1-43	244-249	podem	_	_	_	
1-44	250-258	aparecer	_	_	_	
1-45	259-265	pedras	Complication[2]	causes	1-2[0_2]	
1-46	266-268	na	Complication[2]	_	_	
1-47	269-277	vesícula	Complication[2]	_	_	
1-48	278-284	biliar	Complication[2]	_	_	
1-49	285-286	e	_	_	_	
1-50	287-293	também	_	_	_	
1-51	294-298	pode	_	_	_	
1-52	299-306	ocorrer	_	_	_	
1-53	307-308	a	_	_	_	
1-54	309-318	esteatose	Complication[3]	causes	1-2[0_3]	
1-55	319-327	hepática	Complication[3]	_	_	
1-56	327-328	.	_	_	_	
1-57	329-333	Como	_	_	_	
1-58	334-346	consequência	_	_	_	
1-59	347-350	não	_	_	_	
1-60	351-352	é	_	_	_	
1-61	353-360	incomum	_	_	_	
1-62	361-364	que	_	_	_	
1-63	365-366	a	_	_	_	
1-64	367-373	pessoa	_	_	_	
1-65	374-377	com	_	_	_	
1-66	378-386	diabetes	Complication	_	_	
1-67	387-392	sinta	_	_	_	
1-68	393-400	náuseas	Symptom	causes	1-66	
1-69	400-401	,	_	_	_	
1-70	402-407	fique	Symptom[4]	causes	1-66[0_4]	
1-71	408-418	satisfeita	Symptom[4]	_	_	
1-72	419-424	mesmo	Symptom[4]	_	_	
1-73	425-430	tendo	Symptom[4]	_	_	
1-74	431-437	comido	Symptom[4]	_	_	
1-75	438-443	pouco	Symptom[4]	_	_	
1-76	444-445	e	_	_	_	
1-77	446-451	tenha	Symptom[5]	causes	1-66[0_5]	
1-78	452-460	diarreia	Symptom[5]	_	_	
1-79	460-461	.	_	_	_	
