#FORMAT=WebAnno TSV 3.2


#Text=Esses sintomas que você está nos contando podem ser causados pela neuropatia diabética. A neuropatia diabética pode ter várias formas de apresentação, sendo a mais comum a polineuropatia sensitiva distal. Esse tipo de neuropatia costuma acometer os membros (pés, pernas, mãos e braços), iniciando com sintomas de dor em queimação principalmente à noite e, com a piora, evoluindo para perda da sensibilidade (dificuldade de sentir o toque). Se você já possui algum dano ou dor crônica existem tratamentos farmacológicos (remédios) que podem auxiliar no controle da dor, mas que devem ser prescritos pelo médico que faz o seu acompanhamento.
1-1	0-5	Esses	
1-2	6-14	sintomas	
1-3	15-18	que	
1-4	19-23	você	
1-5	24-28	está	
1-6	29-32	nos	
1-7	33-41	contando	
1-8	42-47	podem	
1-9	48-51	ser	
1-10	52-60	causados	
1-11	61-65	pela	
1-12	66-76	neuropatia	
1-13	77-86	diabética	
1-14	86-87	.	
1-15	88-89	A	
1-16	90-100	neuropatia	
1-17	101-110	diabética	
1-18	111-115	pode	
1-19	116-119	ter	
1-20	120-126	várias	
1-21	127-133	formas	
1-22	134-136	de	
1-23	137-149	apresentação	
1-24	149-150	,	
1-25	151-156	sendo	
1-26	157-158	a	
1-27	159-163	mais	
1-28	164-169	comum	
1-29	170-171	a	
1-30	172-186	polineuropatia	
1-31	187-196	sensitiva	
1-32	197-203	distal	
1-33	203-204	.	
1-34	205-209	Esse	
1-35	210-214	tipo	
1-36	215-217	de	
1-37	218-228	neuropatia	
1-38	229-236	costuma	
1-39	237-245	acometer	
1-40	246-248	os	
1-41	249-256	membros	
1-42	257-258	(	
1-43	258-261	pés	
1-44	261-262	,	
1-45	263-269	pernas	
1-46	269-270	,	
1-47	271-275	mãos	
1-48	276-277	e	
1-49	278-284	braços	
1-50	284-285	)	
1-51	285-286	,	
1-52	287-296	iniciando	
1-53	297-300	com	
1-54	301-309	sintomas	
1-55	310-312	de	
1-56	313-316	dor	
1-57	317-319	em	
1-58	320-329	queimação	
1-59	330-344	principalmente	
1-60	345-346	à	
1-61	347-352	noite	
1-62	353-354	e	
1-63	354-355	,	
1-64	356-359	com	
1-65	360-361	a	
1-66	362-367	piora	
1-67	367-368	,	
1-68	369-378	evoluindo	
1-69	379-383	para	
1-70	384-389	perda	
1-71	390-392	da	
1-72	393-406	sensibilidade	
1-73	407-408	(	
1-74	408-419	dificuldade	
1-75	420-422	de	
1-76	423-429	sentir	
1-77	430-431	o	
1-78	432-437	toque	
1-79	437-438	)	
1-80	438-439	.	
1-81	440-442	Se	
1-82	443-447	você	
1-83	448-450	já	
1-84	451-457	possui	
1-85	458-463	algum	
1-86	464-468	dano	
1-87	469-471	ou	
1-88	472-475	dor	
1-89	476-483	crônica	
1-90	484-491	existem	
1-91	492-503	tratamentos	
1-92	504-518	farmacológicos	
1-93	519-520	(	
1-94	520-528	remédios	
1-95	528-529	)	
1-96	530-533	que	
1-97	534-539	podem	
1-98	540-548	auxiliar	
1-99	549-551	no	
1-100	552-560	controle	
1-101	561-563	da	
1-102	564-567	dor	
1-103	567-568	,	
1-104	569-572	mas	
1-105	573-576	que	
1-106	577-582	devem	
1-107	583-586	ser	
1-108	587-597	prescritos	
1-109	598-602	pelo	
1-110	603-609	médico	
1-111	610-613	que	
1-112	614-617	faz	
1-113	618-619	o	
1-114	620-623	seu	
1-115	624-638	acompanhamento	
1-116	638-639	.	
