#FORMAT=WebAnno TSV 3.2


#Text=Atualmente tem sido desenvolvidas técnicas de transplante de pâncreas ou de partes dele para reestabelecer a produção de insulina em pessoas com diabetes. Mesmo obtendo sucesso com esse tipo de medida, ainda faz-se necessário o acompanhamento médico e a realização periódica de exames.
1-1	0-10	Atualmente	
1-2	11-14	tem	
1-3	15-19	sido	
1-4	20-33	desenvolvidas	
1-5	34-42	técnicas	
1-6	43-45	de	
1-7	46-57	transplante	
1-8	58-60	de	
1-9	61-69	pâncreas	
1-10	70-72	ou	
1-11	73-75	de	
1-12	76-82	partes	
1-13	83-87	dele	
1-14	88-92	para	
1-15	93-106	reestabelecer	
1-16	107-108	a	
1-17	109-117	produção	
1-18	118-120	de	
1-19	121-129	insulina	
1-20	130-132	em	
1-21	133-140	pessoas	
1-22	141-144	com	
1-23	145-153	diabetes	
1-24	153-154	.	
1-25	155-160	Mesmo	
1-26	161-168	obtendo	
1-27	169-176	sucesso	
1-28	177-180	com	
1-29	181-185	esse	
1-30	186-190	tipo	
1-31	191-193	de	
1-32	194-200	medida	
1-33	200-201	,	
1-34	202-207	ainda	
1-35	208-214	faz-se	
1-36	215-225	necessário	
1-37	226-227	o	
1-38	228-242	acompanhamento	
1-39	243-249	médico	
1-40	250-251	e	
1-41	252-253	a	
1-42	254-264	realização	
1-43	265-274	periódica	
1-44	275-277	de	
1-45	278-284	exames	
1-46	284-285	.	
