#FORMAT=WebAnno TSV 3.2
#T_SP=webanno.custom.Relaes|value


#Text=O consumo de chás pode trazer vários benefícios à saúde, uma vez que eles contêm substâncias antioxidantes, compostos bioativos e fitoquímicos. Seu consumo regular, aliado a práticas saudáveis, como a alimentação adequada e a prática de exercícios físicos, contribui para a manutenção de uma vida saudável.
1-1	0-1	O	_	
1-2	2-9	consumo	_	
1-3	10-12	de	_	
1-4	13-17	chás	_	
1-5	18-22	pode	_	
1-6	23-29	trazer	_	
1-7	30-36	vários	_	
1-8	37-47	benefícios	_	
1-9	48-49	à	_	
1-10	50-55	saúde	_	
1-11	55-56	,	_	
1-12	57-60	uma	_	
1-13	61-64	vez	_	
1-14	65-68	que	_	
1-15	69-73	eles	_	
1-16	74-80	contêm	_	
1-17	81-92	substâncias	_	
1-18	93-106	antioxidantes	_	
1-19	106-107	,	_	
1-20	108-117	compostos	_	
1-21	118-127	bioativos	_	
1-22	128-129	e	_	
1-23	130-142	fitoquímicos	_	
1-24	142-143	.	_	
1-25	144-147	Seu	_	
1-26	148-155	consumo	_	
1-27	156-163	regular	_	
1-28	163-164	,	_	
1-29	165-171	aliado	_	
1-30	172-173	a	_	
1-31	174-182	práticas	_	
1-32	183-192	saudáveis	_	
1-33	192-193	,	_	
1-34	194-198	como	_	
1-35	199-200	a	_	
1-36	201-212	alimentação	NonMedicalTreatment[1]	
1-37	213-221	adequada	NonMedicalTreatment[1]	
1-38	222-223	e	_	
1-39	224-225	a	_	
1-40	226-233	prática	NonMedicalTreatment[2]	
1-41	234-236	de	NonMedicalTreatment[2]	
1-42	237-247	exercícios	NonMedicalTreatment[2]	
1-43	248-255	físicos	NonMedicalTreatment[2]	
1-44	255-256	,	_	
1-45	257-266	contribui	_	
1-46	267-271	para	_	
1-47	272-273	a	_	
1-48	274-284	manutenção	_	
1-49	285-287	de	_	
1-50	288-291	uma	_	
1-51	292-296	vida	_	
1-52	297-305	saudável	_	
1-53	305-306	.	_	

#Text=No entanto, apesar de haver relatos que indiquem que alguns chás consigam abaixar a concentração de açúcar no sangue, não existem estudos que comprovem a eficácia dessa bebida no controle do diabetes. Sendo assim, não se deve substituir a medicação prescrita nem o uso de insulina pelo consumo de chás ou de qualquer outro fitoterápico.
2-1	311-313	No	_	
2-2	314-321	entanto	_	
2-3	321-322	,	_	
2-4	323-329	apesar	_	
2-5	330-332	de	_	
2-6	333-338	haver	_	
2-7	339-346	relatos	_	
2-8	347-350	que	_	
2-9	351-359	indiquem	_	
2-10	360-363	que	_	
2-11	364-370	alguns	_	
2-12	371-375	chás	_	
2-13	376-384	consigam	_	
2-14	385-392	abaixar	_	
2-15	393-394	a	_	
2-16	395-407	concentração	GlucoseValue[3]	
2-17	408-410	de	GlucoseValue[3]	
2-18	411-417	açúcar	GlucoseValue[3]	
2-19	418-420	no	GlucoseValue[3]	
2-20	421-427	sangue	GlucoseValue[3]	
2-21	427-428	,	_	
2-22	429-432	não	_	
2-23	433-440	existem	_	
2-24	441-448	estudos	_	
2-25	449-452	que	_	
2-26	453-462	comprovem	_	
2-27	463-464	a	_	
2-28	465-473	eficácia	_	
2-29	474-479	dessa	_	
2-30	480-486	bebida	_	
2-31	487-489	no	_	
2-32	490-498	controle	_	
2-33	499-501	do	_	
2-34	502-510	diabetes	Complication	
2-35	510-511	.	_	
2-36	512-517	Sendo	_	
2-37	518-523	assim	_	
2-38	523-524	,	_	
2-39	525-528	não	_	
2-40	529-531	se	_	
2-41	532-536	deve	_	
2-42	537-547	substituir	_	
2-43	548-549	a	_	
2-44	550-559	medicação	Medication[4]	
2-45	560-569	prescrita	Medication[4]	
2-46	570-573	nem	_	
2-47	574-575	o	_	
2-48	576-579	uso	_	
2-49	580-582	de	_	
2-50	583-591	insulina	_	
2-51	592-596	pelo	_	
2-52	597-604	consumo	_	
2-53	605-607	de	_	
2-54	608-612	chás	_	
2-55	613-615	ou	_	
2-56	616-618	de	_	
2-57	619-627	qualquer	_	
2-58	628-633	outro	_	
2-59	634-646	fitoterápico	_	
2-60	646-647	.	_	
