#FORMAT=WebAnno TSV 3.2
#T_SP=webanno.custom.Relaes|value
#T_RL=webanno.custom.Relaes2|value|BT_webanno.custom.Relaes


#Text=Pessoas com diabetes podem consumir chás sem problemas (contanto que se respeite as recomendações alimentares), podendo inclusive desfrutar de seus efeitos benéficos. No entanto, o tratamento com insulina e remédios não deve jamais ser substituído pelo consumo dos chás, caso contrário, corre-se o risco do diabetes ficar descontrolado e haver o surgimento ou piora das suas complicações.
1-1	0-7	Pessoas	_	_	_	
1-2	8-11	com	_	_	_	
1-3	12-20	diabetes	_	_	_	
1-4	21-26	podem	_	_	_	
1-5	27-35	consumir	_	_	_	
1-6	36-40	chás	Food	_	_	
1-7	41-44	sem	_	_	_	
1-8	45-54	problemas	_	_	_	
1-9	55-56	(	_	_	_	
1-10	56-64	contanto	_	_	_	
1-11	65-68	que	_	_	_	
1-12	69-71	se	_	_	_	
1-13	72-80	respeite	_	_	_	
1-14	81-83	as	_	_	_	
1-15	84-97	recomendações	NonMedicalTreatment[1]	_	_	
1-16	98-109	alimentares	NonMedicalTreatment[1]	_	_	
1-17	109-110	)	_	_	_	
1-18	110-111	,	_	_	_	
1-19	112-119	podendo	_	_	_	
1-20	120-129	inclusive	_	_	_	
1-21	130-139	desfrutar	_	_	_	
1-22	140-142	de	_	_	_	
1-23	143-147	seus	_	_	_	
1-24	148-155	efeitos	_	_	_	
1-25	156-165	benéficos	_	_	_	
1-26	165-166	.	_	_	_	
1-27	167-169	No	_	_	_	
1-28	170-177	entanto	_	_	_	
1-29	177-178	,	_	_	_	
1-30	179-180	o	_	_	_	
1-31	181-191	tratamento	Medication[2]	_	_	
1-32	192-195	com	Medication[2]	_	_	
1-33	196-204	insulina	Medication[2]	_	_	
1-34	205-206	e	_	_	_	
1-35	207-215	remédios	Medication	_	_	
1-36	216-219	não	_	_	_	
1-37	220-224	deve	_	_	_	
1-38	225-231	jamais	_	_	_	
1-39	232-235	ser	_	_	_	
1-40	236-247	substituído	_	_	_	
1-41	248-252	pelo	_	_	_	
1-42	253-260	consumo	_	_	_	
1-43	261-264	dos	_	_	_	
1-44	265-269	chás	Food	_	_	
1-45	269-270	,	_	_	_	
1-46	271-275	caso	_	_	_	
1-47	276-285	contrário	_	_	_	
1-48	285-286	,	_	_	_	
1-49	287-295	corre-se	_	_	_	
1-50	296-297	o	_	_	_	
1-51	298-303	risco	_	_	_	
1-52	304-306	do	_	_	_	
1-53	307-315	diabetes	Complication[3]	prevents|prevents	1-31[2_3]|1-35[0_3]	
1-54	316-321	ficar	Complication[3]	_	_	
1-55	322-335	descontrolado	Complication[3]	_	_	
1-56	336-337	e	_	_	_	
1-57	338-343	haver	_	_	_	
1-58	344-345	o	_	_	_	
1-59	346-356	surgimento	_	_	_	
1-60	357-359	ou	_	_	_	
1-61	360-365	piora	_	_	_	
1-62	366-369	das	_	_	_	
1-63	370-374	suas	_	_	_	
1-64	375-387	complicações	_	_	_	
1-65	387-388	.	_	_	_	
