#FORMAT=WebAnno TSV 3.2


#Text=Esses sintomas podem ter muitas causas, então não seria adequado fazer uma avaliação por aqui. Recomendamos que você procure um médico que irá estudar a situação com mais profundidade.
1-1	0-5	Esses	
1-2	6-14	sintomas	
1-3	15-20	podem	
1-4	21-24	ter	
1-5	25-31	muitas	
1-6	32-38	causas	
1-7	38-39	,	
1-8	40-45	então	
1-9	46-49	não	
1-10	50-55	seria	
1-11	56-64	adequado	
1-12	65-70	fazer	
1-13	71-74	uma	
1-14	75-84	avaliação	
1-15	85-88	por	
1-16	89-93	aqui	
1-17	93-94	.	
1-18	95-107	Recomendamos	
1-19	108-111	que	
1-20	112-116	você	
1-21	117-124	procure	
1-22	125-127	um	
1-23	128-134	médico	
1-24	135-138	que	
1-25	139-142	irá	
1-26	143-150	estudar	
1-27	151-152	a	
1-28	153-161	situação	
1-29	162-165	com	
1-30	166-170	mais	
1-31	171-183	profundidade	
1-32	183-184	.	
