#FORMAT=WebAnno TSV 3.2
#T_SP=webanno.custom.Relaes|value
#T_RL=webanno.custom.Relaes2|value|BT_webanno.custom.Relaes


#Text=As pernas e os pés inchadas podem ter inúmeras causas, como uso de medicamentos, problemas no coração, problemas do diabetes, entre outros. Portanto, é importante que você conte ao seu médico o que está acontecendo, para que ele possa decidir a melhor opção para você. De qualquer forma, é sempre importante estar com a pressão e com o diabetes controlados! O uso de meias elásticas compressivas pode se útil, dependendo do caso.
1-1	0-2	As	Symptom[1]	has|has|has|treats	1-13[2_1]|1-17[3_1]|1-21[4_1]|1-72[5_1]	
1-2	3-9	pernas	Symptom[1]	_	_	
1-3	10-11	e	Symptom[1]	_	_	
1-4	12-14	os	Symptom[1]	_	_	
1-5	15-18	pés	Symptom[1]	_	_	
1-6	19-27	inchadas	Symptom[1]	_	_	
1-7	28-33	podem	_	_	_	
1-8	34-37	ter	_	_	_	
1-9	38-46	inúmeras	_	_	_	
1-10	47-53	causas	_	_	_	
1-11	53-54	,	_	_	_	
1-12	55-59	como	_	_	_	
1-13	60-63	uso	Medication[2]	_	_	
1-14	64-66	de	Medication[2]	_	_	
1-15	67-79	medicamentos	Medication[2]	_	_	
1-16	79-80	,	_	_	_	
1-17	81-90	problemas	Complication[3]	_	_	
1-18	91-93	no	Complication[3]	_	_	
1-19	94-101	coração	Complication[3]	_	_	
1-20	101-102	,	_	_	_	
1-21	103-112	problemas	Complication[4]	_	_	
1-22	113-115	do	Complication[4]	_	_	
1-23	116-124	diabetes	Complication[4]	_	_	
1-24	124-125	,	_	_	_	
1-25	126-131	entre	_	_	_	
1-26	132-138	outros	_	_	_	
1-27	138-139	.	_	_	_	
1-28	140-148	Portanto	_	_	_	
1-29	148-149	,	_	_	_	
1-30	150-151	é	_	_	_	
1-31	152-162	importante	_	_	_	
1-32	163-166	que	_	_	_	
1-33	167-171	você	_	_	_	
1-34	172-177	conte	_	_	_	
1-35	178-180	ao	_	_	_	
1-36	181-184	seu	_	_	_	
1-37	185-191	médico	_	_	_	
1-38	192-193	o	_	_	_	
1-39	194-197	que	_	_	_	
1-40	198-202	está	_	_	_	
1-41	203-214	acontecendo	_	_	_	
1-42	214-215	,	_	_	_	
1-43	216-220	para	_	_	_	
1-44	221-224	que	_	_	_	
1-45	225-228	ele	_	_	_	
1-46	229-234	possa	_	_	_	
1-47	235-242	decidir	_	_	_	
1-48	243-244	a	_	_	_	
1-49	245-251	melhor	_	_	_	
1-50	252-257	opção	_	_	_	
1-51	258-262	para	_	_	_	
1-52	263-267	você	_	_	_	
1-53	267-268	.	_	_	_	
1-54	269-271	De	_	_	_	
1-55	272-280	qualquer	_	_	_	
1-56	281-286	forma	_	_	_	
1-57	286-287	,	_	_	_	
1-58	288-289	é	_	_	_	
1-59	290-296	sempre	_	_	_	
1-60	297-307	importante	_	_	_	
1-61	308-313	estar	_	_	_	
1-62	314-317	com	_	_	_	
1-63	318-319	a	_	_	_	
1-64	320-327	pressão	_	_	_	
1-65	328-329	e	_	_	_	
1-66	330-333	com	_	_	_	
1-67	334-335	o	_	_	_	
1-68	336-344	diabetes	_	_	_	
1-69	345-356	controlados	_	_	_	
1-70	356-357	!	_	_	_	
1-71	358-359	O	_	_	_	
1-72	360-363	uso	NonMedicalTreatment[5]	_	_	
1-73	364-366	de	NonMedicalTreatment[5]	_	_	
1-74	367-372	meias	NonMedicalTreatment[5]	_	_	
1-75	373-382	elásticas	NonMedicalTreatment[5]	_	_	
1-76	383-395	compressivas	NonMedicalTreatment[5]	_	_	
1-77	396-400	pode	_	_	_	
1-78	401-403	se	_	_	_	
1-79	404-408	útil	_	_	_	
1-80	408-409	,	_	_	_	
1-81	410-420	dependendo	_	_	_	
1-82	421-423	do	_	_	_	
1-83	424-428	caso	_	_	_	
1-84	428-429	.	_	_	_	
