#FORMAT=WebAnno TSV 3.2


#Text=Parece que você é sensível ao carboidrato, o que significa que carboidratos refinados e simples, como doces, são rapidamente digeridos, elevando o açúcar no sangue rapidamente, mas rapidamente "deixando cair" de volta. É mais provável que isso aconteça se nenhum outro alimento for consumido junto com os alimentos simples de carboidratos. Seria muito sensato evitar esses alimentos o máximo possível. Você já testou a glicose? Agora seria um bom momento para seguir um estilo de vida saudável, comer alimentos integrais e não refinados e permanecer ativo. Equilibrar nosso metabolismo é um processo contínuo e preciso, desafiado pelo ambiente em que vivemos e pelo estresse diário da vida. É duplamente importante nos nutrir bem para combater os elementos que não podemos controlar.
1-1	0-6	Parece	
1-2	7-10	que	
1-3	11-15	você	
1-4	16-17	é	
1-5	18-26	sensível	
1-6	27-29	ao	
1-7	30-41	carboidrato	
1-8	41-42	,	
1-9	43-44	o	
1-10	45-48	que	
1-11	49-58	significa	
1-12	59-62	que	
1-13	63-75	carboidratos	
1-14	76-85	refinados	
1-15	86-87	e	
1-16	88-95	simples	
1-17	95-96	,	
1-18	97-101	como	
1-19	102-107	doces	
1-20	107-108	,	
1-21	109-112	são	
1-22	113-124	rapidamente	
1-23	125-134	digeridos	
1-24	134-135	,	
1-25	136-144	elevando	
1-26	145-146	o	
1-27	147-153	açúcar	
1-28	154-156	no	
1-29	157-163	sangue	
1-30	164-175	rapidamente	
1-31	175-176	,	
1-32	177-180	mas	
1-33	181-192	rapidamente	
1-34	193-194	"	
1-35	194-202	deixando	
1-36	203-207	cair	
1-37	207-208	"	
1-38	209-211	de	
1-39	212-217	volta	
1-40	217-218	.	
1-41	219-220	É	
1-42	221-225	mais	
1-43	226-234	provável	
1-44	235-238	que	
1-45	239-243	isso	
1-46	244-252	aconteça	
1-47	253-255	se	
1-48	256-262	nenhum	
1-49	263-268	outro	
1-50	269-277	alimento	
1-51	278-281	for	
1-52	282-291	consumido	
1-53	292-297	junto	
1-54	298-301	com	
1-55	302-304	os	
1-56	305-314	alimentos	
1-57	315-322	simples	
1-58	323-325	de	
1-59	326-338	carboidratos	
1-60	338-339	.	
1-61	340-345	Seria	
1-62	346-351	muito	
1-63	352-359	sensato	
1-64	360-366	evitar	
1-65	367-372	esses	
1-66	373-382	alimentos	
1-67	383-384	o	
1-68	385-391	máximo	
1-69	392-400	possível	
1-70	400-401	.	
1-71	402-406	Você	
1-72	407-409	já	
1-73	410-416	testou	
1-74	417-418	a	
1-75	419-426	glicose	
1-76	426-427	?	
1-77	428-433	Agora	
1-78	434-439	seria	
1-79	440-442	um	
1-80	443-446	bom	
1-81	447-454	momento	
1-82	455-459	para	
1-83	460-466	seguir	
1-84	467-469	um	
1-85	470-476	estilo	
1-86	477-479	de	
1-87	480-484	vida	
1-88	485-493	saudável	
1-89	493-494	,	
1-90	495-500	comer	
1-91	501-510	alimentos	
1-92	511-520	integrais	
1-93	521-522	e	
1-94	523-526	não	
1-95	527-536	refinados	
1-96	537-538	e	
1-97	539-549	permanecer	
1-98	550-555	ativo	
1-99	555-556	.	
1-100	557-567	Equilibrar	
1-101	568-573	nosso	
1-102	574-585	metabolismo	
1-103	586-587	é	
1-104	588-590	um	
1-105	591-599	processo	
1-106	600-608	contínuo	
1-107	609-610	e	
1-108	611-618	preciso	
1-109	618-619	,	
1-110	620-629	desafiado	
1-111	630-634	pelo	
1-112	635-643	ambiente	
1-113	644-646	em	
1-114	647-650	que	
1-115	651-658	vivemos	
1-116	659-660	e	
1-117	661-665	pelo	
1-118	666-674	estresse	
1-119	675-681	diário	
1-120	682-684	da	
1-121	685-689	vida	
1-122	689-690	.	
1-123	691-692	É	
1-124	693-703	duplamente	
1-125	704-714	importante	
1-126	715-718	nos	
1-127	719-725	nutrir	
1-128	726-729	bem	
1-129	730-734	para	
1-130	735-743	combater	
1-131	744-746	os	
1-132	747-756	elementos	
1-133	757-760	que	
1-134	761-764	não	
1-135	765-772	podemos	
1-136	773-782	controlar	
1-137	782-783	.	
