#FORMAT=WebAnno TSV 3.2
#T_SP=webanno.custom.Relaes|value
#T_RL=webanno.custom.Relaes2|value|BT_webanno.custom.Relaes


#Text=Tanto a hipoglicemia quanto a cetoacidose são complicações do diabetes que requerem bastante atenção. Os sintomas da hipoglicemia são: muito suor, fome, tremedeiras, fraqueza, palpitação, coração batendo mais rápido, ansiedade/agitação, confusão mental e cefaléia (dor de cabeça). - Na cetoacidose os sintomas são: poliúria (aumento no volume de urina), polidpsia (aumento da sede), respiração acelerada, náuseas e vômitos, hálito cetônico (hálito com cheiro de maçã podre), cefaléia (dor de cabeça), confusão mental e dor no abdômen. É possível que sua filha esteja com algum desses quadros, ou que esteja com algum outro quadro grave. Portanto, é preciso buscar ajuda médica imediata.
1-1	0-5	Tanto	_	_	_	
1-2	6-7	a	_	_	_	
1-3	8-20	hipoglicemia	_	_	_	
1-4	21-27	quanto	_	_	_	
1-5	28-29	a	_	_	_	
1-6	30-41	cetoacidose	_	_	_	
1-7	42-45	são	_	_	_	
1-8	46-58	complicações	_	_	_	
1-9	59-61	do	_	_	_	
1-10	62-70	diabetes	_	_	_	
1-11	71-74	que	_	_	_	
1-12	75-83	requerem	_	_	_	
1-13	84-92	bastante	_	_	_	
1-14	93-100	atenção	_	_	_	
1-15	100-101	.	_	_	_	
1-16	102-104	Os	_	_	_	
1-17	105-113	sintomas	_	_	_	
1-18	114-116	da	_	_	_	
1-19	117-129	hipoglicemia	Complication	_	_	
1-20	130-133	são	_	_	_	
1-21	133-134	:	_	_	_	
1-22	135-140	muito	Symptom[1]	has	1-19[0_1]	
1-23	141-145	suor	Symptom[1]	_	_	
1-24	145-146	,	_	_	_	
1-25	147-151	fome	Symptom	has	1-19	
1-26	151-152	,	_	_	_	
1-27	153-164	tremedeiras	Symptom	has	1-19	
1-28	164-165	,	_	_	_	
1-29	166-174	fraqueza	Symptom	has	1-19	
1-30	174-175	,	_	_	_	
1-31	176-186	palpitação	Symptom	has	1-19	
1-32	186-187	,	_	_	_	
1-33	188-195	coração	Symptom[2]	has	1-19[0_2]	
1-34	196-203	batendo	Symptom[2]	_	_	
1-35	204-208	mais	Symptom[2]	_	_	
1-36	209-215	rápido	Symptom[2]	_	_	
1-37	215-216	,	_	_	_	
1-38	217-226	ansiedade	Symptom[3]	has	1-19[0_3]	
1-39	226-227	/	Symptom[3]	_	_	
1-40	227-235	agitação	Symptom[3]	_	_	
1-41	235-236	,	_	_	_	
1-42	237-245	confusão	Symptom[4]	has	1-19[0_4]	
1-43	246-252	mental	Symptom[4]	_	_	
1-44	253-254	e	_	_	_	
1-45	255-263	cefaléia	Symptom[5]	has	1-19[0_5]	
1-46	264-265	(	Symptom[5]	_	_	
1-47	265-268	dor	Symptom[5]	_	_	
1-48	269-271	de	Symptom[5]	_	_	
1-49	272-278	cabeça	Symptom[5]	_	_	
1-50	278-279	)	Symptom[5]	_	_	
1-51	279-280	.	_	_	_	
1-52	281-282	-	_	_	_	
1-53	283-285	Na	_	_	_	
1-54	286-297	cetoacidose	Complication	_	_	
1-55	298-300	os	_	_	_	
1-56	301-309	sintomas	_	_	_	
1-57	310-313	são	_	_	_	
1-58	313-314	:	_	_	_	
1-59	315-323	poliúria	Symptom[6]	has	1-54[0_6]	
1-60	324-325	(	Symptom[6]	_	_	
1-61	325-332	aumento	Symptom[6]	_	_	
1-62	333-335	no	Symptom[6]	_	_	
1-63	336-342	volume	Symptom[6]	_	_	
1-64	343-345	de	Symptom[6]	_	_	
1-65	346-351	urina	Symptom[6]	_	_	
1-66	351-352	)	Symptom[6]	_	_	
1-67	352-353	,	_	_	_	
