#FORMAT=WebAnno TSV 3.2


#Text=Enjoo pode ser um efeito colateral de diversos remédios. Por isso, é importante que você conte para o seu médico que está sentindo isso para que ele possa avaliar se é um efeito colateral esperado ou se o enjoo está sendo causado por outro motivo.
1-1	0-5	Enjoo	
1-2	6-10	pode	
1-3	11-14	ser	
1-4	15-17	um	
1-5	18-24	efeito	
1-6	25-34	colateral	
1-7	35-37	de	
1-8	38-46	diversos	
1-9	47-55	remédios	
1-10	55-56	.	
1-11	57-60	Por	
1-12	61-65	isso	
1-13	65-66	,	
1-14	67-68	é	
1-15	69-79	importante	
1-16	80-83	que	
1-17	84-88	você	
1-18	89-94	conte	
1-19	95-99	para	
1-20	100-101	o	
1-21	102-105	seu	
1-22	106-112	médico	
1-23	113-116	que	
1-24	117-121	está	
1-25	122-130	sentindo	
1-26	131-135	isso	
1-27	136-140	para	
1-28	141-144	que	
1-29	145-148	ele	
1-30	149-154	possa	
1-31	155-162	avaliar	
1-32	163-165	se	
1-33	166-167	é	
1-34	168-170	um	
1-35	171-177	efeito	
1-36	178-187	colateral	
1-37	188-196	esperado	
1-38	197-199	ou	
1-39	200-202	se	
1-40	203-204	o	
1-41	205-210	enjoo	
1-42	211-215	está	
1-43	216-221	sendo	
1-44	222-229	causado	
1-45	230-233	por	
1-46	234-239	outro	
1-47	240-246	motivo	
1-48	246-247	.	
