#FORMAT=WebAnno TSV 3.2


#Text=Nem todos os remédios caseiros estão proibidos, mas muitos não podem ser utilizados, porque provocam efeitos colaterais. Além disso, os remédios caseiros não melhoram o diabetes e não devem ser utilizados para controle ou tratamento. Para o controle do diabetes, é importante que você converse com seu médico para construir um tratamento adequado ao seu estilo de vida, de forma que você consiga manter a proposta, além de ter uma alimentação saudável e praticar exercícios físicos.
1-1	0-3	Nem	
1-2	4-9	todos	
1-3	10-12	os	
1-4	13-21	remédios	
1-5	22-30	caseiros	
1-6	31-36	estão	
1-7	37-46	proibidos	
1-8	46-47	,	
1-9	48-51	mas	
1-10	52-58	muitos	
1-11	59-62	não	
1-12	63-68	podem	
1-13	69-72	ser	
1-14	73-83	utilizados	
1-15	83-84	,	
1-16	85-91	porque	
1-17	92-100	provocam	
1-18	101-108	efeitos	
1-19	109-119	colaterais	
1-20	119-120	.	
1-21	121-125	Além	
1-22	126-131	disso	
1-23	131-132	,	
1-24	133-135	os	
1-25	136-144	remédios	
1-26	145-153	caseiros	
1-27	154-157	não	
1-28	158-166	melhoram	
1-29	167-168	o	
1-30	169-177	diabetes	
1-31	178-179	e	
1-32	180-183	não	
1-33	184-189	devem	
1-34	190-193	ser	
1-35	194-204	utilizados	
1-36	205-209	para	
1-37	210-218	controle	
1-38	219-221	ou	
1-39	222-232	tratamento	
1-40	232-233	.	
1-41	234-238	Para	
1-42	239-240	o	
1-43	241-249	controle	
1-44	250-252	do	
1-45	253-261	diabetes	
1-46	261-262	,	
1-47	263-264	é	
1-48	265-275	importante	
1-49	276-279	que	
1-50	280-284	você	
1-51	285-293	converse	
1-52	294-297	com	
1-53	298-301	seu	
1-54	302-308	médico	
1-55	309-313	para	
1-56	314-323	construir	
1-57	324-326	um	
1-58	327-337	tratamento	
1-59	338-346	adequado	
1-60	347-349	ao	
1-61	350-353	seu	
1-62	354-360	estilo	
1-63	361-363	de	
1-64	364-368	vida	
1-65	368-369	,	
1-66	370-372	de	
1-67	373-378	forma	
1-68	379-382	que	
1-69	383-387	você	
1-70	388-395	consiga	
1-71	396-402	manter	
1-72	403-404	a	
1-73	405-413	proposta	
1-74	413-414	,	
1-75	415-419	além	
1-76	420-422	de	
1-77	423-426	ter	
1-78	427-430	uma	
1-79	431-442	alimentação	
1-80	443-451	saudável	
1-81	452-453	e	
1-82	454-462	praticar	
1-83	463-473	exercícios	
1-84	474-481	físicos	
1-85	481-482	.	
