#FORMAT=WebAnno TSV 3.2


#Text=Esses medicamentos agem de forma diferente no corpo, mas ambos servem para controlar o diabetes. Agora, é importante ressaltar que em hipótese alguma você deve trocar seus remédios por conta própria. Qualquer alteração na prescrição deve ser feita pelo seu médico!
1-1	0-5	Esses	
1-2	6-18	medicamentos	
1-3	19-23	agem	
1-4	24-26	de	
1-5	27-32	forma	
1-6	33-42	diferente	
1-7	43-45	no	
1-8	46-51	corpo	
1-9	51-52	,	
1-10	53-56	mas	
1-11	57-62	ambos	
1-12	63-69	servem	
1-13	70-74	para	
1-14	75-84	controlar	
1-15	85-86	o	
1-16	87-95	diabetes	
1-17	95-96	.	
1-18	97-102	Agora	
1-19	102-103	,	
1-20	104-105	é	
1-21	106-116	importante	
1-22	117-126	ressaltar	
1-23	127-130	que	
1-24	131-133	em	
1-25	134-142	hipótese	
1-26	143-149	alguma	
1-27	150-154	você	
1-28	155-159	deve	
1-29	160-166	trocar	
1-30	167-171	seus	
1-31	172-180	remédios	
1-32	181-184	por	
1-33	185-190	conta	
1-34	191-198	própria	
1-35	198-199	.	
1-36	200-208	Qualquer	
1-37	209-218	alteração	
1-38	219-221	na	
1-39	222-232	prescrição	
1-40	233-237	deve	
1-41	238-241	ser	
1-42	242-247	feita	
1-43	248-252	pelo	
1-44	253-256	seu	
1-45	257-263	médico	
1-46	263-264	!	
